Label,Level,Count,Total,Prob,TheoProb,Error
API,1,3942,10000,0.3942,1,0.6058
Array2D,51,4004,10000,0.4004,0.2,0.2004
Blocksize,4,3988,10000,0.3988,1,0.6012
CUDA,2,3980,10000,0.398,0.415525,0.0175251
Ldg,52,3979,10000,0.3979,0,0.3979
Linear1D,53,4029,10000,0.4029,0,0.4029
Linear2D,54,3940,10000,0.394,0,0.394
LocalMemory,26,3976,10000,0.3976,0.285714,0.111886
OpenCL,3,3984,10000,0.3984,0,0.3984
TextureMemory,50,4039,10000,0.4039,0.833333,0.429433
bs_1024x1,5,3982,10000,0.3982,0.0338164,0.364384
bs_128x1,6,4074,10000,0.4074,0,0.4074
bs_128x2,7,3985,10000,0.3985,0,0.3985
bs_128x4,8,3932,10000,0.3932,0,0.3932
bs_128x8,9,3970,10000,0.397,0,0.397
bs_256x1,10,3977,10000,0.3977,0,0.3977
bs_256x2,11,4028,10000,0.4028,0,0.4028
bs_256x4,12,3989,10000,0.3989,0,0.3989
bs_32x1,13,4013,10000,0.4013,0,0.4013
bs_32x16,14,3982,10000,0.3982,0,0.3982
bs_32x2,15,4032,10000,0.4032,0,0.4032
bs_32x32,16,4092,10000,0.4092,0,0.4092
bs_32x4,17,4015,10000,0.4015,0,0.4015
bs_32x8,18,3905,10000,0.3905,0,0.3905
bs_512x1,19,4070,10000,0.407,0,0.407
bs_512x2,20,4045,10000,0.4045,0,0.4045
bs_64x1,21,3938,10000,0.3938,0,0.3938
bs_64x16,22,3985,10000,0.3985,0,0.3985
bs_64x2,23,4056,10000,0.4056,0,0.4056
bs_64x4,24,3980,10000,0.398,0,0.398
bs_64x8,25,3962,10000,0.3962,0,0.3962
padding,27,4048,10000,0.4048,1,0.5952
padding_0,28,4009,10000,0.4009,0.0659341,0.334966
padding_128,29,4011,10000,0.4011,0,0.4011
padding_160,30,3996,10000,0.3996,0,0.3996
padding_192,31,3989,10000,0.3989,0,0.3989
padding_224,32,4056,10000,0.4056,0,0.4056
padding_256,33,3945,10000,0.3945,0,0.3945
padding_288,34,4080,10000,0.408,0,0.408
padding_32,35,3978,10000,0.3978,0,0.3978
padding_320,36,3936,10000,0.3936,0,0.3936
padding_352,37,3904,10000,0.3904,0,0.3904
padding_384,38,4037,10000,0.4037,0,0.4037
padding_416,39,4057,10000,0.4057,0,0.4057
padding_448,40,4058,10000,0.4058,0,0.4058
padding_480,41,4037,10000,0.4037,0,0.4037
padding_512,42,3994,10000,0.3994,0,0.3994
padding_64,43,3999,10000,0.3999,0,0.3999
padding_96,44,4025,10000,0.4025,0,0.4025
pixelPerThread,45,4053,10000,0.4053,0.5,0.0947
pixelPerThread_1,46,3911,10000,0.3911,0,0.3911
pixelPerThread_2,47,4019,10000,0.4019,0,0.4019
pixelPerThread_3,48,4023,10000,0.4023,0,0.4023
pixelPerThread_4,49,4053,10000,0.4053,0,0.4053
