compression,compressionBzip2,compressionGzip,compressionLrzip,compressionLzo,compressionZpaq,disableCompressibilityTesting,encryption,level,level1,level2,level3,level4,level5,level6,level7,level8,level9,unlimitedWindowSize,Performance
1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,208900.0
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,210450.0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,283750.0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,339780.0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,340590.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,384660.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1062250.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1179830.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,827290.0
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,208350.0
1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,213220.0
1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,223040.0
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,234870.0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,236720.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,248940.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,257480.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,263430.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,265980.0
1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,76470.0
1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,80360.0
1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,87690.0
1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,93090.0
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,106090.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,128450.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,146410.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,187970.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,198360.0
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50520.0
1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,50610.0
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,45490.0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,48050.0
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,49850.0
