no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,268.72
0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,267.853333333333
1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,260.636666666667
1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,773.463333333333
1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,690.873333333333
1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,783.783333333333
1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,690.39
1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,783.516666666667
1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,683.52
1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,683.543333333333
1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,775.81
1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,775.68
1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,561.846666666667
1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,244.433333333333
1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,652.483333333333
1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,556.63
1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,645.51
1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,561.933333333333
1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,555.633333333333
1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,651.64
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,644.16
1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,561.97
1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,652.373333333333
1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,561.333333333333
1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,249.73
1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,651.2
1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,556.34
1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,555.18
1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,645.38
1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,644.033333333333
0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,612.97
0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,604.746666666667
0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,612.643333333333
0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,604.123333333333
0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,511.153333333333
1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,244.276666666667
0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,510.856666666667
0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,509.37
0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,509.033333333333
0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,721.563333333333
0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,712.916666666667
0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,580.876666666667
0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,576.41
0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,722.036666666667
0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,580.626666666667
0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,712.636666666667
1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,249.44
0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,576.276666666667
1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,587.773333333333
1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,581.513333333333
1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,587.24
1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,581.106666666667
1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,687.6
1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,687.146666666667
1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,680.556666666667
1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,680.476666666667
1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,498.49
1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,287.086666666667
1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,493.276666666667
1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,561.96
1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,556.513333333333
1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,497.99
1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,562.066666666667
1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,492.936666666667
1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,556.306666666667
0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,741.59
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,731.353333333333
