technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.06984649259426706,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",1373,67267,0.03,7z,random,2,Prop0.02,1,True
kNN,0.49208965011473005,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1373,67267,5.8,7z,random,2,Prop0.02,1,True
KRR,0.11314758390984068,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",1373,67267,3.23,7z,random,2,Prop0.02,1,True
MR,0.10244010735002124,"{""lasso__regressor__alpha"": 0.001}",1373,67267,1.82,7z,random,2,Prop0.02,1,True
RF,0.06141711073346438,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",1373,67267,0.26,7z,random,2,Prop0.02,1,True
SVR,0.284779621888784,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",1373,67267,5.75,7z,random,2,Prop0.02,1,True
CART,0.06496697657537463,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",1373,67267,0.03,7z,random,2,Prop0.02,2,True
kNN,0.5322779745722251,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1373,67267,5.7,7z,random,2,Prop0.02,2,True
KRR,0.10480483662082053,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",1373,67267,3.21,7z,random,2,Prop0.02,2,True
MR,0.10628349337928675,"{""lasso__regressor__alpha"": 0.001}",1373,67267,1.82,7z,random,2,Prop0.02,2,True
RF,0.06144958693130987,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",1373,67267,0.26,7z,random,2,Prop0.02,2,True
SVR,0.29185602510430336,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",1373,67267,5.45,7z,random,2,Prop0.02,2,True
CART,0.06882419003027543,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",1373,67267,0.03,7z,random,2,Prop0.02,3,True
kNN,0.5399171743890526,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1373,67267,5.64,7z,random,2,Prop0.02,3,True
KRR,0.11145137919170552,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",1373,67267,3.09,7z,random,2,Prop0.02,3,True
MR,0.10591396708910082,"{""lasso__regressor__alpha"": 0.001}",1373,67267,1.67,7z,random,2,Prop0.02,3,True
RF,0.06288269518333169,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",1373,67267,0.28,7z,random,2,Prop0.02,3,True
SVR,0.28267793495612864,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",1373,67267,5.22,7z,random,2,Prop0.02,3,True
CART,0.0691308881352231,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",1373,67267,0.02,7z,random,2,Prop0.02,4,True
kNN,0.5408554566355541,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1373,67267,5.74,7z,random,2,Prop0.02,4,True
KRR,0.10847195905069505,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",1373,67267,2.94,7z,random,2,Prop0.02,4,True
MR,0.10944428404701745,"{""lasso__regressor__alpha"": 0.001}",1373,67267,1.7,7z,random,2,Prop0.02,4,True
RF,0.06275506195572464,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",1373,67267,0.27,7z,random,2,Prop0.02,4,True
SVR,0.31049834938698617,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",1373,67267,5.58,7z,random,2,Prop0.02,4,True
CART,0.06967759486805988,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",1373,67267,0.02,7z,random,2,Prop0.02,5,True
kNN,0.526636012261962,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1373,67267,5.61,7z,random,2,Prop0.02,5,True
KRR,0.11067793668526064,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",1373,67267,3.07,7z,random,2,Prop0.02,5,True
MR,0.10767115997805601,"{""lasso__regressor__alpha"": 0.001}",1373,67267,1.59,7z,random,2,Prop0.02,5,True
RF,0.06390384527515518,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",1373,67267,0.27,7z,random,2,Prop0.02,5,True
SVR,0.2959108967619507,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",1373,67267,5.46,7z,random,2,Prop0.02,5,True
CART,0.07013910867043192,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",1373,67267,0.02,7z,random,2,Prop0.02,6,True
kNN,0.5468322967442778,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1373,67267,5.7,7z,random,2,Prop0.02,6,True
KRR,0.11189977619187964,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",1373,67267,2.87,7z,random,2,Prop0.02,6,True
MR,0.10901242206218599,"{""lasso__regressor__alpha"": 0.001}",1373,67267,1.66,7z,random,2,Prop0.02,6,True
RF,0.06191184401896682,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",1373,67267,0.28,7z,random,2,Prop0.02,6,True
SVR,0.2943433628349121,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",1373,67267,5.17,7z,random,2,Prop0.02,6,True
CART,0.06397830231161629,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",1373,67267,0.02,7z,random,2,Prop0.02,7,True
kNN,0.472134879886519,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1373,67267,5.67,7z,random,2,Prop0.02,7,True
KRR,0.10543947660216003,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",1373,67267,3.12,7z,random,2,Prop0.02,7,True
MR,0.1017000152471156,"{""lasso__regressor__alpha"": 0.001}",1373,67267,1.71,7z,random,2,Prop0.02,7,True
RF,0.06069149598507132,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",1373,67267,0.28,7z,random,2,Prop0.02,7,True
SVR,0.25840245024713737,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",1373,67267,5.25,7z,random,2,Prop0.02,7,True
CART,0.06936588149456835,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",1373,67267,0.02,7z,random,2,Prop0.02,8,True
