technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.16236007531180616,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",69,2235,0.01,Dune,random,2,Prop0.03,1,True
kNN,0.14948324445194483,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""distance""}",69,2235,0.02,Dune,random,2,Prop0.03,1,True
KRR,0.13482856186615413,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.01}",69,2235,0.02,Dune,random,2,Prop0.03,1,True
MR,0.12653291502286304,"{""lasso__regressor__alpha"": 0.001}",69,2235,0.05,Dune,random,2,Prop0.03,1,True
RF,0.1225361104266142,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",69,2235,0.04,Dune,random,2,Prop0.03,1,True
SVR,0.12225960514821688,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 2.0}",69,2235,0.02,Dune,random,2,Prop0.03,1,True
CART,0.1793769273269231,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",69,2235,0.01,Dune,random,2,Prop0.03,2,True
kNN,0.15656747930668097,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""distance""}",69,2235,0.02,Dune,random,2,Prop0.03,2,True
KRR,0.13720034820363808,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.01}",69,2235,0.02,Dune,random,2,Prop0.03,2,True
MR,0.11072581006454776,"{""lasso__regressor__alpha"": 0.001}",69,2235,0.05,Dune,random,2,Prop0.03,2,True
RF,0.11552675557418048,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",69,2235,0.04,Dune,random,2,Prop0.03,2,True
SVR,0.11519857609329037,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 2.0}",69,2235,0.02,Dune,random,2,Prop0.03,2,True
CART,0.12879162446073927,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",69,2235,0.0,Dune,random,2,Prop0.03,3,True
kNN,0.18106839700969565,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""distance""}",69,2235,0.02,Dune,random,2,Prop0.03,3,True
KRR,0.14508908834978296,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.01}",69,2235,0.01,Dune,random,2,Prop0.03,3,True
MR,0.16883309802334978,"{""lasso__regressor__alpha"": 0.001}",69,2235,0.04,Dune,random,2,Prop0.03,3,True
RF,0.13161194456994338,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",69,2235,0.04,Dune,random,2,Prop0.03,3,True
SVR,0.13587368657687696,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 2.0}",69,2235,0.02,Dune,random,2,Prop0.03,3,True
CART,0.11961286376915296,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",69,2235,0.0,Dune,random,2,Prop0.03,4,True
kNN,0.19363633301560926,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""distance""}",69,2235,0.02,Dune,random,2,Prop0.03,4,True
KRR,0.2592607954432914,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.01}",69,2235,0.01,Dune,random,2,Prop0.03,4,True
MR,0.26887274029744734,"{""lasso__regressor__alpha"": 0.001}",69,2235,0.04,Dune,random,2,Prop0.03,4,True
RF,0.12930368768053496,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",69,2235,0.04,Dune,random,2,Prop0.03,4,True
SVR,0.13237524250926963,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 2.0}",69,2235,0.02,Dune,random,2,Prop0.03,4,True
CART,0.12731462246244074,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",69,2235,0.0,Dune,random,2,Prop0.03,5,True
kNN,0.14131167729144284,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""distance""}",69,2235,0.02,Dune,random,2,Prop0.03,5,True
