technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.09939209031744049,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",539,12946,0.02,Hippacc,random,2,Prop0.04,1,True
kNN,0.17867326073637793,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",539,12946,0.58,Hippacc,random,2,Prop0.04,1,True
KRR,0.1125268168754246,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.2, ""regressor__alpha"": 0.0001}",539,12946,0.28,Hippacc,random,2,Prop0.04,1,True
MR,0.09150008558186405,"{""lasso__regressor__alpha"": 0.001}",539,12946,0.56,Hippacc,random,2,Prop0.04,1,True
RF,0.08643660633325552,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",539,12946,0.16,Hippacc,random,2,Prop0.04,1,True
SVR,0.12035311819384077,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 1.0}",539,12946,0.61,Hippacc,random,2,Prop0.04,1,True
CART,0.08137205316817457,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",539,12946,0.02,Hippacc,random,2,Prop0.04,2,True
kNN,0.18159636002531224,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",539,12946,0.59,Hippacc,random,2,Prop0.04,2,True
KRR,0.09984852328640065,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.2, ""regressor__alpha"": 0.0001}",539,12946,0.27,Hippacc,random,2,Prop0.04,2,True
MR,0.08897946500254388,"{""lasso__regressor__alpha"": 0.001}",539,12946,0.55,Hippacc,random,2,Prop0.04,2,True
RF,0.07232927859486797,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",539,12946,0.16,Hippacc,random,2,Prop0.04,2,True
