technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,1.9533088892324546,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",22,410,0.01,Irzip,random,2,Prop0.05,1,True
kNN,2.9129536157156397,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",22,410,0.0,Irzip,random,2,Prop0.05,1,True
KRR,2.029215371611151,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",22,410,0.02,Irzip,random,2,Prop0.05,1,True
MR,1.5612199355086114,"{""lasso__regressor__alpha"": 0.001}",22,410,0.01,Irzip,random,2,Prop0.05,1,True
RF,0.6560577639037555,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",22,410,0.04,Irzip,random,2,Prop0.05,1,True
SVR,1.5918093432432299,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",22,410,0.01,Irzip,random,2,Prop0.05,1,True
CART,1.1972500661323369,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",22,410,0.01,Irzip,random,2,Prop0.05,2,True
kNN,1.4024754221395952,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",22,410,0.0,Irzip,random,2,Prop0.05,2,True
KRR,1.504508585409618,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",22,410,0.02,Irzip,random,2,Prop0.05,2,True
MR,0.30931706204758064,"{""lasso__regressor__alpha"": 0.001}",22,410,0.01,Irzip,random,2,Prop0.05,2,True
RF,0.830881500895197,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",22,410,0.04,Irzip,random,2,Prop0.05,2,True
SVR,1.1497797868702682,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",22,410,0.01,Irzip,random,2,Prop0.05,2,True
CART,6.759416647109201,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",22,410,0.0,Irzip,random,2,Prop0.05,3,True
