technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.03436476102610353,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",19354,174182,0.2,JavaGC,random,2,Prop0.1,1,True
kNN,0.4237787748609165,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",10000,174182,90.27,JavaGC,random,2,Prop0.1,1,True
KRR,0.059119751133771214,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",10000,174182,78.14,JavaGC,random,2,Prop0.1,1,True
MR,0.17285587244908288,"{""lasso__regressor__alpha"": 0.001}",19354,174182,10.85,JavaGC,random,2,Prop0.1,1,True
RF,0.028156198082813954,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",19354,174182,2.38,JavaGC,random,2,Prop0.1,1,True
SVR,0.13287825058281513,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",10000,174182,65.75,JavaGC,random,2,Prop0.1,1,True
CART,0.03425122976314292,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",19354,174182,0.19,JavaGC,random,2,Prop0.1,2,True
kNN,0.4226510535160885,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",10000,174182,92.09,JavaGC,random,2,Prop0.1,2,True
KRR,0.06052563020415858,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",10000,174182,78.53,JavaGC,random,2,Prop0.1,2,True
MR,0.17509608454838205,"{""lasso__regressor__alpha"": 0.001}",19354,174182,10.46,JavaGC,random,2,Prop0.1,2,True
RF,0.02838040522117242,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",19354,174182,2.34,JavaGC,random,2,Prop0.1,2,True
SVR,0.13444472678982686,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",10000,174182,65.92,JavaGC,random,2,Prop0.1,2,True
CART,0.034755128766216295,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",19354,174182,0.18,JavaGC,random,2,Prop0.1,3,True
kNN,0.43025023152448205,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",10000,174182,89.09,JavaGC,random,2,Prop0.1,3,True
KRR,0.059205017187312234,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",10000,174182,77.72,JavaGC,random,2,Prop0.1,3,True
MR,0.1813538718084502,"{""lasso__regressor__alpha"": 0.001}",19354,174182,10.63,JavaGC,random,2,Prop0.1,3,True
RF,0.028302157230380924,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",19354,174182,2.69,JavaGC,random,2,Prop0.1,3,True
SVR,0.14364332702982194,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",10000,174182,64.83,JavaGC,random,2,Prop0.1,3,True
CART,0.034706213973183894,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",19354,174182,0.18,JavaGC,random,2,Prop0.1,4,True
kNN,0.435124917184829,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",10000,174182,91.27,JavaGC,random,2,Prop0.1,4,True
KRR,0.06132495168341142,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",10000,174182,78.31,JavaGC,random,2,Prop0.1,4,True
MR,0.18299218919021124,"{""lasso__regressor__alpha"": 0.001}",19354,174182,9.91,JavaGC,random,2,Prop0.1,4,True
RF,0.028388087330015587,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",19354,174182,2.28,JavaGC,random,2,Prop0.1,4,True
SVR,0.14199001689615415,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",10000,174182,62.74,JavaGC,random,2,Prop0.1,4,True
CART,0.0345046013381789,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",19354,174182,0.16,JavaGC,random,2,Prop0.1,5,True
kNN,0.4308612948825484,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",10000,174182,83.7,JavaGC,random,2,Prop0.1,5,True
KRR,0.05914021402728015,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",10000,174182,73.87,JavaGC,random,2,Prop0.1,5,True
MR,0.17752462862504642,"{""lasso__regressor__alpha"": 0.001}",19354,174182,9.59,JavaGC,random,2,Prop0.1,5,True
RF,0.028288047859546195,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",19354,174182,2.22,JavaGC,random,2,Prop0.1,5,True
SVR,0.1417936682097811,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",10000,174182,63.04,JavaGC,random,2,Prop0.1,5,True
CART,0.034431880835995604,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",19354,174182,0.17,JavaGC,random,2,Prop0.1,6,True
kNN,0.42095177258731836,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",10000,174182,85.85,JavaGC,random,2,Prop0.1,6,True
KRR,0.05969826636261615,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",10000,174182,74.33,JavaGC,random,2,Prop0.1,6,True
MR,0.17245526325364666,"{""lasso__regressor__alpha"": 0.001}",19354,174182,8.61,JavaGC,random,2,Prop0.1,6,True
RF,0.02837470965087073,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",19354,174182,2.17,JavaGC,random,2,Prop0.1,6,True
