technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.012906979782353641,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""random""}",1800,58200,0.03,Polly,random,2,Prop0.03,1,True
kNN,0.13808245380876288,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1800,58200,6.06,Polly,random,2,Prop0.03,1,True
KRR,0.037687127891425094,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",1800,58200,3.71,Polly,random,2,Prop0.03,1,True
MR,0.11292758156508856,"{""lasso__regressor__alpha"": 0.001}",1800,58200,1.49,Polly,random,2,Prop0.03,1,True
RF,0.01120747562446094,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",1800,58200,0.4,Polly,random,2,Prop0.03,1,True
SVR,0.046508673685748646,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",1800,58200,7.52,Polly,random,2,Prop0.03,1,True
CART,0.013169816654118737,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""random""}",1800,58200,0.03,Polly,random,2,Prop0.03,2,True
kNN,0.13667192813742923,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1800,58200,6.17,Polly,random,2,Prop0.03,2,True
KRR,0.04156758199012189,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",1800,58200,3.68,Polly,random,2,Prop0.03,2,True
MR,0.1127272190094243,"{""lasso__regressor__alpha"": 0.001}",1800,58200,1.57,Polly,random,2,Prop0.03,2,True
RF,0.010896965404164884,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",1800,58200,0.47,Polly,random,2,Prop0.03,2,True
SVR,0.05170998340149045,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",1800,58200,9.29,Polly,random,2,Prop0.03,2,True
CART,0.012978432088111488,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""random""}",1800,58200,0.02,Polly,random,2,Prop0.03,3,True
kNN,0.13465155969747455,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",1800,58200,5.76,Polly,random,2,Prop0.03,3,True
