technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.023978669075175065,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8640,207360,0.13,VP9,random,2,Prop0.04,1,True
kNN,1.4317938519843831,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",8640,207360,100.28,VP9,random,2,Prop0.04,1,True
KRR,0.10556822605068208,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.01}",8640,207360,72.6,VP9,random,2,Prop0.04,1,True
MR,0.38512358499964716,"{""lasso__regressor__alpha"": 0.01}",8640,207360,6.39,VP9,random,2,Prop0.04,1,True
RF,0.021205486532924395,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",8640,207360,1.62,VP9,random,2,Prop0.04,1,True
SVR,0.4145581939874037,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",8640,207360,40.95,VP9,random,2,Prop0.04,1,True
CART,0.023736751701736333,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8640,207360,0.11,VP9,random,2,Prop0.04,2,True
kNN,1.393119207663547,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",8640,207360,101.99,VP9,random,2,Prop0.04,2,True
KRR,0.10698757071239508,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.01}",8640,207360,72.93,VP9,random,2,Prop0.04,2,True
MR,0.39153227165775595,"{""lasso__regressor__alpha"": 0.01}",8640,207360,6.57,VP9,random,2,Prop0.04,2,True
RF,0.02151116172685846,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",8640,207360,1.53,VP9,random,2,Prop0.04,2,True
SVR,0.4097657904739013,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",8640,207360,42.92,VP9,random,2,Prop0.04,2,True
CART,0.023938595801417224,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8640,207360,0.1,VP9,random,2,Prop0.04,3,True
kNN,1.4830143783951508,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",8640,207360,99.21,VP9,random,2,Prop0.04,3,True
KRR,0.10999639339436566,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.01}",8640,207360,70.98,VP9,random,2,Prop0.04,3,True
MR,0.38960165400107793,"{""lasso__regressor__alpha"": 0.01}",8640,207360,6.13,VP9,random,2,Prop0.04,3,True
RF,0.02136788031863207,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",8640,207360,1.65,VP9,random,2,Prop0.04,3,True
SVR,0.4120075765433586,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",8640,207360,44.3,VP9,random,2,Prop0.04,3,True
CART,0.024497645854447563,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8640,207360,0.11,VP9,random,2,Prop0.04,4,True
kNN,1.44197060479601,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",8640,207360,101.63,VP9,random,2,Prop0.04,4,True
KRR,0.10587689945644291,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.01}",8640,207360,70.7,VP9,random,2,Prop0.04,4,True
MR,0.3841221738076679,"{""lasso__regressor__alpha"": 0.01}",8640,207360,5.67,VP9,random,2,Prop0.04,4,True
RF,0.021455336396741315,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",8640,207360,1.53,VP9,random,2,Prop0.04,4,True
