technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.3173105915973229,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""random""}",859,67781,0.02,7z,dbs,1,T3,1,True
kNN,0.7073445666655876,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",859,67781,3.53,7z,dbs,1,T3,1,True
KRR,0.745858320181515,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",859,67781,1.91,7z,dbs,1,T3,1,True
MR,0.7473182386923533,"{""lasso__regressor__alpha"": 0.001}",859,67781,1.69,7z,dbs,1,T3,1,True
RF,0.3058911848014842,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 15}",859,67781,0.11,7z,dbs,1,T3,1,True
SVR,0.5580736702236548,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",859,67781,1.49,7z,dbs,1,T3,1,True
CART,0.3194211032583406,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""random""}",859,67781,0.01,7z,dbs,1,T3,2,True
kNN,0.634705866436247,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",859,67781,3.62,7z,dbs,1,T3,2,True
KRR,0.7517623994723461,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",859,67781,1.8,7z,dbs,1,T3,2,True
MR,0.6772834534076243,"{""lasso__regressor__alpha"": 0.001}",859,67781,1.78,7z,dbs,1,T3,2,True
RF,0.3138640148002159,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 15}",859,67781,0.11,7z,dbs,1,T3,2,True
SVR,0.5125420283350778,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",859,67781,1.39,7z,dbs,1,T3,2,True
CART,0.3210696960925695,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""random""}",859,67781,0.01,7z,dbs,1,T3,3,True
