technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.4609271427942118,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.02,7z,dbs,1,T1,1,True
kNN,0.5395549164258218,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,dbs,1,T1,1,True
KRR,0.5778733066016207,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.07,7z,dbs,1,T1,1,True
MR,0.5761236450437939,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.12,7z,dbs,1,T1,1,True
RF,0.587291469728299,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,dbs,1,T1,1,True
SVR,0.532035625434393,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.11,7z,dbs,1,T1,1,True
CART,0.4851853066055019,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.02,7z,dbs,1,T1,2,True
kNN,1.4950056921527504,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,dbs,1,T1,2,True
KRR,0.9775212413083583,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.07,7z,dbs,1,T1,2,True
MR,1.8130353124601775,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.12,7z,dbs,1,T1,2,True
RF,1.535510924525441,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,dbs,1,T1,2,True
SVR,0.9435043689329042,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.1,7z,dbs,1,T1,2,True
CART,0.4569944416345817,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,dbs,1,T1,3,True
kNN,0.6157249576988985,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,dbs,1,T1,3,True
KRR,0.6310827256153554,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.06,7z,dbs,1,T1,3,True
MR,0.6594922592046311,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.11,7z,dbs,1,T1,3,True
RF,0.6247531537856256,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,dbs,1,T1,3,True
SVR,0.6473993252649781,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.13,7z,dbs,1,T1,3,True
CART,0.6929241446889376,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,dbs,1,T1,4,True
kNN,0.5647560390284351,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,dbs,1,T1,4,True
KRR,0.6168283262627958,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.07,7z,dbs,1,T1,4,True
MR,0.6987161553238583,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.06,7z,dbs,1,T1,4,True
RF,0.6332535089042973,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,dbs,1,T1,4,True
SVR,0.6780606532637085,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.09,7z,dbs,1,T1,4,True
CART,0.5364932633110241,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,dbs,1,T1,5,True
kNN,0.5312424606459719,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,dbs,1,T1,5,True
KRR,0.562407403172753,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.07,7z,dbs,1,T1,5,True
MR,0.5364932633110241,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.14,7z,dbs,1,T1,5,True
RF,0.5399255992353006,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,dbs,1,T1,5,True
SVR,0.5432761460345669,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.08,7z,dbs,1,T1,5,True
CART,0.5126930927818395,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,dbs,1,T1,6,True
kNN,0.5982746715082483,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,dbs,1,T1,6,True
KRR,0.6130327887110012,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.07,7z,dbs,1,T1,6,True
MR,0.7485339512969467,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.17,7z,dbs,1,T1,6,True
RF,0.6346738965214439,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,dbs,1,T1,6,True
SVR,0.6205082435225697,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.09,7z,dbs,1,T1,6,True
CART,0.475217550457817,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,dbs,1,T1,7,True
kNN,0.5691810039890182,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,dbs,1,T1,7,True
KRR,0.5713511579691761,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.06,7z,dbs,1,T1,7,True
MR,0.5892587848533741,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.09,7z,dbs,1,T1,7,True
RF,0.5498513442403511,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.03,7z,dbs,1,T1,7,True
SVR,0.5597708153683865,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.09,7z,dbs,1,T1,7,True
CART,0.5615283811015943,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,dbs,1,T1,8,True
kNN,0.7595926348893026,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,dbs,1,T1,8,True
KRR,0.7070875179911419,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.06,7z,dbs,1,T1,8,True
MR,0.8604609180248807,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.11,7z,dbs,1,T1,8,True
RF,0.7840342154482776,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,dbs,1,T1,8,True
SVR,0.7106255186474507,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.11,7z,dbs,1,T1,8,True
CART,0.4883715782672124,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,dbs,1,T1,9,True
kNN,0.8937161292962722,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,dbs,1,T1,9,True
KRR,0.7028410857658772,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.06,7z,dbs,1,T1,9,True
MR,0.9855952512341023,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.13,7z,dbs,1,T1,9,True
RF,0.9455578586526004,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,dbs,1,T1,9,True
