technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,3.05615279607524,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.02,7z,random,1,T1,1,True
kNN,2.2574456115401498,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.15,7z,random,1,T1,1,True
KRR,2.011660168002246,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.08,7z,random,1,T1,1,True
MR,2.373729130507419,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.36,7z,random,1,T1,1,True
RF,2.3531090363113516,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,random,1,T1,1,True
SVR,1.8434360432844674,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.13,7z,random,1,T1,1,True
CART,1.018242872616338,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.02,7z,random,1,T1,2,True
kNN,1.0509224463016413,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.15,7z,random,1,T1,2,True
KRR,0.8710741058887655,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.08,7z,random,1,T1,2,True
MR,1.1338045677629356,"{""lasso__regressor__alpha"": 1.0}",13,68627,1.39,7z,random,1,T1,2,True
RF,1.2517395079930798,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",13,68627,0.04,7z,random,1,T1,2,True
SVR,0.7032993799297972,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",13,68627,0.13,7z,random,1,T1,2,True
CART,0.9422222816308332,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""splitter"": ""random""}",13,68627,0.01,7z,random,1,T1,3,True
kNN,1.1358596713274212,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",13,68627,0.14,7z,random,1,T1,3,True
KRR,0.8523440296328235,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.1}",13,68627,0.08,7z,random,1,T1,3,True
