technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,2.5691582236268933,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,random,1,T1,1,True
kNN,9.881938793636937,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.01,BerkeleyDBC,random,1,T1,1,True
KRR,8.125361871080116,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.03,BerkeleyDBC,random,1,T1,1,True
MR,2.9874002874941112,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.02,BerkeleyDBC,random,1,T1,1,True
RF,5.6653160419502395,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,2555,0.03,BerkeleyDBC,random,1,T1,1,True
SVR,4.588355135336163,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,2555,0.01,BerkeleyDBC,random,1,T1,1,True
CART,0.6088338642461864,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,random,1,T1,2,True
kNN,2.292881896628996,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.01,BerkeleyDBC,random,1,T1,2,True
KRR,2.4992473508791795,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.02,BerkeleyDBC,random,1,T1,2,True
MR,2.279228937244791,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.02,BerkeleyDBC,random,1,T1,2,True
RF,1.8386742798246463,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,2555,0.03,BerkeleyDBC,random,1,T1,2,True
SVR,1.7052715554517286,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,2555,0.01,BerkeleyDBC,random,1,T1,2,True
CART,6.750483389416825,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,random,1,T1,3,True
kNN,15.995081889039474,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.01,BerkeleyDBC,random,1,T1,3,True
KRR,10.377875940502944,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.02,BerkeleyDBC,random,1,T1,3,True
MR,9.883419904932826,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.02,BerkeleyDBC,random,1,T1,3,True
RF,16.36252241169424,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,2555,0.03,BerkeleyDBC,random,1,T1,3,True
SVR,9.537390590194882,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,2555,0.01,BerkeleyDBC,random,1,T1,3,True
CART,1.0914876868452181,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,random,1,T1,4,True
kNN,6.85688273920507,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.01,BerkeleyDBC,random,1,T1,4,True
KRR,7.508304556974189,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.02,BerkeleyDBC,random,1,T1,4,True
MR,4.776270576610712,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.02,BerkeleyDBC,random,1,T1,4,True
RF,7.21411662637031,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,2555,0.03,BerkeleyDBC,random,1,T1,4,True
SVR,3.8115954457144827,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,2555,0.01,BerkeleyDBC,random,1,T1,4,True
CART,1.1354681398298434,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,random,1,T1,5,True
kNN,6.909927071476622,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.0,BerkeleyDBC,random,1,T1,5,True
KRR,6.009013059878832,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.0,BerkeleyDBC,random,1,T1,5,True
MR,4.859090908833591,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.01,BerkeleyDBC,random,1,T1,5,True
RF,4.631209735189486,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,2555,0.03,BerkeleyDBC,random,1,T1,5,True
SVR,2.9999853271915486,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,2555,0.0,BerkeleyDBC,random,1,T1,5,True
CART,0.8013999608267408,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,random,1,T1,6,True
kNN,2.617962049922756,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.0,BerkeleyDBC,random,1,T1,6,True
KRR,2.6944777838913665,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.0,BerkeleyDBC,random,1,T1,6,True
MR,1.871989299160523,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.02,BerkeleyDBC,random,1,T1,6,True
RF,2.395944518469748,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,2555,0.03,BerkeleyDBC,random,1,T1,6,True
SVR,2.0683912685262005,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,2555,0.0,BerkeleyDBC,random,1,T1,6,True
CART,0.5706092163950763,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,random,1,T1,7,True
kNN,6.240293717086383,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.0,BerkeleyDBC,random,1,T1,7,True
KRR,6.986324107638929,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.0,BerkeleyDBC,random,1,T1,7,True
MR,4.4853306599997005,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.02,BerkeleyDBC,random,1,T1,7,True
