technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,3.4385363792261536,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,rsbs,1,T1,1,True
kNN,3.1795564890255372,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.0,BerkeleyDBC,rsbs,1,T1,1,True
KRR,1.7772120697448388,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.01,BerkeleyDBC,rsbs,1,T1,1,True
MR,0.774610857138176,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.01,BerkeleyDBC,rsbs,1,T1,1,True
RF,2.0890702761453546,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,2555,0.03,BerkeleyDBC,rsbs,1,T1,1,True
SVR,3.434775552228163,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,2555,0.0,BerkeleyDBC,rsbs,1,T1,1,True
CART,4.496686844555736,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,rsbs,1,T1,2,True
kNN,3.6103805705070715,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.0,BerkeleyDBC,rsbs,1,T1,2,True
KRR,3.1085341339105828,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.02,BerkeleyDBC,rsbs,1,T1,2,True
MR,2.3459252156621395,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.01,BerkeleyDBC,rsbs,1,T1,2,True
RF,2.1930002296268833,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,2555,0.03,BerkeleyDBC,rsbs,1,T1,2,True
SVR,5.03858973162769,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,2555,0.0,BerkeleyDBC,rsbs,1,T1,2,True
CART,12.16969921366193,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.0,BerkeleyDBC,rsbs,1,T1,3,True
kNN,6.764831081307681,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.0,BerkeleyDBC,rsbs,1,T1,3,True
KRR,5.622310732636531,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.01,BerkeleyDBC,rsbs,1,T1,3,True
MR,2.575934773744649,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.01,BerkeleyDBC,rsbs,1,T1,3,True
