technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,2.549057449065707,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,2555,0.01,BerkeleyDBC,twise,1,T1,1,True
kNN,1.1362310331739212,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,2555,0.0,BerkeleyDBC,twise,1,T1,1,True
KRR,1.8598915245687098,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,2555,0.02,BerkeleyDBC,twise,1,T1,1,True
MR,1.6138464390880767,"{""lasso__regressor__alpha"": 0.001}",5,2555,0.01,BerkeleyDBC,twise,1,T1,1,True
RF,1.5682939472491073,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,2555,0.02,BerkeleyDBC,twise,1,T1,1,True
SVR,0.9558339551733449,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,2555,0.0,BerkeleyDBC,twise,1,T1,1,True
CART,0.9709186598141766,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",21,2539,0.0,BerkeleyDBC,twise,1,T2,1,True
kNN,2.173169014005386,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",21,2539,0.01,BerkeleyDBC,twise,1,T2,1,True
KRR,5.377875679462246,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",21,2539,0.01,BerkeleyDBC,twise,1,T2,1,True
MR,3.755322576757718,"{""lasso__regressor__alpha"": 0.001}",21,2539,0.02,BerkeleyDBC,twise,1,T2,1,True
RF,2.010226574120212,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",21,2539,0.03,BerkeleyDBC,twise,1,T2,1,True
SVR,2.109905075600242,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",21,2539,0.0,BerkeleyDBC,twise,1,T2,1,True
CART,0.06614236212910847,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",57,2503,0.0,BerkeleyDBC,twise,1,T3,1,True
kNN,2.583657823364162,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",57,2503,0.01,BerkeleyDBC,twise,1,T3,1,True
KRR,2.332014199245203,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.2, ""regressor__alpha"": 0.1}",57,2503,0.01,BerkeleyDBC,twise,1,T3,1,True
MR,0.10637469841677685,"{""lasso__regressor__alpha"": 0.001}",57,2503,0.01,BerkeleyDBC,twise,1,T3,1,True
RF,0.2613085775612398,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 10}",57,2503,0.01,BerkeleyDBC,twise,1,T3,1,True
SVR,2.0559888236274104,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 2.0}",57,2503,0.01,BerkeleyDBC,twise,1,T3,1,True
