technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.21355372903140513,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,dbs,1,T1,1,True
kNN,0.1852138002479677,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,dbs,1,T1,1,True
KRR,0.20038007665179763,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,dbs,1,T1,1,True
MR,0.1962443326302374,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,dbs,1,T1,1,True
RF,0.2042815689073084,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,dbs,1,T1,1,True
SVR,0.22482830355543632,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,dbs,1,T1,1,True
CART,0.21355372903140513,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,dbs,1,T1,2,True
kNN,0.1852138002479677,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,dbs,1,T1,2,True
KRR,0.20038007665179763,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,dbs,1,T1,2,True
MR,0.1962443326302374,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,dbs,1,T1,2,True
RF,0.2042815689073084,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,dbs,1,T1,2,True
SVR,0.22482830355543632,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,dbs,1,T1,2,True
CART,0.21355372903140513,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,dbs,1,T1,3,True
kNN,0.1852138002479677,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,dbs,1,T1,3,True
KRR,0.20038007665179763,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,dbs,1,T1,3,True
MR,0.1962443326302374,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,dbs,1,T1,3,True
RF,0.2042815689073084,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,dbs,1,T1,3,True
SVR,0.22482830355543632,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,dbs,1,T1,3,True
CART,0.21355372903140513,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,dbs,1,T1,4,True
kNN,0.1852138002479677,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.01,Dune,dbs,1,T1,4,True
KRR,0.20038007665179763,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,dbs,1,T1,4,True
MR,0.1962443326302374,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,dbs,1,T1,4,True
