technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.28024594775169265,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,ddbs,1,T1,1,True
kNN,0.23933154206328033,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,ddbs,1,T1,1,True
KRR,0.23293198276890717,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.02,Dune,ddbs,1,T1,1,True
MR,0.24146796123095948,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,ddbs,1,T1,1,True
RF,0.2572240875801274,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,ddbs,1,T1,1,True
SVR,0.22168715678106554,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,ddbs,1,T1,1,True
CART,0.18805335054249972,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,ddbs,1,T1,2,True
kNN,0.22118197123894207,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,ddbs,1,T1,2,True
KRR,0.1955525034190356,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,ddbs,1,T1,2,True
MR,0.2142584443162093,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,ddbs,1,T1,2,True
RF,0.21025325729426128,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,ddbs,1,T1,2,True
SVR,0.22773141246330397,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,ddbs,1,T1,2,True
CART,0.1956282695061756,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,ddbs,1,T1,3,True
kNN,0.19443715027504252,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,ddbs,1,T1,3,True
KRR,0.17350454562636516,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,ddbs,1,T1,3,True
MR,0.19499161357802525,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.03,Dune,ddbs,1,T1,3,True
RF,0.19774119980599011,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,ddbs,1,T1,3,True
SVR,0.21636078406924875,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.01,Dune,ddbs,1,T1,3,True
CART,0.1751472475305952,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,ddbs,1,T1,4,True
kNN,0.19259715630505495,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,ddbs,1,T1,4,True
KRR,0.15747221811064535,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,ddbs,1,T1,4,True
MR,0.19016623498255,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,ddbs,1,T1,4,True
RF,0.1974147186377415,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,ddbs,1,T1,4,True
SVR,0.19281941159817614,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.01,Dune,ddbs,1,T1,4,True
CART,0.16889440910247117,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,ddbs,1,T1,5,True
kNN,0.20645149074255875,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,ddbs,1,T1,5,True
KRR,0.18882770555226788,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.0,Dune,ddbs,1,T1,5,True
MR,0.20511280224827827,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,ddbs,1,T1,5,True
RF,0.202673457794634,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,ddbs,1,T1,5,True
SVR,0.22299234187866748,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,ddbs,1,T1,5,True
CART,0.16565493517537214,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,ddbs,1,T1,6,True
kNN,0.20483986383392144,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,ddbs,1,T1,6,True
KRR,0.1604158211148495,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.0,Dune,ddbs,1,T1,6,True
MR,0.20128355278607704,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,ddbs,1,T1,6,True
RF,0.21532276337864512,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,ddbs,1,T1,6,True
SVR,0.21226673125453674,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,ddbs,1,T1,6,True
