technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.17192375503240145,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,1,True
kNN,0.172318572112859,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,1,True
KRR,0.1663245231476586,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,rsbs,1,T1,1,True
MR,0.17127839686947147,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,1,True
RF,0.16943648306920142,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,1,True
SVR,0.1710027147586248,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.01,Dune,rsbs,1,T1,1,True
CART,0.23422230370127403,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,2,True
kNN,0.16738858188032668,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,2,True
KRR,0.17720075629579274,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,rsbs,1,T1,2,True
MR,0.17158149888144672,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,2,True
RF,0.171688845316938,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,2,True
SVR,0.1689996519421068,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.01,Dune,rsbs,1,T1,2,True
CART,0.16088692049926806,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,3,True
kNN,0.16703324803211092,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,3,True
KRR,0.16178131992403041,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,rsbs,1,T1,3,True
MR,0.17273235483803798,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,3,True
RF,0.16306260883324789,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,3,True
SVR,0.1678416050369067,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,rsbs,1,T1,3,True
CART,0.19575346975863037,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,4,True
kNN,0.18147627055483243,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,4,True
KRR,0.16922791855871136,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.01,Dune,rsbs,1,T1,4,True
MR,0.18527811150565696,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,4,True
RF,0.16147157422732442,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,4,True
SVR,0.18795842171352722,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.01,Dune,rsbs,1,T1,4,True
CART,0.18522132255410226,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,5,True
kNN,0.1692688158244282,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,5,True
KRR,0.17165545407434682,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.0,Dune,rsbs,1,T1,5,True
MR,0.17099858372391666,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,5,True
RF,0.18350950220089537,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,5,True
SVR,0.17157295716352486,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,rsbs,1,T1,5,True
CART,0.1773559240680968,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,6,True
kNN,0.16416802185196527,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,6,True
KRR,0.15750247855122362,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.0,Dune,rsbs,1,T1,6,True
MR,0.17336179183557426,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,6,True
RF,0.16659951439616555,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,6,True
SVR,0.1693914295622266,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.01,Dune,rsbs,1,T1,6,True
CART,0.19940887506947672,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,7,True
kNN,0.163829844532783,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,7,True
KRR,0.16039300769535808,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.0,Dune,rsbs,1,T1,7,True
MR,0.17345526761354613,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,7,True
RF,0.16409392492254116,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,7,True
SVR,0.1817770254021038,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,rsbs,1,T1,7,True
CART,0.16523585247331699,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,8,True
kNN,0.16605996481478055,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,8,True
KRR,0.15671140542036122,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.0,Dune,rsbs,1,T1,8,True
MR,0.17292207816993949,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,8,True
RF,0.16389833813912427,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,8,True
SVR,0.17071218771049856,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.01,Dune,rsbs,1,T1,8,True
CART,0.1698727896201309,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,9,True
kNN,0.18103943784857973,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,9,True
KRR,0.16788875723947788,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.0,Dune,rsbs,1,T1,9,True
MR,0.18201406203229475,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,9,True
RF,0.18118659343429547,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,9,True
SVR,0.17902761479800963,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",8,2296,0.0,Dune,rsbs,1,T1,9,True
CART,0.17516730305271233,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""splitter"": ""best""}",8,2296,0.0,Dune,rsbs,1,T1,10,True
kNN,0.16435028591534293,"{""n_neighbors"": 6, ""p"": 1, ""weights"": ""distance""}",8,2296,0.0,Dune,rsbs,1,T1,10,True
KRR,0.1638607030436216,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",8,2296,0.0,Dune,rsbs,1,T1,10,True
MR,0.1710747608961481,"{""lasso__regressor__alpha"": 1.0}",8,2296,0.02,Dune,rsbs,1,T1,10,True
RF,0.17627018352857232,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",8,2296,0.02,Dune,rsbs,1,T1,10,True
