technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,1.1215246086744386,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.01,Hippacc,dbs,1,T1,1,True
kNN,0.3182373908758541,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.04,Hippacc,dbs,1,T1,1,True
KRR,0.3728196250679964,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.03,Hippacc,dbs,1,T1,1,True
MR,0.4152141398224866,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.3,Hippacc,dbs,1,T1,1,True
RF,0.38813007723352866,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.05,Hippacc,dbs,1,T1,1,True
SVR,0.337122916205594,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.03,Hippacc,dbs,1,T1,1,True
CART,0.5901181130012183,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.01,Hippacc,dbs,1,T1,2,True
kNN,0.33928919177757727,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.04,Hippacc,dbs,1,T1,2,True
KRR,0.39355365863461333,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.03,Hippacc,dbs,1,T1,2,True
MR,0.5880058222440054,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.3,Hippacc,dbs,1,T1,2,True
RF,0.2892459576579203,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.05,Hippacc,dbs,1,T1,2,True
SVR,0.2886964524721528,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.03,Hippacc,dbs,1,T1,2,True
CART,0.38029567471081177,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.0,Hippacc,dbs,1,T1,3,True
kNN,0.3227529378217715,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.03,Hippacc,dbs,1,T1,3,True
KRR,0.33369246745961406,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.02,Hippacc,dbs,1,T1,3,True
MR,0.33633626245625,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.3,Hippacc,dbs,1,T1,3,True
RF,0.24128608392867365,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.05,Hippacc,dbs,1,T1,3,True
SVR,0.26870966995482237,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.03,Hippacc,dbs,1,T1,3,True
CART,1.567308177605654,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.0,Hippacc,dbs,1,T1,4,True
kNN,0.42362779831129155,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.04,Hippacc,dbs,1,T1,4,True
KRR,0.5249275259991759,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.02,Hippacc,dbs,1,T1,4,True
MR,0.5796426215062851,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.29,Hippacc,dbs,1,T1,4,True
RF,1.2541864148470945,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.05,Hippacc,dbs,1,T1,4,True
SVR,0.49293820554633644,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.03,Hippacc,dbs,1,T1,4,True
CART,0.27930456536793713,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.0,Hippacc,dbs,1,T1,5,True
kNN,0.27451743482395013,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.04,Hippacc,dbs,1,T1,5,True
KRR,0.22603017207582174,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.02,Hippacc,dbs,1,T1,5,True
MR,0.22534274101775192,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.32,Hippacc,dbs,1,T1,5,True
RF,0.22975022590405192,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.05,Hippacc,dbs,1,T1,5,True
SVR,0.27413920418996474,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.04,Hippacc,dbs,1,T1,5,True
CART,0.21389546463298695,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.0,Hippacc,dbs,1,T1,6,True
kNN,0.2761339223719698,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.04,Hippacc,dbs,1,T1,6,True
KRR,0.23127848142235297,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.02,Hippacc,dbs,1,T1,6,True
MR,0.19426981488803707,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.28,Hippacc,dbs,1,T1,6,True
RF,0.19552447918519109,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.05,Hippacc,dbs,1,T1,6,True
SVR,0.25921748249231935,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.04,Hippacc,dbs,1,T1,6,True
CART,0.219502439137057,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.0,Hippacc,dbs,1,T1,7,True
kNN,0.22382150983334806,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.03,Hippacc,dbs,1,T1,7,True
KRR,0.2078371351212438,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.02,Hippacc,dbs,1,T1,7,True
MR,0.18556890085953806,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.32,Hippacc,dbs,1,T1,7,True
RF,0.1786442361581295,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.05,Hippacc,dbs,1,T1,7,True
SVR,0.22698366636967024,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.04,Hippacc,dbs,1,T1,7,True
CART,0.26119184893737946,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.0,Hippacc,dbs,1,T1,8,True
kNN,0.25318967584394636,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.04,Hippacc,dbs,1,T1,8,True
KRR,0.27388262813581815,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.02,Hippacc,dbs,1,T1,8,True
MR,0.3743125303829012,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.3,Hippacc,dbs,1,T1,8,True
RF,0.2004980553794871,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.05,Hippacc,dbs,1,T1,8,True
SVR,0.26227450126252827,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.04,Hippacc,dbs,1,T1,8,True
CART,0.21331710025827452,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.0,Hippacc,dbs,1,T1,9,True
kNN,0.20826949593275984,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.03,Hippacc,dbs,1,T1,9,True
KRR,0.20386964872496297,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.02,Hippacc,dbs,1,T1,9,True
MR,0.21655863907944004,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.33,Hippacc,dbs,1,T1,9,True
RF,0.17598029945560026,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.05,Hippacc,dbs,1,T1,9,True
SVR,0.21626810559933937,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.03,Hippacc,dbs,1,T1,9,True
CART,0.18605704417315216,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.0,Hippacc,dbs,1,T1,10,True
