technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.21405703484109653,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.01,Hippacc,random,1,T1,1,True
kNN,0.24181909339783225,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.05,Hippacc,random,1,T1,1,True
KRR,0.21708506468325411,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.04,Hippacc,random,1,T1,1,True
MR,0.22938034782698336,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.36,Hippacc,random,1,T1,1,True
RF,0.20558547423706441,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.04,Hippacc,random,1,T1,1,True
SVR,0.22187775416526956,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.04,Hippacc,random,1,T1,1,True
CART,0.19468976716362282,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.01,Hippacc,random,1,T1,2,True
kNN,0.2300460542632162,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.05,Hippacc,random,1,T1,2,True
KRR,0.1982780714102643,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.05,Hippacc,random,1,T1,2,True
MR,0.19169383535414353,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.37,Hippacc,random,1,T1,2,True
RF,0.17626012731822757,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.04,Hippacc,random,1,T1,2,True
SVR,0.2100340292462076,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.04,Hippacc,random,1,T1,2,True
