technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.22469148339712441,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.01,Hippacc,rsbs,1,T1,1,True
kNN,0.241315061012512,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.04,Hippacc,rsbs,1,T1,1,True
KRR,0.23772047608887148,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.03,Hippacc,rsbs,1,T1,1,True
MR,0.19871699744401913,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.33,Hippacc,rsbs,1,T1,1,True
RF,0.20035166215018038,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.04,Hippacc,rsbs,1,T1,1,True
SVR,0.21751594414364944,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.03,Hippacc,rsbs,1,T1,1,True
CART,0.19973392984660857,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""best""}",21,13464,0.01,Hippacc,rsbs,1,T1,2,True
kNN,0.21950759855198176,"{""n_neighbors"": 12, ""p"": 1, ""weights"": ""uniform""}",21,13464,0.04,Hippacc,rsbs,1,T1,2,True
KRR,0.2302975090459544,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.1}",21,13464,0.03,Hippacc,rsbs,1,T1,2,True
MR,0.2515371732300167,"{""lasso__regressor__alpha"": 0.001}",21,13464,0.33,Hippacc,rsbs,1,T1,2,True
RF,0.18763729649875413,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 20}",21,13464,0.04,Hippacc,rsbs,1,T1,2,True
SVR,0.21205670485228512,"{""regressor__tol"": 0.2, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 1.0}",21,13464,0.03,Hippacc,rsbs,1,T1,2,True
