technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,1.1047578508583331,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,dbs,1,T1,1,True
kNN,1.3866261768668446,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,dbs,1,T1,1,True
KRR,2.502003663394736,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,dbs,1,T1,1,True
MR,0.6442095502155931,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,dbs,1,T1,1,True
RF,1.941471316675419,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,dbs,1,T1,1,True
SVR,1.8743421866695098,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,dbs,1,T1,1,True
CART,0.8189313694270953,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,dbs,1,T1,2,True
kNN,3.2214223940685636,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,dbs,1,T1,2,True
KRR,2.1945359332262715,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,dbs,1,T1,2,True
MR,0.4990648840201814,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,dbs,1,T1,2,True
RF,1.98124582735745,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,dbs,1,T1,2,True
SVR,1.9382481454654295,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,dbs,1,T1,2,True
CART,1.5120891642598706,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,dbs,1,T1,3,True
kNN,4.681716165360125,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,dbs,1,T1,3,True
KRR,2.648526709269307,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,dbs,1,T1,3,True
MR,1.2344246703783486,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,dbs,1,T1,3,True
RF,2.620465219662,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,dbs,1,T1,3,True
SVR,2.5052378701596827,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,dbs,1,T1,3,True
CART,0.8344144064425202,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,dbs,1,T1,4,True
kNN,1.8483691759780199,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,dbs,1,T1,4,True
KRR,2.991863699132039,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,dbs,1,T1,4,True
MR,1.00956415222769,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,dbs,1,T1,4,True
RF,0.7329655720180536,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,dbs,1,T1,4,True
SVR,1.8936174364035114,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,dbs,1,T1,4,True
CART,1.5078885957458485,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,dbs,1,T1,5,True
kNN,2.3461627215813703,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,dbs,1,T1,5,True
KRR,2.4299972771021268,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.0,Irzip,dbs,1,T1,5,True
MR,1.2091215366261432,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,dbs,1,T1,5,True
RF,0.7117262246379501,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,dbs,1,T1,5,True
SVR,1.4817708397306046,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,dbs,1,T1,5,True
CART,0.7406256410493268,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,dbs,1,T1,6,True
kNN,1.5738896892218646,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,dbs,1,T1,6,True
KRR,2.7473208522293384,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.0,Irzip,dbs,1,T1,6,True
MR,0.7403660351545586,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,dbs,1,T1,6,True
RF,1.595062682254208,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,dbs,1,T1,6,True
SVR,1.8597327284253613,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,dbs,1,T1,6,True
CART,0.6480881964562273,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,dbs,1,T1,7,True
kNN,1.3764495513142305,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,dbs,1,T1,7,True
KRR,3.1341053997276433,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.0,Irzip,dbs,1,T1,7,True
MR,0.990290750328748,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,dbs,1,T1,7,True
RF,1.7244349342611383,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,dbs,1,T1,7,True
SVR,1.8862379008749912,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,dbs,1,T1,7,True
CART,1.5233105899266268,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,dbs,1,T1,8,True
