technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,1.0039810024605718,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.01,Irzip,ddbs,1,T1,1,True
kNN,0.7962439825626261,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,ddbs,1,T1,1,True
KRR,0.7603807635884049,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,ddbs,1,T1,1,True
MR,0.5723038078237187,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,ddbs,1,T1,1,True
RF,1.2128598640368533,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.04,Irzip,ddbs,1,T1,1,True
SVR,0.8319217413407028,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.01,Irzip,ddbs,1,T1,1,True
CART,4.622326049790974,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.01,Irzip,ddbs,1,T1,2,True
kNN,2.5754870604277817,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,ddbs,1,T1,2,True
KRR,2.405539025440787,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,ddbs,1,T1,2,True
MR,1.2328685441825469,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,ddbs,1,T1,2,True
RF,1.2038275598414043,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.04,Irzip,ddbs,1,T1,2,True
SVR,1.433069665617665,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.01,Irzip,ddbs,1,T1,2,True
CART,0.4561126621619951,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,ddbs,1,T1,3,True
kNN,0.8977763602331409,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,ddbs,1,T1,3,True
KRR,0.5671353869224066,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,ddbs,1,T1,3,True
MR,0.4712392043238072,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,ddbs,1,T1,3,True
RF,0.8710073480024322,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,ddbs,1,T1,3,True
SVR,0.8966418480555567,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,ddbs,1,T1,3,True
CART,0.7834322147806743,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,ddbs,1,T1,4,True
kNN,0.6055108087910087,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,ddbs,1,T1,4,True
KRR,0.5543607047174501,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,ddbs,1,T1,4,True
MR,0.3360171176657094,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,ddbs,1,T1,4,True
RF,0.6519346512639449,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,ddbs,1,T1,4,True
SVR,0.5859861300662791,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.01,Irzip,ddbs,1,T1,4,True
CART,0.8548541211181547,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,ddbs,1,T1,5,True
kNN,0.9833318998749847,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,ddbs,1,T1,5,True
KRR,0.660653823967234,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,ddbs,1,T1,5,True
MR,0.4700650106838741,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,ddbs,1,T1,5,True
RF,0.7776326653443612,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,ddbs,1,T1,5,True
