technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.36913253562442266,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,random,1,T1,1,True
kNN,2.7311560871187153,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.01,Irzip,random,1,T1,1,True
KRR,2.694028271680613,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.03,Irzip,random,1,T1,1,True
MR,0.6008746972346093,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,random,1,T1,1,True
RF,2.929262711835711,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,random,1,T1,1,True
SVR,2.229555729950046,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,random,1,T1,1,True
CART,0.507117671507777,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,random,1,T1,2,True
kNN,0.5940013063411896,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.01,Irzip,random,1,T1,2,True
KRR,0.5383699811901372,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.03,Irzip,random,1,T1,2,True
MR,0.3950716248467859,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,random,1,T1,2,True
RF,0.4996910987502025,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,random,1,T1,2,True
SVR,0.5645395203422164,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,random,1,T1,2,True
CART,1.1688261547274033,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,random,1,T1,3,True
kNN,7.276757100713467,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.01,Irzip,random,1,T1,3,True
KRR,6.129998706685333,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.03,Irzip,random,1,T1,3,True
MR,2.54782002372845,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,random,1,T1,3,True
RF,6.837205571204293,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,random,1,T1,3,True
SVR,3.753278698171433,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,random,1,T1,3,True
CART,1.134937441157316,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,random,1,T1,4,True
kNN,1.3573155703210626,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.01,Irzip,random,1,T1,4,True
KRR,1.2418988852728299,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.03,Irzip,random,1,T1,4,True
MR,0.6883561365510353,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,random,1,T1,4,True
RF,1.1849979839181868,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,random,1,T1,4,True
SVR,0.7740279193750275,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,random,1,T1,4,True
CART,0.6683880034404539,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,random,1,T1,5,True
kNN,0.7368766025042498,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,random,1,T1,5,True
KRR,0.55226540832381,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.0,Irzip,random,1,T1,5,True
MR,0.40720644366756065,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,random,1,T1,5,True
RF,0.5127136557678571,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,random,1,T1,5,True
SVR,0.6012718816832875,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,random,1,T1,5,True
CART,2.2322463237682726,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,random,1,T1,6,True
kNN,11.486873058288003,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,random,1,T1,6,True
KRR,8.718156650233409,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.0,Irzip,random,1,T1,6,True
MR,2.025402453366413,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,random,1,T1,6,True
RF,9.605463654981586,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,random,1,T1,6,True
SVR,5.2231105356111405,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,random,1,T1,6,True
CART,0.8565314061557574,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,random,1,T1,7,True
kNN,8.937045120148838,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,random,1,T1,7,True
KRR,8.190794071143733,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.0,Irzip,random,1,T1,7,True
MR,1.6441827455794158,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,random,1,T1,7,True
RF,8.745206424250188,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,random,1,T1,7,True
SVR,4.352244661606884,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,random,1,T1,7,True
CART,0.5175846315176997,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,random,1,T1,8,True
kNN,1.205055152748615,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,random,1,T1,8,True
KRR,1.3860172535319357,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.0,Irzip,random,1,T1,8,True
MR,0.8184849571322358,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,random,1,T1,8,True
RF,0.9818896329977332,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,random,1,T1,8,True
SVR,0.7630656965373028,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,random,1,T1,8,True
CART,0.9358561978465055,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,random,1,T1,9,True
kNN,2.2392328545792135,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,random,1,T1,9,True
