technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,7.493657595156789,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,rsbs,1,T1,1,True
kNN,20.050640608443686,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,rsbs,1,T1,1,True
KRR,16.928522875476368,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,rsbs,1,T1,1,True
MR,7.204170019025132,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,rsbs,1,T1,1,True
RF,19.462989118413784,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,rsbs,1,T1,1,True
SVR,20.095409308917095,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,rsbs,1,T1,1,True
CART,0.9186600301004246,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,rsbs,1,T1,2,True
kNN,15.445835854433765,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,rsbs,1,T1,2,True
KRR,9.296754470779508,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,rsbs,1,T1,2,True
MR,0.9508752270848027,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,rsbs,1,T1,2,True
RF,12.00903323131808,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,rsbs,1,T1,2,True
SVR,8.814476292469214,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,rsbs,1,T1,2,True
CART,3.1596154450696248,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,rsbs,1,T1,3,True
kNN,17.088979573938193,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,rsbs,1,T1,3,True
KRR,5.470006383151267,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,rsbs,1,T1,3,True
MR,1.8564154428907453,"{""lasso__regressor__alpha"": 0.001}",9,423,0.01,Irzip,rsbs,1,T1,3,True
RF,16.828303010991423,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.03,Irzip,rsbs,1,T1,3,True
