technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.8843745090327132,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",9,423,0.0,Irzip,sbs,1,T1,1,True
kNN,0.5559544028511755,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",9,423,0.0,Irzip,sbs,1,T1,1,True
KRR,0.5322954411284152,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.05, ""regressor__alpha"": 0.0001}",9,423,0.01,Irzip,sbs,1,T1,1,True
MR,0.498332934423694,"{""lasso__regressor__alpha"": 0.001}",9,423,0.0,Irzip,sbs,1,T1,1,True
RF,0.5606783884433281,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",9,423,0.01,Irzip,sbs,1,T1,1,True
SVR,0.5597100550627384,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",9,423,0.0,Irzip,sbs,1,T1,1,True
CART,1.8272035736330834,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",54,378,0.0,Irzip,sbs,1,T2,1,True
kNN,1.432266887672649,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",54,378,0.0,Irzip,sbs,1,T2,1,True
KRR,1.9488870147338506,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.2, ""regressor__alpha"": 0.01}",54,378,0.01,Irzip,sbs,1,T2,1,True
MR,1.627377376951499,"{""lasso__regressor__alpha"": 0.001}",54,378,0.0,Irzip,sbs,1,T2,1,True
RF,2.637263929918385,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 10}",54,378,0.01,Irzip,sbs,1,T2,1,True
SVR,1.550967941928309,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 1.0}",54,378,0.0,Irzip,sbs,1,T2,1,True
CART,0.21334752900922924,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",108,324,0.0,Irzip,sbs,1,T3,1,True
kNN,0.9096141344319592,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",108,324,0.0,Irzip,sbs,1,T3,1,True
KRR,0.7564636199837708,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.2, ""regressor__alpha"": 0.1}",108,324,0.01,Irzip,sbs,1,T3,1,True
MR,0.3096734805200259,"{""lasso__regressor__alpha"": 0.001}",108,324,0.01,Irzip,sbs,1,T3,1,True
RF,0.22416174954860435,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",108,324,0.02,Irzip,sbs,1,T3,1,True
SVR,0.7663225365505311,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 1.0}",108,324,0.0,Irzip,sbs,1,T3,1,True
