technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,1.8915852335510743,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,dbs,1,T1,1,True
kNN,1.3365949198274207,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.27,JavaGC,dbs,1,T1,1,True
KRR,1.1949979899474341,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.17,JavaGC,dbs,1,T1,1,True
MR,0.9436199649496145,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.26,JavaGC,dbs,1,T1,1,True
RF,1.2756926206795363,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,dbs,1,T1,1,True
SVR,1.688233813760979,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.24,JavaGC,dbs,1,T1,1,True
CART,2.6658716341020163,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,2,True
kNN,2.5100174524226766,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,dbs,1,T1,2,True
KRR,2.816305099179573,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.17,JavaGC,dbs,1,T1,2,True
MR,2.2221224622195077,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.44,JavaGC,dbs,1,T1,2,True
RF,2.3699778604646906,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,dbs,1,T1,2,True
SVR,2.9182676490030715,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.19,JavaGC,dbs,1,T1,2,True
CART,1.0372769849899381,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,dbs,1,T1,3,True
kNN,1.2978645803878452,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,dbs,1,T1,3,True
KRR,1.1316502455223456,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.16,JavaGC,dbs,1,T1,3,True
MR,0.9471492206893849,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.36,JavaGC,dbs,1,T1,3,True
RF,1.2797365650790207,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,dbs,1,T1,3,True
SVR,1.5304985400078794,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.24,JavaGC,dbs,1,T1,3,True
CART,1.184803791812704,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,4,True
kNN,1.2763175003523433,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,dbs,1,T1,4,True
KRR,1.1395819346924794,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.14,JavaGC,dbs,1,T1,4,True
MR,0.8898515703585778,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.33,JavaGC,dbs,1,T1,4,True
RF,1.2891988121397846,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,dbs,1,T1,4,True
SVR,1.8594516415827869,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.24,JavaGC,dbs,1,T1,4,True
CART,3.676307451393383,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,5,True
kNN,2.409887787592264,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.27,JavaGC,dbs,1,T1,5,True
KRR,2.661291792472613,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.15,JavaGC,dbs,1,T1,5,True
MR,2.138409684092969,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.37,JavaGC,dbs,1,T1,5,True
RF,2.5969555074403794,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,dbs,1,T1,5,True
SVR,2.9809833690456693,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.23,JavaGC,dbs,1,T1,5,True
CART,0.8248415534081032,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,6,True
kNN,0.7569897228750513,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,dbs,1,T1,6,True
KRR,0.7705641677643017,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.15,JavaGC,dbs,1,T1,6,True
MR,0.8182512496840871,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.1,JavaGC,dbs,1,T1,6,True
RF,0.6419553342558948,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,dbs,1,T1,6,True
SVR,0.4137365238161924,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.19,JavaGC,dbs,1,T1,6,True
CART,1.0567442916768588,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,7,True
kNN,0.9562392201120006,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,dbs,1,T1,7,True
KRR,1.0913840579637786,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.13,JavaGC,dbs,1,T1,7,True
MR,0.9164357794231605,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.22,JavaGC,dbs,1,T1,7,True
RF,1.023774497776245,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,dbs,1,T1,7,True
SVR,0.9530637543961827,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.24,JavaGC,dbs,1,T1,7,True
CART,2.0582598380392043,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,dbs,1,T1,8,True
kNN,2.234133172711489,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.25,JavaGC,dbs,1,T1,8,True
KRR,2.2684572000779806,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.13,JavaGC,dbs,1,T1,8,True
MR,1.9319558131392724,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.38,JavaGC,dbs,1,T1,8,True
RF,1.778249164892386,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,dbs,1,T1,8,True
SVR,2.5730957631013367,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.18,JavaGC,dbs,1,T1,8,True
CART,1.5440164780209231,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,9,True
kNN,1.2115657759038565,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.25,JavaGC,dbs,1,T1,9,True
KRR,1.7713208869336101,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.12,JavaGC,dbs,1,T1,9,True
MR,1.4010658461117382,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.37,JavaGC,dbs,1,T1,9,True
RF,1.3546882179325905,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,dbs,1,T1,9,True
SVR,1.2238261096460816,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.25,JavaGC,dbs,1,T1,9,True
CART,2.0129307939914685,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,10,True
kNN,1.6326656975449907,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.25,JavaGC,dbs,1,T1,10,True
KRR,1.809985320909393,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.12,JavaGC,dbs,1,T1,10,True
MR,1.6263935949805484,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.31,JavaGC,dbs,1,T1,10,True
RF,1.5511450778198361,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,dbs,1,T1,10,True
SVR,1.4215795368555766,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.24,JavaGC,dbs,1,T1,10,True
CART,1.089656003445827,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,11,True
kNN,1.2245612908153456,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.24,JavaGC,dbs,1,T1,11,True
KRR,1.7298883491932013,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.12,JavaGC,dbs,1,T1,11,True
MR,1.387227517369212,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.18,JavaGC,dbs,1,T1,11,True
RF,1.2302881048534091,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,dbs,1,T1,11,True
SVR,1.1802646656660525,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.24,JavaGC,dbs,1,T1,11,True
CART,2.4310975094292893,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,12,True
kNN,1.8161647081656953,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,dbs,1,T1,12,True
KRR,2.155803051255169,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.13,JavaGC,dbs,1,T1,12,True
MR,1.834130772738399,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.09,JavaGC,dbs,1,T1,12,True
RF,1.4116990879279543,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,dbs,1,T1,12,True
SVR,2.288190240148339,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.23,JavaGC,dbs,1,T1,12,True
CART,1.8663133609431746,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,dbs,1,T1,13,True
kNN,1.7879994257628502,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.24,JavaGC,dbs,1,T1,13,True
KRR,2.0480274144538293,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.12,JavaGC,dbs,1,T1,13,True
MR,1.9062086740717032,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.6,JavaGC,dbs,1,T1,13,True
RF,1.5140197628703502,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,dbs,1,T1,13,True
SVR,2.022495720193822,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.23,JavaGC,dbs,1,T1,13,True
