technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,1.776054764423248,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,ddbs,1,T1,1,True
kNN,1.2477200730441234,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,ddbs,1,T1,1,True
KRR,1.568667253606185,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.17,JavaGC,ddbs,1,T1,1,True
MR,1.532254426259537,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.65,JavaGC,ddbs,1,T1,1,True
RF,1.169111995811693,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,ddbs,1,T1,1,True
SVR,1.0063245241743044,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.25,JavaGC,ddbs,1,T1,1,True
CART,1.9247240299238968,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,ddbs,1,T1,2,True
kNN,1.429194701803169,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,ddbs,1,T1,2,True
KRR,1.7513288157942155,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.16,JavaGC,ddbs,1,T1,2,True
MR,1.4985072383555014,"{""lasso__regressor__alpha"": 0.1}",7,193529,3.65,JavaGC,ddbs,1,T1,2,True
RF,1.376465754778777,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,ddbs,1,T1,2,True
SVR,1.1007046944714125,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.25,JavaGC,ddbs,1,T1,2,True
CART,1.3149425978620273,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,ddbs,1,T1,3,True
