technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.7955395708725667,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,random,1,T1,1,True
kNN,0.586284782693777,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.27,JavaGC,random,1,T1,1,True
KRR,0.6013878705468848,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.19,JavaGC,random,1,T1,1,True
MR,0.7510912672198383,"{""lasso__regressor__alpha"": 0.1}",7,193529,4.24,JavaGC,random,1,T1,1,True
RF,0.5837607243085234,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,random,1,T1,1,True
SVR,0.44444229332237506,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.2,JavaGC,random,1,T1,1,True
CART,1.0723941762374405,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,random,1,T1,2,True
kNN,1.1493329619387782,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.28,JavaGC,random,1,T1,2,True
KRR,1.1863695710158844,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.19,JavaGC,random,1,T1,2,True
MR,0.8287307886630686,"{""lasso__regressor__alpha"": 0.1}",7,193529,4.1,JavaGC,random,1,T1,2,True
RF,1.0635362736583873,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.07,JavaGC,random,1,T1,2,True
SVR,0.7161864818453617,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.18,JavaGC,random,1,T1,2,True
CART,0.7446675456931423,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,random,1,T1,3,True
kNN,0.716287386808834,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.27,JavaGC,random,1,T1,3,True
KRR,0.7097290080436577,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.19,JavaGC,random,1,T1,3,True
MR,0.7051387910905996,"{""lasso__regressor__alpha"": 0.1}",7,193529,4.26,JavaGC,random,1,T1,3,True
RF,0.7197998264582923,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.05,JavaGC,random,1,T1,3,True
SVR,0.708017009387802,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.22,JavaGC,random,1,T1,3,True
CART,0.853106629713181,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,random,1,T1,4,True
kNN,0.8164854244785241,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.27,JavaGC,random,1,T1,4,True
KRR,0.6905545782980167,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.19,JavaGC,random,1,T1,4,True
MR,0.6317888983015715,"{""lasso__regressor__alpha"": 0.1}",7,193529,4.19,JavaGC,random,1,T1,4,True
RF,0.5774307528301795,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,random,1,T1,4,True
SVR,0.48992207048024955,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.15,JavaGC,random,1,T1,4,True
CART,1.3399141632426308,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.04,JavaGC,random,1,T1,5,True
kNN,0.9541545411735984,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.27,JavaGC,random,1,T1,5,True
KRR,0.9096306072800534,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.16,JavaGC,random,1,T1,5,True
MR,0.9179515226377526,"{""lasso__regressor__alpha"": 0.1}",7,193529,4.01,JavaGC,random,1,T1,5,True
RF,0.9352711187699888,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,random,1,T1,5,True
SVR,0.6358624558433078,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.24,JavaGC,random,1,T1,5,True
CART,1.1584946082459355,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",7,193529,0.03,JavaGC,random,1,T1,6,True
kNN,0.9081695589328143,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",7,193529,0.26,JavaGC,random,1,T1,6,True
KRR,1.0088864092911791,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",7,193529,0.15,JavaGC,random,1,T1,6,True
MR,1.2345373918853122,"{""lasso__regressor__alpha"": 0.1}",7,193529,4.14,JavaGC,random,1,T1,6,True
RF,1.0559375464325467,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 10}",7,193529,0.06,JavaGC,random,1,T1,6,True
SVR,0.5352153812078263,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",7,193529,0.19,JavaGC,random,1,T1,6,True
