technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.13249956115775677,{},2,1022,0.0,LLVM,dbs,1,T1,1,False
kNN,0.09865226196945942,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,1,False
KRR,0.05728400981315409,{},2,1022,0.01,LLVM,dbs,1,T1,1,False
MR,0.06126027738336557,{},2,1022,0.01,LLVM,dbs,1,T1,1,False
RF,0.051914090264627975,{},2,1022,0.21,LLVM,dbs,1,T1,1,False
SVR,0.05140520335812735,{},2,1022,0.01,LLVM,dbs,1,T1,1,False
CART,0.11748788857533404,{},2,1022,0.01,LLVM,dbs,1,T1,2,False
kNN,0.11748788857533404,"{""n_neighbors"": 1}",2,1022,0.01,LLVM,dbs,1,T1,2,False
KRR,0.11808456042277772,{},2,1022,0.03,LLVM,dbs,1,T1,2,False
MR,0.11744072907240372,{},2,1022,0.01,LLVM,dbs,1,T1,2,False
RF,0.11796146662660124,{},2,1022,0.21,LLVM,dbs,1,T1,2,False
SVR,0.11744070550394603,{},2,1022,0.01,LLVM,dbs,1,T1,2,False
CART,0.13646684858325214,{},2,1022,0.0,LLVM,dbs,1,T1,3,False
kNN,0.10420446369045815,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,3,False
KRR,0.055116444668573725,{},2,1022,0.01,LLVM,dbs,1,T1,3,False
MR,0.06119020847517657,{},2,1022,0.01,LLVM,dbs,1,T1,3,False
RF,0.05022810480877613,{},2,1022,0.2,LLVM,dbs,1,T1,3,False
SVR,0.05102167185855463,{},2,1022,0.01,LLVM,dbs,1,T1,3,False
CART,0.1132888633653158,{},2,1022,0.0,LLVM,dbs,1,T1,4,False
kNN,0.1132888633653158,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,4,False
KRR,0.11088052250237006,{},2,1022,0.01,LLVM,dbs,1,T1,4,False
MR,0.11498130326989128,{},2,1022,0.01,LLVM,dbs,1,T1,4,False
RF,0.1119124251639649,{},2,1022,0.2,LLVM,dbs,1,T1,4,False
SVR,0.1146386834336816,{},2,1022,0.01,LLVM,dbs,1,T1,4,False
CART,0.11440640744704805,{},2,1022,0.0,LLVM,dbs,1,T1,5,False
kNN,0.0899848551910894,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,5,False
KRR,0.06869846278371616,{},2,1022,0.01,LLVM,dbs,1,T1,5,False
MR,0.06416008428457541,{},2,1022,0.01,LLVM,dbs,1,T1,5,False
RF,0.05531734187795576,{},2,1022,0.2,LLVM,dbs,1,T1,5,False
SVR,0.05811651952230485,{},2,1022,0.01,LLVM,dbs,1,T1,5,False
CART,0.12927462344987753,{},2,1022,0.0,LLVM,dbs,1,T1,6,False
kNN,0.09360825179202384,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,6,False
KRR,0.06076934129552954,{},2,1022,0.01,LLVM,dbs,1,T1,6,False
MR,0.061472694013431944,{},2,1022,0.01,LLVM,dbs,1,T1,6,False
RF,0.05219177048863899,{},2,1022,0.2,LLVM,dbs,1,T1,6,False
SVR,0.05106295513092522,{},2,1022,0.01,LLVM,dbs,1,T1,6,False
CART,0.1099800337900265,{},2,1022,0.0,LLVM,dbs,1,T1,7,False
kNN,0.10837916483500457,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,7,False
KRR,0.10348200796748029,{},2,1022,0.01,LLVM,dbs,1,T1,7,False
MR,0.1088133225527989,{},2,1022,0.01,LLVM,dbs,1,T1,7,False
RF,0.106757951569322,{},2,1022,0.2,LLVM,dbs,1,T1,7,False
SVR,0.1084781028271043,{},2,1022,0.01,LLVM,dbs,1,T1,7,False
CART,0.11393040390845548,{},2,1022,0.0,LLVM,dbs,1,T1,8,False
kNN,0.12447268897399169,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,8,False
KRR,0.10653951523829934,{},2,1022,0.01,LLVM,dbs,1,T1,8,False
MR,0.11239625004968164,{},2,1022,0.01,LLVM,dbs,1,T1,8,False
RF,0.10970156110825557,{},2,1022,0.2,LLVM,dbs,1,T1,8,False
SVR,0.11202479659585418,{},2,1022,0.01,LLVM,dbs,1,T1,8,False
CART,0.08851247044758886,{},2,1022,0.0,LLVM,dbs,1,T1,9,False
kNN,0.09085810776733938,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,9,False
KRR,0.06376313993592159,{},2,1022,0.01,LLVM,dbs,1,T1,9,False
MR,0.06641097582440435,{},2,1022,0.01,LLVM,dbs,1,T1,9,False
RF,0.05433225938582397,{},2,1022,0.2,LLVM,dbs,1,T1,9,False
SVR,0.06217476561184639,{},2,1022,0.01,LLVM,dbs,1,T1,9,False
CART,0.12280591944492052,{},2,1022,0.0,LLVM,dbs,1,T1,10,False
kNN,0.08771466071767413,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,10,False
KRR,0.05862048980811929,{},2,1022,0.01,LLVM,dbs,1,T1,10,False
MR,0.06228530264017708,{},2,1022,0.01,LLVM,dbs,1,T1,10,False
RF,0.057874947325298,{},2,1022,0.2,LLVM,dbs,1,T1,10,False
SVR,0.052386980995429364,{},2,1022,0.0,LLVM,dbs,1,T1,10,False
CART,0.06118910548398575,{},2,1022,0.0,LLVM,dbs,1,T1,11,False
kNN,0.06118910548398575,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,11,False
KRR,0.06208646111985906,{},2,1022,0.01,LLVM,dbs,1,T1,11,False
MR,0.06627752559808732,{},2,1022,0.01,LLVM,dbs,1,T1,11,False
RF,0.06315937341556259,{},2,1022,0.2,LLVM,dbs,1,T1,11,False
SVR,0.0655403444126115,{},2,1022,0.01,LLVM,dbs,1,T1,11,False
CART,0.08814155204595817,{},2,1022,0.0,LLVM,dbs,1,T1,12,False
kNN,0.0881351140319917,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,12,False
KRR,0.08635626372115256,{},2,1022,0.01,LLVM,dbs,1,T1,12,False
MR,0.08772716915868838,{},2,1022,0.01,LLVM,dbs,1,T1,12,False
RF,0.08728682619315226,{},2,1022,0.2,LLVM,dbs,1,T1,12,False
SVR,0.08773184185559754,{},2,1022,0.0,LLVM,dbs,1,T1,12,False
CART,0.08926532806529175,{},2,1022,0.0,LLVM,dbs,1,T1,13,False
kNN,0.08692652771281324,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,13,False
KRR,0.08910294805412056,{},2,1022,0.01,LLVM,dbs,1,T1,13,False
MR,0.08906747683179336,{},2,1022,0.01,LLVM,dbs,1,T1,13,False
RF,0.08948416697753889,{},2,1022,0.21,LLVM,dbs,1,T1,13,False
SVR,0.08907365810483486,{},2,1022,0.01,LLVM,dbs,1,T1,13,False
CART,0.12927462344987753,{},2,1022,0.0,LLVM,dbs,1,T1,14,False
kNN,0.09360825179202384,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,dbs,1,T1,14,False
KRR,0.06076934129552954,{},2,1022,0.01,LLVM,dbs,1,T1,14,False
MR,0.061472694013431944,{},2,1022,0.01,LLVM,dbs,1,T1,14,False
