technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.12086917079389858,{},2,1022,0.0,LLVM,ddbs,1,T1,1,False
kNN,0.12087098747820477,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,1,False
KRR,0.12113935203466827,{},2,1022,0.01,LLVM,ddbs,1,T1,1,False
MR,0.12070498561285058,{},2,1022,0.01,LLVM,ddbs,1,T1,1,False
RF,0.12145915894106163,{},2,1022,0.17,LLVM,ddbs,1,T1,1,False
SVR,0.12070528309885135,{},2,1022,0.0,LLVM,ddbs,1,T1,1,False
CART,0.12464969594418304,{},2,1022,0.0,LLVM,ddbs,1,T1,2,False
kNN,0.11960635337809793,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,2,False
KRR,0.12673756733379385,{},2,1022,0.01,LLVM,ddbs,1,T1,2,False
MR,0.12423576978044883,{},2,1022,0.01,LLVM,ddbs,1,T1,2,False
RF,0.12533407049100687,{},2,1022,0.17,LLVM,ddbs,1,T1,2,False
SVR,0.12424250968924108,{},2,1022,0.0,LLVM,ddbs,1,T1,2,False
CART,0.09976452406267233,{},2,1022,0.0,LLVM,ddbs,1,T1,3,False
kNN,0.0868465790207425,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,3,False
KRR,0.06767340327702631,{},2,1022,0.01,LLVM,ddbs,1,T1,3,False
MR,0.08128081625120026,{},2,1022,0.01,LLVM,ddbs,1,T1,3,False
RF,0.07585390663630286,{},2,1022,0.17,LLVM,ddbs,1,T1,3,False
SVR,0.07902319882262077,{},2,1022,0.0,LLVM,ddbs,1,T1,3,False
CART,0.08351369610146965,{},2,1022,0.0,LLVM,ddbs,1,T1,4,False
kNN,0.109959640271511,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,4,False
KRR,0.06233345156430451,{},2,1022,0.01,LLVM,ddbs,1,T1,4,False
MR,0.062495974826515116,{},2,1022,0.01,LLVM,ddbs,1,T1,4,False
RF,0.06051723422608246,{},2,1022,0.17,LLVM,ddbs,1,T1,4,False
SVR,0.06086273524290676,{},2,1022,0.0,LLVM,ddbs,1,T1,4,False
CART,0.1123061653890824,{},2,1022,0.0,LLVM,ddbs,1,T1,5,False
kNN,0.09620703786974213,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,5,False
KRR,0.06834018836270471,{},2,1022,0.0,LLVM,ddbs,1,T1,5,False
MR,0.06482558102182534,{},2,1022,0.01,LLVM,ddbs,1,T1,5,False
RF,0.054958100124672934,{},2,1022,0.17,LLVM,ddbs,1,T1,5,False
SVR,0.05919293030832046,{},2,1022,0.0,LLVM,ddbs,1,T1,5,False
CART,0.0852342241807194,{},2,1022,0.0,LLVM,ddbs,1,T1,6,False
kNN,0.08987263830130537,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,6,False
KRR,0.06606198116728466,{},2,1022,0.0,LLVM,ddbs,1,T1,6,False
MR,0.0655094313958974,{},2,1022,0.01,LLVM,ddbs,1,T1,6,False
RF,0.051711555616155765,{},2,1022,0.17,LLVM,ddbs,1,T1,6,False
SVR,0.06256766792783222,{},2,1022,0.0,LLVM,ddbs,1,T1,6,False
CART,0.07653973255837646,{},2,1022,0.0,LLVM,ddbs,1,T1,7,False
kNN,0.07091099058707753,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,7,False
KRR,0.07164324815774276,{},2,1022,0.0,LLVM,ddbs,1,T1,7,False
MR,0.07239605816306834,{},2,1022,0.01,LLVM,ddbs,1,T1,7,False
RF,0.07028070519251292,{},2,1022,0.17,LLVM,ddbs,1,T1,7,False
SVR,0.07167458316577412,{},2,1022,0.0,LLVM,ddbs,1,T1,7,False
CART,0.07803151978456789,{},2,1022,0.0,LLVM,ddbs,1,T1,8,False
kNN,0.07816570984661778,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,8,False
KRR,0.06815868925978048,{},2,1022,0.0,LLVM,ddbs,1,T1,8,False
MR,0.08039677685956428,{},2,1022,0.01,LLVM,ddbs,1,T1,8,False
RF,0.07371677443690743,{},2,1022,0.17,LLVM,ddbs,1,T1,8,False
SVR,0.07814905846686124,{},2,1022,0.0,LLVM,ddbs,1,T1,8,False
CART,0.0869724059606207,{},2,1022,0.0,LLVM,ddbs,1,T1,9,False
kNN,0.0893412314662462,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,9,False
KRR,0.0857106519757964,{},2,1022,0.0,LLVM,ddbs,1,T1,9,False
MR,0.08668738191750532,{},2,1022,0.01,LLVM,ddbs,1,T1,9,False
RF,0.08633210383284284,{},2,1022,0.17,LLVM,ddbs,1,T1,9,False
SVR,0.08668348149043437,{},2,1022,0.0,LLVM,ddbs,1,T1,9,False
CART,0.11231561537892547,{},2,1022,0.0,LLVM,ddbs,1,T1,10,False
kNN,0.08356895878173799,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,10,False
KRR,0.06477530170179786,{},2,1022,0.0,LLVM,ddbs,1,T1,10,False
MR,0.06482233918628054,{},2,1022,0.01,LLVM,ddbs,1,T1,10,False
RF,0.05071210343971769,{},2,1022,0.17,LLVM,ddbs,1,T1,10,False
SVR,0.05933251050943175,{},2,1022,0.0,LLVM,ddbs,1,T1,10,False
CART,0.10080910555819572,{},2,1022,0.0,LLVM,ddbs,1,T1,11,False
kNN,0.07846978002102703,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,11,False
KRR,0.06061111510065051,{},2,1022,0.0,LLVM,ddbs,1,T1,11,False
MR,0.0642579984920754,{},2,1022,0.01,LLVM,ddbs,1,T1,11,False
RF,0.06075130791688027,{},2,1022,0.17,LLVM,ddbs,1,T1,11,False
SVR,0.06179203924233929,{},2,1022,0.0,LLVM,ddbs,1,T1,11,False
CART,0.06512979724412984,{},2,1022,0.0,LLVM,ddbs,1,T1,12,False
kNN,0.04866119528102061,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,12,False
KRR,0.052182699859114744,{},2,1022,0.0,LLVM,ddbs,1,T1,12,False
MR,0.061477606759907974,{},2,1022,0.01,LLVM,ddbs,1,T1,12,False
RF,0.04944305903271448,{},2,1022,0.17,LLVM,ddbs,1,T1,12,False
SVR,0.05914405000043806,{},2,1022,0.0,LLVM,ddbs,1,T1,12,False
CART,0.11166400983724734,{},2,1022,0.0,LLVM,ddbs,1,T1,13,False
kNN,0.06348412590554413,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,13,False
KRR,0.046005571718402825,{},2,1022,0.0,LLVM,ddbs,1,T1,13,False
MR,0.06643073922549689,{},2,1022,0.01,LLVM,ddbs,1,T1,13,False
RF,0.05876000256535664,{},2,1022,0.16,LLVM,ddbs,1,T1,13,False
SVR,0.058654142550525534,{},2,1022,0.0,LLVM,ddbs,1,T1,13,False
CART,0.10447178470387275,{},2,1022,0.0,LLVM,ddbs,1,T1,14,False
kNN,0.0718803304671151,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,ddbs,1,T1,14,False
KRR,0.052716927519641486,{},2,1022,0.0,LLVM,ddbs,1,T1,14,False
MR,0.06417731179087471,{},2,1022,0.01,LLVM,ddbs,1,T1,14,False
RF,0.05447396166514522,{},2,1022,0.16,LLVM,ddbs,1,T1,14,False
SVR,0.056288591189898235,{},2,1022,0.0,LLVM,ddbs,1,T1,14,False
