technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.07053380858580183,{},2,1022,0.01,LLVM,random,1,T1,1,False
kNN,0.08104611129113107,"{""n_neighbors"": 1}",2,1022,0.01,LLVM,random,1,T1,1,False
KRR,0.07631007734007496,{},2,1022,0.02,LLVM,random,1,T1,1,False
MR,0.07661918495614865,{},2,1022,0.01,LLVM,random,1,T1,1,False
RF,0.07388872056088223,{},2,1022,0.2,LLVM,random,1,T1,1,False
SVR,0.07605063137704081,{},2,1022,0.01,LLVM,random,1,T1,1,False
CART,0.07060512315548666,{},2,1022,0.01,LLVM,random,1,T1,2,False
kNN,0.06372283315061601,"{""n_neighbors"": 1}",2,1022,0.01,LLVM,random,1,T1,2,False
KRR,0.06570911998575754,{},2,1022,0.02,LLVM,random,1,T1,2,False
MR,0.0646842380380895,{},2,1022,0.01,LLVM,random,1,T1,2,False
RF,0.06419184173297618,{},2,1022,0.2,LLVM,random,1,T1,2,False
SVR,0.06357676468665305,{},2,1022,0.01,LLVM,random,1,T1,2,False
CART,0.09028637840624563,{},2,1022,0.0,LLVM,random,1,T1,3,False
kNN,0.10232796996000135,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,3,False
KRR,0.058469327311064474,{},2,1022,0.01,LLVM,random,1,T1,3,False
MR,0.06125261755636098,{},2,1022,0.01,LLVM,random,1,T1,3,False
RF,0.05747950783969753,{},2,1022,0.2,LLVM,random,1,T1,3,False
SVR,0.05628099993562896,{},2,1022,0.01,LLVM,random,1,T1,3,False
CART,0.06043337687178966,{},2,1022,0.0,LLVM,random,1,T1,4,False
kNN,0.06683154284447641,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,4,False
KRR,0.06429656212965237,{},2,1022,0.01,LLVM,random,1,T1,4,False
MR,0.0649567497957262,{},2,1022,0.01,LLVM,random,1,T1,4,False
RF,0.06371980395152906,{},2,1022,0.2,LLVM,random,1,T1,4,False
SVR,0.06449274353914533,{},2,1022,0.0,LLVM,random,1,T1,4,False
CART,0.09247088766956008,{},2,1022,0.0,LLVM,random,1,T1,5,False
kNN,0.10130365251471413,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,5,False
KRR,0.08984690096578406,{},2,1022,0.01,LLVM,random,1,T1,5,False
MR,0.08914953176956673,{},2,1022,0.01,LLVM,random,1,T1,5,False
RF,0.08788783146979091,{},2,1022,0.2,LLVM,random,1,T1,5,False
SVR,0.08921265313210808,{},2,1022,0.01,LLVM,random,1,T1,5,False
CART,0.09972572735085429,{},2,1022,0.0,LLVM,random,1,T1,6,False
kNN,0.08744388415819628,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,6,False
KRR,0.09404701388638623,{},2,1022,0.01,LLVM,random,1,T1,6,False
MR,0.09440456358076031,{},2,1022,0.01,LLVM,random,1,T1,6,False
RF,0.09753831143088611,{},2,1022,0.2,LLVM,random,1,T1,6,False
SVR,0.09410513429056443,{},2,1022,0.0,LLVM,random,1,T1,6,False
CART,0.06718359057596751,{},2,1022,0.0,LLVM,random,1,T1,7,False
kNN,0.07113816917978259,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,7,False
KRR,0.057996350172044464,{},2,1022,0.01,LLVM,random,1,T1,7,False
MR,0.061999878941247276,{},2,1022,0.01,LLVM,random,1,T1,7,False
RF,0.05216114107927538,{},2,1022,0.2,LLVM,random,1,T1,7,False
SVR,0.05817184412441836,{},2,1022,0.01,LLVM,random,1,T1,7,False
CART,0.08195202566530722,{},2,1022,0.0,LLVM,random,1,T1,8,False
kNN,0.08305921661411901,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,8,False
KRR,0.08333194497587076,{},2,1022,0.01,LLVM,random,1,T1,8,False
MR,0.081872461718182,{},2,1022,0.01,LLVM,random,1,T1,8,False
RF,0.08164781516077997,{},2,1022,0.2,LLVM,random,1,T1,8,False
SVR,0.0820174186385112,{},2,1022,0.01,LLVM,random,1,T1,8,False
CART,0.07349469687700101,{},2,1022,0.0,LLVM,random,1,T1,9,False
kNN,0.07151850059294036,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,9,False
KRR,0.07363100859212915,{},2,1022,0.01,LLVM,random,1,T1,9,False
MR,0.07129099613938136,{},2,1022,0.01,LLVM,random,1,T1,9,False
RF,0.06923463411140256,{},2,1022,0.2,LLVM,random,1,T1,9,False
SVR,0.07018106547695521,{},2,1022,0.01,LLVM,random,1,T1,9,False
CART,0.07319077844338664,{},2,1022,0.0,LLVM,random,1,T1,10,False
kNN,0.05981481362225447,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,10,False
KRR,0.057655167262727326,{},2,1022,0.01,LLVM,random,1,T1,10,False
MR,0.06143062721296421,{},2,1022,0.01,LLVM,random,1,T1,10,False
RF,0.05819333889749157,{},2,1022,0.2,LLVM,random,1,T1,10,False
SVR,0.05929750066692537,{},2,1022,0.0,LLVM,random,1,T1,10,False
CART,0.10331767696525229,{},2,1022,0.0,LLVM,random,1,T1,11,False
kNN,0.0998031848047756,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,11,False
KRR,0.10279334838481263,{},2,1022,0.01,LLVM,random,1,T1,11,False
MR,0.10291781344162872,{},2,1022,0.01,LLVM,random,1,T1,11,False
RF,0.10384493198767465,{},2,1022,0.2,LLVM,random,1,T1,11,False
SVR,0.10283614339897536,{},2,1022,0.01,LLVM,random,1,T1,11,False
CART,0.09185176363854894,{},2,1022,0.0,LLVM,random,1,T1,12,False
kNN,0.08371878500824152,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,12,False
KRR,0.06559253261969251,{},2,1022,0.01,LLVM,random,1,T1,12,False
MR,0.06329040418351684,{},2,1022,0.01,LLVM,random,1,T1,12,False
RF,0.06480246102309385,{},2,1022,0.2,LLVM,random,1,T1,12,False
SVR,0.061135897762757754,{},2,1022,0.0,LLVM,random,1,T1,12,False
CART,0.0807658984534063,{},2,1022,0.0,LLVM,random,1,T1,13,False
kNN,0.07986931736420957,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,13,False
KRR,0.08015245572434823,{},2,1022,0.01,LLVM,random,1,T1,13,False
MR,0.08017399302210282,{},2,1022,0.01,LLVM,random,1,T1,13,False
RF,0.08016383182019923,{},2,1022,0.2,LLVM,random,1,T1,13,False
SVR,0.08016276337556023,{},2,1022,0.01,LLVM,random,1,T1,13,False
CART,0.07705015722020293,{},2,1022,0.0,LLVM,random,1,T1,14,False
kNN,0.07577414618024565,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,14,False
KRR,0.07540181398004044,{},2,1022,0.01,LLVM,random,1,T1,14,False
MR,0.07581517518991532,{},2,1022,0.01,LLVM,random,1,T1,14,False
RF,0.07531289181268339,{},2,1022,0.2,LLVM,random,1,T1,14,False
SVR,0.0757783683937715,{},2,1022,0.01,LLVM,random,1,T1,14,False
CART,0.08953873793446265,{},2,1022,0.0,LLVM,random,1,T1,15,False
kNN,0.08916057945122824,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,15,False
KRR,0.0886536530700395,{},2,1022,0.01,LLVM,random,1,T1,15,False
MR,0.0891509276198862,{},2,1022,0.01,LLVM,random,1,T1,15,False
RF,0.08859280799495274,{},2,1022,0.2,LLVM,random,1,T1,15,False
SVR,0.08910000863905564,{},2,1022,0.01,LLVM,random,1,T1,15,False
CART,0.07387069684307226,{},2,1022,0.0,LLVM,random,1,T1,16,False
kNN,0.0726563330440544,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,16,False
KRR,0.07384176623395951,{},2,1022,0.01,LLVM,random,1,T1,16,False
MR,0.07371846644475234,{},2,1022,0.01,LLVM,random,1,T1,16,False
RF,0.073939097283148,{},2,1022,0.2,LLVM,random,1,T1,16,False
SVR,0.07360156263184117,{},2,1022,0.01,LLVM,random,1,T1,16,False
CART,0.07761572348648367,{},2,1022,0.0,LLVM,random,1,T1,17,False
kNN,0.07162315822981395,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,17,False
KRR,0.05338607037779422,{},2,1022,0.01,LLVM,random,1,T1,17,False
MR,0.07147513912715496,{},2,1022,0.01,LLVM,random,1,T1,17,False
RF,0.06589876744883162,{},2,1022,0.2,LLVM,random,1,T1,17,False
SVR,0.06611255496738153,{},2,1022,0.01,LLVM,random,1,T1,17,False
CART,0.06194989795095225,{},2,1022,0.0,LLVM,random,1,T1,18,False
kNN,0.06197656438604535,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,18,False
KRR,0.061688773441654764,{},2,1022,0.01,LLVM,random,1,T1,18,False
MR,0.061858734602257666,{},2,1022,0.01,LLVM,random,1,T1,18,False
RF,0.06183094603941624,{},2,1022,0.2,LLVM,random,1,T1,18,False
SVR,0.06185446356924377,{},2,1022,0.01,LLVM,random,1,T1,18,False
CART,0.07740379973023537,{},2,1022,0.0,LLVM,random,1,T1,19,False
kNN,0.060617586983647075,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,19,False
KRR,0.05832479330254294,{},2,1022,0.01,LLVM,random,1,T1,19,False
MR,0.06163495576257115,{},2,1022,0.01,LLVM,random,1,T1,19,False
RF,0.05971257010885531,{},2,1022,0.21,LLVM,random,1,T1,19,False
SVR,0.05886825719527449,{},2,1022,0.01,LLVM,random,1,T1,19,False
CART,0.09902447955245018,{},2,1022,0.0,LLVM,random,1,T1,20,False
kNN,0.09919792565457351,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,20,False
KRR,0.06162441431381943,{},2,1022,0.01,LLVM,random,1,T1,20,False
MR,0.06151278929256133,{},2,1022,0.01,LLVM,random,1,T1,20,False
RF,0.06546632390703275,{},2,1022,0.2,LLVM,random,1,T1,20,False
SVR,0.06298727259446547,{},2,1022,0.01,LLVM,random,1,T1,20,False
CART,0.10198391309544415,{},2,1022,0.0,LLVM,random,1,T1,21,False
kNN,0.08501482242578537,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,21,False
KRR,0.05975785915613833,{},2,1022,0.01,LLVM,random,1,T1,21,False
MR,0.06131660820731858,{},2,1022,0.01,LLVM,random,1,T1,21,False
RF,0.057019737575462325,{},2,1022,0.21,LLVM,random,1,T1,21,False
SVR,0.0588880467816765,{},2,1022,0.01,LLVM,random,1,T1,21,False
CART,0.0910283142628955,{},2,1022,0.0,LLVM,random,1,T1,22,False
kNN,0.07810407393971812,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,22,False
KRR,0.05999444641528966,{},2,1022,0.01,LLVM,random,1,T1,22,False
MR,0.06138577169109421,{},2,1022,0.01,LLVM,random,1,T1,22,False
RF,0.05962040100732473,{},2,1022,0.2,LLVM,random,1,T1,22,False
SVR,0.05903501777401275,{},2,1022,0.01,LLVM,random,1,T1,22,False
CART,0.07967298506889306,{},2,1022,0.0,LLVM,random,1,T1,23,False
kNN,0.09522314205379886,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,23,False
KRR,0.07131688631434868,{},2,1022,0.01,LLVM,random,1,T1,23,False
MR,0.08032692989876183,{},2,1022,0.01,LLVM,random,1,T1,23,False
RF,0.0734163611492612,{},2,1022,0.2,LLVM,random,1,T1,23,False
SVR,0.07764526910202753,{},2,1022,0.01,LLVM,random,1,T1,23,False
CART,0.06307290394897597,{},2,1022,0.0,LLVM,random,1,T1,24,False
kNN,0.06299947645017788,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,24,False
KRR,0.062286014920736696,{},2,1022,0.01,LLVM,random,1,T1,24,False
MR,0.06254900435593605,{},2,1022,0.01,LLVM,random,1,T1,24,False
RF,0.06254172992460752,{},2,1022,0.2,LLVM,random,1,T1,24,False
SVR,0.06254519890874902,{},2,1022,0.01,LLVM,random,1,T1,24,False
CART,0.09332846834852004,{},2,1022,0.0,LLVM,random,1,T1,25,False
kNN,0.0832381692552346,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,25,False
KRR,0.06655105896370973,{},2,1022,0.01,LLVM,random,1,T1,25,False
MR,0.06706723285286853,{},2,1022,0.01,LLVM,random,1,T1,25,False
RF,0.05690731040618308,{},2,1022,0.2,LLVM,random,1,T1,25,False
SVR,0.06345171698547276,{},2,1022,0.01,LLVM,random,1,T1,25,False
CART,0.06507125178576781,{},2,1022,0.0,LLVM,random,1,T1,26,False
kNN,0.06490958309789169,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,26,False
KRR,0.06158777000162804,{},2,1022,0.01,LLVM,random,1,T1,26,False
MR,0.061406068631965356,{},2,1022,0.01,LLVM,random,1,T1,26,False
RF,0.06149493353687907,{},2,1022,0.2,LLVM,random,1,T1,26,False
SVR,0.061189731843331534,{},2,1022,0.01,LLVM,random,1,T1,26,False
CART,0.07110470769978076,{},2,1022,0.0,LLVM,random,1,T1,27,False
kNN,0.06302202020570816,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,27,False
KRR,0.06144954889170418,{},2,1022,0.01,LLVM,random,1,T1,27,False
MR,0.06311881350236086,{},2,1022,0.01,LLVM,random,1,T1,27,False
RF,0.06091269682323719,{},2,1022,0.2,LLVM,random,1,T1,27,False
SVR,0.06166016171155839,{},2,1022,0.01,LLVM,random,1,T1,27,False
CART,0.0730087091856603,{},2,1022,0.0,LLVM,random,1,T1,28,False
kNN,0.06479734637346005,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,28,False
KRR,0.06000199493291672,{},2,1022,0.01,LLVM,random,1,T1,28,False
MR,0.06152624223337666,{},2,1022,0.01,LLVM,random,1,T1,28,False
RF,0.060379483307763916,{},2,1022,0.2,LLVM,random,1,T1,28,False
SVR,0.059900571477807675,{},2,1022,0.01,LLVM,random,1,T1,28,False
CART,0.06769112534760933,{},2,1022,0.0,LLVM,random,1,T1,29,False
kNN,0.06539344573811684,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,29,False
KRR,0.06668436912438296,{},2,1022,0.01,LLVM,random,1,T1,29,False
MR,0.06733128373974936,{},2,1022,0.01,LLVM,random,1,T1,29,False
RF,0.06820533355609616,{},2,1022,0.2,LLVM,random,1,T1,29,False
SVR,0.06685230971113117,{},2,1022,0.01,LLVM,random,1,T1,29,False
CART,0.09585725729959753,{},2,1022,0.0,LLVM,random,1,T1,30,False
kNN,0.07353420472836711,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,30,False
KRR,0.08542011683208098,{},2,1022,0.01,LLVM,random,1,T1,30,False
MR,0.0809671999190744,{},2,1022,0.01,LLVM,random,1,T1,30,False
RF,0.08254976215146204,{},2,1022,0.2,LLVM,random,1,T1,30,False
SVR,0.07985896553777151,{},2,1022,0.01,LLVM,random,1,T1,30,False
CART,0.06678739509570347,{},2,1022,0.0,LLVM,random,1,T1,31,False
kNN,0.06644442911571913,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,31,False
KRR,0.06633828448225537,{},2,1022,0.01,LLVM,random,1,T1,31,False
MR,0.06644626876692299,{},2,1022,0.01,LLVM,random,1,T1,31,False
RF,0.06701594924105005,{},2,1022,0.2,LLVM,random,1,T1,31,False
SVR,0.06642521303783726,{},2,1022,0.01,LLVM,random,1,T1,31,False
CART,0.08006787927275907,{},2,1022,0.0,LLVM,random,1,T1,32,False
kNN,0.06171132089464909,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,32,False
KRR,0.05813990252798824,{},2,1022,0.01,LLVM,random,1,T1,32,False
MR,0.06258160989544655,{},2,1022,0.01,LLVM,random,1,T1,32,False
RF,0.059189647639761145,{},2,1022,0.2,LLVM,random,1,T1,32,False
SVR,0.05970532469556307,{},2,1022,0.0,LLVM,random,1,T1,32,False
CART,0.07468255208053524,{},2,1022,0.0,LLVM,random,1,T1,33,False
kNN,0.059910379956369504,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,33,False
KRR,0.05886554497777529,{},2,1022,0.01,LLVM,random,1,T1,33,False
MR,0.06160194507560714,{},2,1022,0.01,LLVM,random,1,T1,33,False
RF,0.0594328351036617,{},2,1022,0.2,LLVM,random,1,T1,33,False
SVR,0.05904851014553872,{},2,1022,0.01,LLVM,random,1,T1,33,False
CART,0.09393909012535277,{},2,1022,0.0,LLVM,random,1,T1,34,False
kNN,0.0779052774410856,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,34,False
KRR,0.06883366421702865,{},2,1022,0.01,LLVM,random,1,T1,34,False
MR,0.07523560187016481,{},2,1022,0.01,LLVM,random,1,T1,34,False
RF,0.08033562587695871,{},2,1022,0.2,LLVM,random,1,T1,34,False
SVR,0.07234801174982677,{},2,1022,0.01,LLVM,random,1,T1,34,False
CART,0.08035685297153189,{},2,1022,0.0,LLVM,random,1,T1,35,False
kNN,0.07613891503743153,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,35,False
KRR,0.07411883040101448,{},2,1022,0.01,LLVM,random,1,T1,35,False
MR,0.07605940216598016,{},2,1022,0.01,LLVM,random,1,T1,35,False
RF,0.07702057507392071,{},2,1022,0.2,LLVM,random,1,T1,35,False
SVR,0.07559548802739635,{},2,1022,0.01,LLVM,random,1,T1,35,False
CART,0.12135351950256441,{},2,1022,0.0,LLVM,random,1,T1,36,False
kNN,0.1347120032443508,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,36,False
KRR,0.12179855094627828,{},2,1022,0.01,LLVM,random,1,T1,36,False
MR,0.12226321319959005,{},2,1022,0.01,LLVM,random,1,T1,36,False
RF,0.1196966050172503,{},2,1022,0.2,LLVM,random,1,T1,36,False
SVR,0.12197793896902197,{},2,1022,0.0,LLVM,random,1,T1,36,False
CART,0.07390943548492827,{},2,1022,0.0,LLVM,random,1,T1,37,False
kNN,0.06756380462559809,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,37,False
KRR,0.06255361305208394,{},2,1022,0.01,LLVM,random,1,T1,37,False
MR,0.0641647292088966,{},2,1022,0.01,LLVM,random,1,T1,37,False
RF,0.06329308965585842,{},2,1022,0.2,LLVM,random,1,T1,37,False
SVR,0.06295953032870176,{},2,1022,0.01,LLVM,random,1,T1,37,False
CART,0.0694448750287124,{},2,1022,0.0,LLVM,random,1,T1,38,False
kNN,0.06210152252419381,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,38,False
KRR,0.0688441200270007,{},2,1022,0.01,LLVM,random,1,T1,38,False
MR,0.06694126265114193,{},2,1022,0.01,LLVM,random,1,T1,38,False
RF,0.06586691960723429,{},2,1022,0.2,LLVM,random,1,T1,38,False
SVR,0.06614246220938721,{},2,1022,0.01,LLVM,random,1,T1,38,False
CART,0.09484005109489842,{},2,1022,0.0,LLVM,random,1,T1,39,False
kNN,0.07275781508449196,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,39,False
KRR,0.05671790346610125,{},2,1022,0.01,LLVM,random,1,T1,39,False
MR,0.06433516489815674,{},2,1022,0.01,LLVM,random,1,T1,39,False
RF,0.05871422897331172,{},2,1022,0.2,LLVM,random,1,T1,39,False
SVR,0.06021895743751942,{},2,1022,0.0,LLVM,random,1,T1,39,False
CART,0.07019229458857093,{},2,1022,0.0,LLVM,random,1,T1,40,False
kNN,0.06999184481029211,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,40,False
KRR,0.06360621363830443,{},2,1022,0.01,LLVM,random,1,T1,40,False
MR,0.06464864636216826,{},2,1022,0.01,LLVM,random,1,T1,40,False
RF,0.06349524233833434,{},2,1022,0.2,LLVM,random,1,T1,40,False
SVR,0.06404408528491119,{},2,1022,0.01,LLVM,random,1,T1,40,False
CART,0.0696393855543294,{},2,1022,0.0,LLVM,random,1,T1,41,False
kNN,0.06747191796256821,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,41,False
KRR,0.0700595897434574,{},2,1022,0.0,LLVM,random,1,T1,41,False
MR,0.06889739325644005,{},2,1022,0.01,LLVM,random,1,T1,41,False
RF,0.06807746455122715,{},2,1022,0.21,LLVM,random,1,T1,41,False
SVR,0.06860514677130224,{},2,1022,0.01,LLVM,random,1,T1,41,False
CART,0.06269549442708969,{},2,1022,0.0,LLVM,random,1,T1,42,False
kNN,0.061250884205568096,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,42,False
KRR,0.06140814154271388,{},2,1022,0.01,LLVM,random,1,T1,42,False
MR,0.061450157002924014,{},2,1022,0.01,LLVM,random,1,T1,42,False
RF,0.06130992142401238,{},2,1022,0.21,LLVM,random,1,T1,42,False
SVR,0.06142549463529292,{},2,1022,0.01,LLVM,random,1,T1,42,False
CART,0.07360887099531065,{},2,1022,0.0,LLVM,random,1,T1,43,False
kNN,0.06918145894875315,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,43,False
KRR,0.06697533861208825,{},2,1022,0.01,LLVM,random,1,T1,43,False
MR,0.06559948395224006,{},2,1022,0.01,LLVM,random,1,T1,43,False
RF,0.06342105135071655,{},2,1022,0.22,LLVM,random,1,T1,43,False
SVR,0.06476198420996165,{},2,1022,0.01,LLVM,random,1,T1,43,False
CART,0.08726868507436995,{},2,1022,0.0,LLVM,random,1,T1,44,False
kNN,0.06776204416803004,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,44,False
KRR,0.05678499897494514,{},2,1022,0.01,LLVM,random,1,T1,44,False
MR,0.06184310730410993,{},2,1022,0.01,LLVM,random,1,T1,44,False
RF,0.05909344248445129,{},2,1022,0.21,LLVM,random,1,T1,44,False
SVR,0.058680646637313705,{},2,1022,0.01,LLVM,random,1,T1,44,False
CART,0.09188873053194353,{},2,1022,0.0,LLVM,random,1,T1,45,False
kNN,0.08422594903503242,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,45,False
KRR,0.06730780896542557,{},2,1022,0.01,LLVM,random,1,T1,45,False
MR,0.0670406734832438,{},2,1022,0.01,LLVM,random,1,T1,45,False
RF,0.07688968843825243,{},2,1022,0.21,LLVM,random,1,T1,45,False
SVR,0.06500744170947678,{},2,1022,0.01,LLVM,random,1,T1,45,False
CART,0.08589842591765333,{},2,1022,0.0,LLVM,random,1,T1,46,False
kNN,0.08332731735151477,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,46,False
KRR,0.07137534317155539,{},2,1022,0.01,LLVM,random,1,T1,46,False
MR,0.07223574311813083,{},2,1022,0.01,LLVM,random,1,T1,46,False
RF,0.07015734585265616,{},2,1022,0.19,LLVM,random,1,T1,46,False
SVR,0.07185793170337176,{},2,1022,0.01,LLVM,random,1,T1,46,False
CART,0.06989564900906121,{},2,1022,0.0,LLVM,random,1,T1,47,False
kNN,0.06971959615400254,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,random,1,T1,47,False
KRR,0.06394864073561969,{},2,1022,0.01,LLVM,random,1,T1,47,False
MR,0.06735940903557514,{},2,1022,0.01,LLVM,random,1,T1,47,False
