technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.08880680586206074,{},2,1022,0.01,LLVM,rsbs,1,T1,1,False
kNN,0.08292748031353034,"{""n_neighbors"": 1}",2,1022,0.01,LLVM,rsbs,1,T1,1,False
KRR,0.0799162404491065,{},2,1022,0.02,LLVM,rsbs,1,T1,1,False
MR,0.06713301096393204,{},2,1022,0.01,LLVM,rsbs,1,T1,1,False
RF,0.06484258202354226,{},2,1022,0.22,LLVM,rsbs,1,T1,1,False
SVR,0.064016997053137,{},2,1022,0.01,LLVM,rsbs,1,T1,1,False
CART,0.07155327155228583,{},2,1022,0.01,LLVM,rsbs,1,T1,2,False
kNN,0.06491636829571408,"{""n_neighbors"": 1}",2,1022,0.01,LLVM,rsbs,1,T1,2,False
KRR,0.0651000445305781,{},2,1022,0.02,LLVM,rsbs,1,T1,2,False
MR,0.06477372355982303,{},2,1022,0.01,LLVM,rsbs,1,T1,2,False
RF,0.06379060581548913,{},2,1022,0.22,LLVM,rsbs,1,T1,2,False
SVR,0.06378173423327338,{},2,1022,0.01,LLVM,rsbs,1,T1,2,False
CART,0.07872949171524246,{},2,1022,0.0,LLVM,rsbs,1,T1,3,False
kNN,0.07318637654847679,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,3,False
KRR,0.06649528412203,{},2,1022,0.01,LLVM,rsbs,1,T1,3,False
MR,0.06759138548233039,{},2,1022,0.01,LLVM,rsbs,1,T1,3,False
RF,0.06767780019990159,{},2,1022,0.2,LLVM,rsbs,1,T1,3,False
SVR,0.06641160688513859,{},2,1022,0.01,LLVM,rsbs,1,T1,3,False
CART,0.09252461227418478,{},2,1022,0.0,LLVM,rsbs,1,T1,4,False
kNN,0.08209523726200123,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,4,False
KRR,0.05825807380158067,{},2,1022,0.01,LLVM,rsbs,1,T1,4,False
MR,0.061288683291889315,{},2,1022,0.01,LLVM,rsbs,1,T1,4,False
RF,0.05832834277065531,{},2,1022,0.2,LLVM,rsbs,1,T1,4,False
SVR,0.05976774184024242,{},2,1022,0.01,LLVM,rsbs,1,T1,4,False
CART,0.07371125388070918,{},2,1022,0.0,LLVM,rsbs,1,T1,5,False
kNN,0.07359378933426265,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,5,False
KRR,0.06249404455403211,{},2,1022,0.01,LLVM,rsbs,1,T1,5,False
MR,0.06621703498101557,{},2,1022,0.01,LLVM,rsbs,1,T1,5,False
RF,0.06509883487578055,{},2,1022,0.2,LLVM,rsbs,1,T1,5,False
SVR,0.06545286373589283,{},2,1022,0.01,LLVM,rsbs,1,T1,5,False
CART,0.05754761666202278,{},2,1022,0.0,LLVM,rsbs,1,T1,6,False
kNN,0.06323931649004443,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,6,False
KRR,0.06354118682900295,{},2,1022,0.01,LLVM,rsbs,1,T1,6,False
MR,0.06397176314994286,{},2,1022,0.01,LLVM,rsbs,1,T1,6,False
RF,0.06415508187283075,{},2,1022,0.2,LLVM,rsbs,1,T1,6,False
SVR,0.06359375893471689,{},2,1022,0.01,LLVM,rsbs,1,T1,6,False
CART,0.07901122142314149,{},2,1022,0.0,LLVM,rsbs,1,T1,7,False
kNN,0.07891700933360378,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,7,False
KRR,0.0789683198180225,{},2,1022,0.01,LLVM,rsbs,1,T1,7,False
MR,0.07898458541528192,{},2,1022,0.01,LLVM,rsbs,1,T1,7,False
RF,0.07897024792073708,{},2,1022,0.2,LLVM,rsbs,1,T1,7,False
SVR,0.07893828776494616,{},2,1022,0.01,LLVM,rsbs,1,T1,7,False
CART,0.08040917836111967,{},2,1022,0.0,LLVM,rsbs,1,T1,8,False
kNN,0.0771513191671417,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,8,False
KRR,0.08315294569172936,{},2,1022,0.01,LLVM,rsbs,1,T1,8,False
MR,0.08407032508238058,{},2,1022,0.01,LLVM,rsbs,1,T1,8,False
RF,0.08453870562035806,{},2,1022,0.2,LLVM,rsbs,1,T1,8,False
SVR,0.0837864579914672,{},2,1022,0.01,LLVM,rsbs,1,T1,8,False
CART,0.13184502887545968,{},2,1022,0.0,LLVM,rsbs,1,T1,9,False
kNN,0.13118856786736988,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,9,False
KRR,0.1318103008980113,{},2,1022,0.01,LLVM,rsbs,1,T1,9,False
MR,0.13182887817239067,{},2,1022,0.01,LLVM,rsbs,1,T1,9,False
RF,0.1319718836894026,{},2,1022,0.2,LLVM,rsbs,1,T1,9,False
SVR,0.13181881797296516,{},2,1022,0.01,LLVM,rsbs,1,T1,9,False
CART,0.07148189882319526,{},2,1022,0.0,LLVM,rsbs,1,T1,10,False
kNN,0.06597754308994105,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,10,False
KRR,0.06600172617112236,{},2,1022,0.01,LLVM,rsbs,1,T1,10,False
MR,0.06460881221925172,{},2,1022,0.01,LLVM,rsbs,1,T1,10,False
RF,0.06438785724515657,{},2,1022,0.2,LLVM,rsbs,1,T1,10,False
SVR,0.06361828812997272,{},2,1022,0.01,LLVM,rsbs,1,T1,10,False
CART,0.10712147241804869,{},2,1022,0.0,LLVM,rsbs,1,T1,11,False
kNN,0.10704965788491227,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,11,False
KRR,0.10589247636122655,{},2,1022,0.01,LLVM,rsbs,1,T1,11,False
MR,0.10662435189293479,{},2,1022,0.01,LLVM,rsbs,1,T1,11,False
RF,0.10759191866754625,{},2,1022,0.2,LLVM,rsbs,1,T1,11,False
SVR,0.10665084565817605,{},2,1022,0.01,LLVM,rsbs,1,T1,11,False
CART,0.08433370220589798,{},2,1022,0.0,LLVM,rsbs,1,T1,12,False
kNN,0.06359766312861308,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,12,False
KRR,0.060019173493899416,{},2,1022,0.01,LLVM,rsbs,1,T1,12,False
MR,0.06148201174644598,{},2,1022,0.01,LLVM,rsbs,1,T1,12,False
RF,0.056692475514432815,{},2,1022,0.2,LLVM,rsbs,1,T1,12,False
SVR,0.05761995082220178,{},2,1022,0.01,LLVM,rsbs,1,T1,12,False
CART,0.09337014976516175,{},2,1022,0.0,LLVM,rsbs,1,T1,13,False
kNN,0.07700994702862637,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,13,False
KRR,0.05658594168820854,{},2,1022,0.0,LLVM,rsbs,1,T1,13,False
MR,0.061336503499861084,{},2,1022,0.01,LLVM,rsbs,1,T1,13,False
RF,0.05726517940360273,{},2,1022,0.21,LLVM,rsbs,1,T1,13,False
SVR,0.05859631022040844,{},2,1022,0.01,LLVM,rsbs,1,T1,13,False
CART,0.10049343799534521,{},2,1022,0.0,LLVM,rsbs,1,T1,14,False
kNN,0.07968511091972122,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,14,False
KRR,0.0647349827539546,{},2,1022,0.01,LLVM,rsbs,1,T1,14,False
MR,0.06727464310877337,{},2,1022,0.01,LLVM,rsbs,1,T1,14,False
RF,0.06182197872005572,{},2,1022,0.21,LLVM,rsbs,1,T1,14,False
SVR,0.061978274073828526,{},2,1022,0.0,LLVM,rsbs,1,T1,14,False
CART,0.10809023804345892,{},2,1022,0.0,LLVM,rsbs,1,T1,15,False
kNN,0.08699626706677212,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,15,False
KRR,0.057711455156621336,{},2,1022,0.01,LLVM,rsbs,1,T1,15,False
MR,0.06309651872633136,{},2,1022,0.01,LLVM,rsbs,1,T1,15,False
RF,0.06054974732146809,{},2,1022,0.21,LLVM,rsbs,1,T1,15,False
SVR,0.05880053236222541,{},2,1022,0.01,LLVM,rsbs,1,T1,15,False
CART,0.09070856894809214,{},2,1022,0.0,LLVM,rsbs,1,T1,16,False
kNN,0.08852477909237914,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,16,False
KRR,0.0813715016200385,{},2,1022,0.01,LLVM,rsbs,1,T1,16,False
MR,0.07757390143100017,{},2,1022,0.01,LLVM,rsbs,1,T1,16,False
RF,0.0794557752278912,{},2,1022,0.2,LLVM,rsbs,1,T1,16,False
SVR,0.07693711376847574,{},2,1022,0.01,LLVM,rsbs,1,T1,16,False
CART,0.12103230199061144,{},2,1022,0.0,LLVM,rsbs,1,T1,17,False
kNN,0.10220508553550721,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,17,False
KRR,0.059323719199518225,{},2,1022,0.0,LLVM,rsbs,1,T1,17,False
MR,0.06694252489447358,{},2,1022,0.01,LLVM,rsbs,1,T1,17,False
RF,0.060623237815182245,{},2,1022,0.2,LLVM,rsbs,1,T1,17,False
SVR,0.06001305448128227,{},2,1022,0.01,LLVM,rsbs,1,T1,17,False
CART,0.0630447672212113,{},2,1022,0.0,LLVM,rsbs,1,T1,18,False
kNN,0.06309786681275095,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,18,False
KRR,0.06279369936701377,{},2,1022,0.01,LLVM,rsbs,1,T1,18,False
MR,0.06254160270269293,{},2,1022,0.01,LLVM,rsbs,1,T1,18,False
RF,0.06307438947491241,{},2,1022,0.2,LLVM,rsbs,1,T1,18,False
SVR,0.06262460890200877,{},2,1022,0.01,LLVM,rsbs,1,T1,18,False
CART,0.07528258862988318,{},2,1022,0.0,LLVM,rsbs,1,T1,19,False
kNN,0.0711016132327323,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,19,False
KRR,0.07390119859315245,{},2,1022,0.01,LLVM,rsbs,1,T1,19,False
MR,0.07579547183427843,{},2,1022,0.01,LLVM,rsbs,1,T1,19,False
RF,0.07087764425793627,{},2,1022,0.21,LLVM,rsbs,1,T1,19,False
SVR,0.07394685514919921,{},2,1022,0.01,LLVM,rsbs,1,T1,19,False
CART,0.0724537472249099,{},2,1022,0.0,LLVM,rsbs,1,T1,20,False
kNN,0.07228289834149909,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,20,False
KRR,0.07148181974470451,{},2,1022,0.01,LLVM,rsbs,1,T1,20,False
MR,0.07205629249703414,{},2,1022,0.01,LLVM,rsbs,1,T1,20,False
RF,0.07151038713776091,{},2,1022,0.2,LLVM,rsbs,1,T1,20,False
SVR,0.07186268736513733,{},2,1022,0.01,LLVM,rsbs,1,T1,20,False
CART,0.06852153757428422,{},2,1022,0.0,LLVM,rsbs,1,T1,21,False
kNN,0.07532972874538549,"{""n_neighbors"": 1}",2,1022,0.0,LLVM,rsbs,1,T1,21,False
KRR,0.07158312041782633,{},2,1022,0.01,LLVM,rsbs,1,T1,21,False
MR,0.06897080912545996,{},2,1022,0.01,LLVM,rsbs,1,T1,21,False
RF,0.0665966458669742,{},2,1022,0.2,LLVM,rsbs,1,T1,21,False
SVR,0.06538978224848113,{},2,1022,0.01,LLVM,rsbs,1,T1,21,False
CART,0.06978663884830842,{},2,1022,0.0,LLVM,rsbs,1,T1,22,False
