technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.6407169724427721,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,dbs,1,T1,1,True
kNN,0.3484898603884877,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,dbs,1,T1,1,True
KRR,0.33336783130706993,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.05,Polly,dbs,1,T1,1,True
MR,0.39435889568100463,"{""lasso__regressor__alpha"": 0.1}",5,59995,0.99,Polly,dbs,1,T1,1,True
RF,0.3712239455715114,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.05,Polly,dbs,1,T1,1,True
SVR,0.3243715494159715,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.06,Polly,dbs,1,T1,1,True
CART,0.33950141759833663,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,dbs,1,T1,2,True
kNN,0.29049143694266705,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,dbs,1,T1,2,True
KRR,0.2976415511185535,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.05,Polly,dbs,1,T1,2,True
MR,0.2963874665851383,"{""lasso__regressor__alpha"": 0.1}",5,59995,0.95,Polly,dbs,1,T1,2,True
RF,0.2980039660625957,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.05,Polly,dbs,1,T1,2,True
SVR,0.30751152344982463,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.05,Polly,dbs,1,T1,2,True
CART,0.6429558478733265,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,dbs,1,T1,3,True
kNN,0.3042527980442232,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,dbs,1,T1,3,True
KRR,0.31788931729308195,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.04,Polly,dbs,1,T1,3,True
MR,0.4775246582268203,"{""lasso__regressor__alpha"": 0.1}",5,59995,0.97,Polly,dbs,1,T1,3,True
RF,0.3260836496243499,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.05,Polly,dbs,1,T1,3,True
SVR,0.29653622841459276,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.04,Polly,dbs,1,T1,3,True
CART,0.49223332124712116,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,dbs,1,T1,4,True
kNN,0.29324803824977586,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,dbs,1,T1,4,True
KRR,0.29984295625925567,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.05,Polly,dbs,1,T1,4,True
MR,0.3395398040178124,"{""lasso__regressor__alpha"": 0.1}",5,59995,0.93,Polly,dbs,1,T1,4,True
RF,0.29510611265359565,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.05,Polly,dbs,1,T1,4,True
SVR,0.29656319777195456,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.04,Polly,dbs,1,T1,4,True
CART,0.3416294041981792,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,dbs,1,T1,5,True
kNN,0.30241152858564935,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,dbs,1,T1,5,True
KRR,0.29728172632806704,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.04,Polly,dbs,1,T1,5,True
MR,0.28553873747193326,"{""lasso__regressor__alpha"": 0.1}",5,59995,0.89,Polly,dbs,1,T1,5,True
RF,0.31059495659961195,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 15}",5,59995,0.05,Polly,dbs,1,T1,5,True
SVR,0.3213311710885858,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,59995,0.05,Polly,dbs,1,T1,5,True
CART,0.6426867068786614,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""splitter"": ""best""}",5,59995,0.01,Polly,dbs,1,T1,6,True
kNN,0.30386206674656036,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",5,59995,0.07,Polly,dbs,1,T1,6,True
KRR,0.321826484610768,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",5,59995,0.04,Polly,dbs,1,T1,6,True
MR,0.47443948064624547,"{""lasso__regressor__alpha"": 0.1}",5,59995,0.96,Polly,dbs,1,T1,6,True
