technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,6.200093366265792,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.04,VP9,dbs,1,T1,1,True
kNN,6.030236666736238,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.28,VP9,dbs,1,T1,1,True
KRR,7.135469321806987,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.17,VP9,dbs,1,T1,1,True
MR,10.264502394146811,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.85,VP9,dbs,1,T1,1,True
RF,5.2495266025163225,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.07,VP9,dbs,1,T1,1,True
SVR,4.963953538575876,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.2,VP9,dbs,1,T1,1,True
CART,1.8555373960674266,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.04,VP9,dbs,1,T1,2,True
kNN,5.472961074827084,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.28,VP9,dbs,1,T1,2,True
KRR,6.043690295499804,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.17,VP9,dbs,1,T1,2,True
MR,4.934033247828466,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.74,VP9,dbs,1,T1,2,True
RF,3.2668606513090057,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.07,VP9,dbs,1,T1,2,True
SVR,4.529894482153826,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.23,VP9,dbs,1,T1,2,True
CART,3.9253938673014432,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.04,VP9,dbs,1,T1,3,True
kNN,1.7726371788869926,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.27,VP9,dbs,1,T1,3,True
KRR,4.870128940572106,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.14,VP9,dbs,1,T1,3,True
MR,5.296267822156832,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.46,VP9,dbs,1,T1,3,True
RF,2.4021962601013924,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.07,VP9,dbs,1,T1,3,True
SVR,2.5216319982659594,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.15,VP9,dbs,1,T1,3,True
CART,3.9253938673014432,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.04,VP9,dbs,1,T1,4,True
kNN,1.7726371788869926,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.28,VP9,dbs,1,T1,4,True
KRR,4.870128940572106,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.17,VP9,dbs,1,T1,4,True
MR,5.296267822156832,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.47,VP9,dbs,1,T1,4,True
RF,2.4021962601013924,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.08,VP9,dbs,1,T1,4,True
SVR,2.5216319982659594,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.16,VP9,dbs,1,T1,4,True
CART,3.557042833959138,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.05,VP9,dbs,1,T1,5,True
kNN,6.4195808202510225,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.27,VP9,dbs,1,T1,5,True
KRR,7.956153968724197,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.16,VP9,dbs,1,T1,5,True
MR,9.052362019899078,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.5,VP9,dbs,1,T1,5,True
RF,5.664852973766208,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.09,VP9,dbs,1,T1,5,True
SVR,10.135983675628223,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.23,VP9,dbs,1,T1,5,True
CART,1.1273498731364215,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.03,VP9,dbs,1,T1,6,True
kNN,8.225980596307425,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.26,VP9,dbs,1,T1,6,True
KRR,7.626296669637327,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.13,VP9,dbs,1,T1,6,True
MR,5.1673670211680065,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.48,VP9,dbs,1,T1,6,True
RF,3.628546504191703,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.07,VP9,dbs,1,T1,6,True
SVR,10.5946601174281,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.2,VP9,dbs,1,T1,6,True
CART,2.325308259375979,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.03,VP9,dbs,1,T1,7,True
kNN,2.009847381203558,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.26,VP9,dbs,1,T1,7,True
KRR,2.018915192245899,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.16,VP9,dbs,1,T1,7,True
MR,1.8590586754924392,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.45,VP9,dbs,1,T1,7,True
