technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,4.947236987683341,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.05,VP9,random,1,T1,1,True
kNN,5.167682089346594,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.27,VP9,random,1,T1,1,True
KRR,4.577519844975381,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.16,VP9,random,1,T1,1,True
MR,3.171557736133326,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.93,VP9,random,1,T1,1,True
RF,4.232784891420503,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.08,VP9,random,1,T1,1,True
SVR,2.9167344415728644,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.17,VP9,random,1,T1,1,True
CART,4.198422381693846,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.04,VP9,random,1,T1,2,True
kNN,3.5812247260773105,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.26,VP9,random,1,T1,2,True
KRR,3.368700044535527,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.14,VP9,random,1,T1,2,True
MR,3.852489414560721,"{""lasso__regressor__alpha"": 0.001}",5,215995,5.03,VP9,random,1,T1,2,True
RF,3.669338853390706,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.09,VP9,random,1,T1,2,True
SVR,2.79893613441309,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.21,VP9,random,1,T1,2,True
CART,6.175356615789962,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.04,VP9,random,1,T1,3,True
kNN,4.81303870678912,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.26,VP9,random,1,T1,3,True
KRR,4.205003567415998,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.13,VP9,random,1,T1,3,True
MR,5.944242886962356,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.99,VP9,random,1,T1,3,True
RF,3.926511019651975,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.09,VP9,random,1,T1,3,True
SVR,2.2094137573617822,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.21,VP9,random,1,T1,3,True
CART,2.524895412046298,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.03,VP9,random,1,T1,4,True
