technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,2.309579351234785,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.04,VP9,rsbs,1,T1,1,True
kNN,2.1472170465112423,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.26,VP9,rsbs,1,T1,1,True
KRR,2.0993713904986833,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.18,VP9,rsbs,1,T1,1,True
MR,1.6256929893563745,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.85,VP9,rsbs,1,T1,1,True
RF,2.0118254287201114,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.07,VP9,rsbs,1,T1,1,True
SVR,3.1074826037583785,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.24,VP9,rsbs,1,T1,1,True
CART,5.693562012826048,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.04,VP9,rsbs,1,T1,2,True
kNN,3.6612758218473442,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.26,VP9,rsbs,1,T1,2,True
KRR,4.330601050001846,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.18,VP9,rsbs,1,T1,2,True
MR,5.425296786228667,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.76,VP9,rsbs,1,T1,2,True
RF,3.475900574151356,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.08,VP9,rsbs,1,T1,2,True
SVR,2.0898420669684854,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.17,VP9,rsbs,1,T1,2,True
CART,1.5204739299395558,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.03,VP9,rsbs,1,T1,3,True
kNN,6.217720071573676,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.25,VP9,rsbs,1,T1,3,True
KRR,5.1635597097032155,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.14,VP9,rsbs,1,T1,3,True
MR,2.2018035965542326,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.82,VP9,rsbs,1,T1,3,True
RF,3.958760045968241,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.07,VP9,rsbs,1,T1,3,True
SVR,3.9982313065166983,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.21,VP9,rsbs,1,T1,3,True
CART,1.0213452662735816,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.03,VP9,rsbs,1,T1,4,True
kNN,1.0280325401081596,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.25,VP9,rsbs,1,T1,4,True
KRR,0.983398015920945,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.14,VP9,rsbs,1,T1,4,True
MR,0.8654854628825698,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.63,VP9,rsbs,1,T1,4,True
RF,1.0379485895456124,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.08,VP9,rsbs,1,T1,4,True
SVR,0.9087784849666651,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.16,VP9,rsbs,1,T1,4,True
CART,1.494265776635667,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.03,VP9,rsbs,1,T1,5,True
kNN,0.9495523653810009,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.26,VP9,rsbs,1,T1,5,True
KRR,1.062431107503111,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.13,VP9,rsbs,1,T1,5,True
MR,1.1258886728073054,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.67,VP9,rsbs,1,T1,5,True
RF,1.0886839001271522,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.07,VP9,rsbs,1,T1,5,True
SVR,1.0008405566494893,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.21,VP9,rsbs,1,T1,5,True
CART,5.823341243787331,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.03,VP9,rsbs,1,T1,6,True
kNN,4.072485837230454,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.26,VP9,rsbs,1,T1,6,True
KRR,3.965828090174043,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.14,VP9,rsbs,1,T1,6,True
MR,6.31926150390456,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.86,VP9,rsbs,1,T1,6,True
RF,5.704843753395212,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.08,VP9,rsbs,1,T1,6,True
SVR,2.220384160113043,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.16,VP9,rsbs,1,T1,6,True
CART,3.271905277583934,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.03,VP9,rsbs,1,T1,7,True
kNN,1.8900376428957215,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.25,VP9,rsbs,1,T1,7,True
KRR,2.200376368469982,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.13,VP9,rsbs,1,T1,7,True
MR,0.6972093179674281,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.67,VP9,rsbs,1,T1,7,True
RF,2.071284971806372,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.07,VP9,rsbs,1,T1,7,True
SVR,1.220702834682414,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.19,VP9,rsbs,1,T1,7,True
CART,4.534213037397192,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",5,215995,0.03,VP9,rsbs,1,T1,8,True
kNN,3.7763222655538025,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",5,215995,0.24,VP9,rsbs,1,T1,8,True
KRR,3.6281622874263735,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",5,215995,0.14,VP9,rsbs,1,T1,8,True
MR,1.9542927081430908,"{""lasso__regressor__alpha"": 0.001}",5,215995,4.53,VP9,rsbs,1,T1,8,True
RF,3.579643916496488,"{""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",5,215995,0.07,VP9,rsbs,1,T1,8,True
SVR,2.296073199065421,"{""regressor__tol"": 0.3, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 2.0, ""regressor__C"": 0.5}",5,215995,0.21,VP9,rsbs,1,T1,8,True
