technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.44918259639654806,{},3,1149,0.0,x264,dbs,1,T1,1,False
kNN,0.25571208449393784,"{""n_neighbors"": 2}",3,1149,0.0,x264,dbs,1,T1,1,False
KRR,0.24101477500033816,{},3,1149,0.01,x264,dbs,1,T1,1,False
MR,0.316895949122896,{},3,1149,0.01,x264,dbs,1,T1,1,False
RF,0.22550456349365966,{},3,1149,0.17,x264,dbs,1,T1,1,False
SVR,0.2826074334633726,{},3,1149,0.0,x264,dbs,1,T1,1,False
CART,0.46458239421205794,{},3,1149,0.0,x264,dbs,1,T1,2,False
kNN,0.24494444730593895,"{""n_neighbors"": 2}",3,1149,0.0,x264,dbs,1,T1,2,False
KRR,0.25092369031633216,{},3,1149,0.01,x264,dbs,1,T1,2,False
MR,0.3197205528986328,{},3,1149,0.01,x264,dbs,1,T1,2,False
RF,0.24119368271444244,{},3,1149,0.17,x264,dbs,1,T1,2,False
SVR,0.28778464307814494,{},3,1149,0.0,x264,dbs,1,T1,2,False
CART,0.32973334705164126,{},3,1149,0.0,x264,dbs,1,T1,3,False
kNN,0.32953612859299414,"{""n_neighbors"": 2}",3,1149,0.0,x264,dbs,1,T1,3,False
KRR,0.333950586380215,{},3,1149,0.01,x264,dbs,1,T1,3,False
MR,0.331638725629074,{},3,1149,0.01,x264,dbs,1,T1,3,False
RF,0.33214324267109496,{},3,1149,0.17,x264,dbs,1,T1,3,False
SVR,0.3350895410559402,{},3,1149,0.0,x264,dbs,1,T1,3,False
CART,0.32389795219784373,{},3,1149,0.0,x264,dbs,1,T1,4,False
kNN,0.3224023945150851,"{""n_neighbors"": 2}",3,1149,0.0,x264,dbs,1,T1,4,False
KRR,0.32345182701602904,{},3,1149,0.01,x264,dbs,1,T1,4,False
MR,0.3229657399182448,{},3,1149,0.01,x264,dbs,1,T1,4,False
RF,0.3230855483972601,{},3,1149,0.17,x264,dbs,1,T1,4,False
SVR,0.32361770510516535,{},3,1149,0.0,x264,dbs,1,T1,4,False
CART,0.32456520084904195,{},3,1149,0.0,x264,dbs,1,T1,5,False
kNN,0.32012594589731774,"{""n_neighbors"": 2}",3,1149,0.0,x264,dbs,1,T1,5,False
KRR,0.3227888618165564,{},3,1149,0.0,x264,dbs,1,T1,5,False
MR,0.32162850430722506,{},3,1149,0.01,x264,dbs,1,T1,5,False
