technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.3320962176971339,{},3,1149,0.0,x264,ddbs,1,T1,1,False
kNN,0.33658065756642136,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,1,False
KRR,0.3325949913999565,{},3,1149,0.01,x264,ddbs,1,T1,1,False
MR,0.3365630303125756,{},3,1149,0.01,x264,ddbs,1,T1,1,False
RF,0.33528177008178883,{},3,1149,0.17,x264,ddbs,1,T1,1,False
SVR,0.33501188335597154,{},3,1149,0.0,x264,ddbs,1,T1,1,False
CART,0.3232260260034161,{},3,1149,0.0,x264,ddbs,1,T1,2,False
kNN,0.28796677461939796,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,2,False
KRR,0.28883850951430473,{},3,1149,0.01,x264,ddbs,1,T1,2,False
MR,0.31670927288292355,{},3,1149,0.01,x264,ddbs,1,T1,2,False
RF,0.2966910046840387,{},3,1149,0.17,x264,ddbs,1,T1,2,False
SVR,0.3040272459199236,{},3,1149,0.0,x264,ddbs,1,T1,2,False
CART,0.42680287740083633,{},3,1149,0.0,x264,ddbs,1,T1,3,False
kNN,0.24036528923734177,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,3,False
KRR,0.24431561520208986,{},3,1149,0.01,x264,ddbs,1,T1,3,False
MR,0.3207918909459336,{},3,1149,0.01,x264,ddbs,1,T1,3,False
RF,0.24325612014963005,{},3,1149,0.17,x264,ddbs,1,T1,3,False
SVR,0.28236283751273844,{},3,1149,0.0,x264,ddbs,1,T1,3,False
CART,0.3362404804929882,{},3,1149,0.0,x264,ddbs,1,T1,4,False
kNN,0.33289638531480686,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,4,False
KRR,0.3285507563373771,{},3,1149,0.01,x264,ddbs,1,T1,4,False
MR,0.3341315539909766,{},3,1149,0.01,x264,ddbs,1,T1,4,False
RF,0.32912092126614867,{},3,1149,0.17,x264,ddbs,1,T1,4,False
SVR,0.33679699999331425,{},3,1149,0.0,x264,ddbs,1,T1,4,False
CART,0.33898750412647155,{},3,1149,0.0,x264,ddbs,1,T1,5,False
kNN,0.32924353328455264,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,5,False
KRR,0.32745747474515047,{},3,1149,0.0,x264,ddbs,1,T1,5,False
MR,0.3300652703318053,{},3,1149,0.01,x264,ddbs,1,T1,5,False
RF,0.32783274626393993,{},3,1149,0.17,x264,ddbs,1,T1,5,False
SVR,0.3285167570687895,{},3,1149,0.0,x264,ddbs,1,T1,5,False
CART,0.32974430824515655,{},3,1149,0.0,x264,ddbs,1,T1,6,False
kNN,0.3293090343804569,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,6,False
KRR,0.33325830191157435,{},3,1149,0.0,x264,ddbs,1,T1,6,False
MR,0.33165780998744837,{},3,1149,0.01,x264,ddbs,1,T1,6,False
RF,0.33193448480844484,{},3,1149,0.17,x264,ddbs,1,T1,6,False
SVR,0.33527464395192064,{},3,1149,0.0,x264,ddbs,1,T1,6,False
CART,0.31890518680290164,{},3,1149,0.0,x264,ddbs,1,T1,7,False
kNN,0.3215941713221548,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,7,False
KRR,0.32173513562890504,{},3,1149,0.0,x264,ddbs,1,T1,7,False
MR,0.32264022602954456,{},3,1149,0.01,x264,ddbs,1,T1,7,False
RF,0.3202441884712402,{},3,1149,0.17,x264,ddbs,1,T1,7,False
SVR,0.324820922925862,{},3,1149,0.0,x264,ddbs,1,T1,7,False
CART,0.32986572454140367,{},3,1149,0.0,x264,ddbs,1,T1,8,False
kNN,0.340181596216476,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,8,False
KRR,0.33910645745954054,{},3,1149,0.0,x264,ddbs,1,T1,8,False
MR,0.3430541176752894,{},3,1149,0.01,x264,ddbs,1,T1,8,False
RF,0.34138118805892903,{},3,1149,0.17,x264,ddbs,1,T1,8,False
SVR,0.34677821161852296,{},3,1149,0.0,x264,ddbs,1,T1,8,False
CART,0.22537622663394205,{},3,1149,0.0,x264,ddbs,1,T1,9,False
kNN,0.30270234748031305,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,9,False
KRR,0.2885604055960726,{},3,1149,0.0,x264,ddbs,1,T1,9,False
MR,0.35097719275903105,{},3,1149,0.01,x264,ddbs,1,T1,9,False
RF,0.25355042092817043,{},3,1149,0.17,x264,ddbs,1,T1,9,False
SVR,0.2985914036822418,{},3,1149,0.0,x264,ddbs,1,T1,9,False
CART,0.32103357343615374,{},3,1149,0.0,x264,ddbs,1,T1,10,False
kNN,0.3240819032454667,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,10,False
KRR,0.32682944329803487,{},3,1149,0.0,x264,ddbs,1,T1,10,False
MR,0.3250115874631797,{},3,1149,0.01,x264,ddbs,1,T1,10,False
RF,0.3239562105397288,{},3,1149,0.17,x264,ddbs,1,T1,10,False
SVR,0.32392127964574224,{},3,1149,0.0,x264,ddbs,1,T1,10,False
CART,0.34392211185428095,{},3,1149,0.0,x264,ddbs,1,T1,11,False
kNN,0.3367442170768027,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,11,False
KRR,0.3363685188604042,{},3,1149,0.0,x264,ddbs,1,T1,11,False
MR,0.3365097178439298,{},3,1149,0.01,x264,ddbs,1,T1,11,False
RF,0.33825374148493964,{},3,1149,0.17,x264,ddbs,1,T1,11,False
SVR,0.3360846725247752,{},3,1149,0.0,x264,ddbs,1,T1,11,False
CART,0.15584182998985022,{},3,1149,0.0,x264,ddbs,1,T1,12,False
kNN,0.256599467265534,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,12,False
KRR,0.24537200635791223,{},3,1149,0.0,x264,ddbs,1,T1,12,False
MR,0.3150173369383529,{},3,1149,0.01,x264,ddbs,1,T1,12,False
RF,0.23073598967359718,{},3,1149,0.17,x264,ddbs,1,T1,12,False
SVR,0.28307143405837554,{},3,1149,0.0,x264,ddbs,1,T1,12,False
CART,0.4483951047287801,{},3,1149,0.0,x264,ddbs,1,T1,13,False
kNN,0.21166123855224203,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,13,False
KRR,0.20701268254048386,{},3,1149,0.0,x264,ddbs,1,T1,13,False
MR,0.31710591696840823,{},3,1149,0.01,x264,ddbs,1,T1,13,False
RF,0.2307447602917065,{},3,1149,0.17,x264,ddbs,1,T1,13,False
SVR,0.28148517700954645,{},3,1149,0.0,x264,ddbs,1,T1,13,False
CART,0.40916551091952247,{},3,1149,0.0,x264,ddbs,1,T1,14,False
kNN,0.307986986582321,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,14,False
KRR,0.27214009315547516,{},3,1149,0.0,x264,ddbs,1,T1,14,False
MR,0.3226129771417395,{},3,1149,0.01,x264,ddbs,1,T1,14,False
RF,0.27613141397263924,{},3,1149,0.16,x264,ddbs,1,T1,14,False
SVR,0.2906867383709416,{},3,1149,0.0,x264,ddbs,1,T1,14,False
CART,0.4187780457989285,{},3,1149,0.0,x264,ddbs,1,T1,15,False
kNN,0.3387552305202404,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,15,False
KRR,0.2871737578990311,{},3,1149,0.0,x264,ddbs,1,T1,15,False
MR,0.3497800845624436,{},3,1149,0.01,x264,ddbs,1,T1,15,False
RF,0.30358794066054595,{},3,1149,0.17,x264,ddbs,1,T1,15,False
SVR,0.3263810044755393,{},3,1149,0.0,x264,ddbs,1,T1,15,False
CART,0.5001493808806641,{},3,1149,0.0,x264,ddbs,1,T1,16,False
kNN,0.32851614118942707,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,16,False
KRR,0.32040947730780034,{},3,1149,0.0,x264,ddbs,1,T1,16,False
MR,0.37565396081455416,{},3,1149,0.01,x264,ddbs,1,T1,16,False
RF,0.29399885041763946,{},3,1149,0.17,x264,ddbs,1,T1,16,False
SVR,0.37160882414106733,{},3,1149,0.0,x264,ddbs,1,T1,16,False
CART,0.4008218895059239,{},3,1149,0.0,x264,ddbs,1,T1,17,False
kNN,0.30574102923058616,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,17,False
KRR,0.2664344702184969,{},3,1149,0.0,x264,ddbs,1,T1,17,False
MR,0.3764491737168698,{},3,1149,0.01,x264,ddbs,1,T1,17,False
RF,0.28421120512188364,{},3,1149,0.17,x264,ddbs,1,T1,17,False
SVR,0.3516260876833123,{},3,1149,0.0,x264,ddbs,1,T1,17,False
CART,0.3276189825500076,{},3,1149,0.0,x264,ddbs,1,T1,18,False
kNN,0.33036167314219733,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,18,False
KRR,0.3278087448861897,{},3,1149,0.0,x264,ddbs,1,T1,18,False
MR,0.3307834050213675,{},3,1149,0.01,x264,ddbs,1,T1,18,False
RF,0.33071540138792277,{},3,1149,0.17,x264,ddbs,1,T1,18,False
SVR,0.3283007987401811,{},3,1149,0.0,x264,ddbs,1,T1,18,False
CART,0.32437502090835435,{},3,1149,0.0,x264,ddbs,1,T1,19,False
kNN,0.3244750551251193,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,19,False
KRR,0.32461855250775706,{},3,1149,0.0,x264,ddbs,1,T1,19,False
MR,0.32474275984031825,{},3,1149,0.01,x264,ddbs,1,T1,19,False
RF,0.32455292558116255,{},3,1149,0.17,x264,ddbs,1,T1,19,False
SVR,0.3247526380675272,{},3,1149,0.0,x264,ddbs,1,T1,19,False
CART,0.32101704203493914,{},3,1149,0.0,x264,ddbs,1,T1,20,False
kNN,0.3231056310360341,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,20,False
KRR,0.3195201614230267,{},3,1149,0.0,x264,ddbs,1,T1,20,False
MR,0.3236454418755999,{},3,1149,0.01,x264,ddbs,1,T1,20,False
RF,0.32257645663798423,{},3,1149,0.17,x264,ddbs,1,T1,20,False
SVR,0.3208534459989853,{},3,1149,0.0,x264,ddbs,1,T1,20,False
CART,0.1624078332514183,{},3,1149,0.0,x264,ddbs,1,T1,21,False
kNN,0.2687650466296565,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,21,False
KRR,0.2705490280851144,{},3,1149,0.0,x264,ddbs,1,T1,21,False
MR,0.3168352623853109,{},3,1149,0.01,x264,ddbs,1,T1,21,False
RF,0.2540900241965974,{},3,1149,0.17,x264,ddbs,1,T1,21,False
SVR,0.30058853160224885,{},3,1149,0.0,x264,ddbs,1,T1,21,False
CART,0.4183354484127146,{},3,1149,0.0,x264,ddbs,1,T1,22,False
kNN,0.25975388214748707,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,22,False
KRR,0.26170277596897895,{},3,1149,0.0,x264,ddbs,1,T1,22,False
MR,0.31753458284902886,{},3,1149,0.01,x264,ddbs,1,T1,22,False
RF,0.2637421550643754,{},3,1149,0.17,x264,ddbs,1,T1,22,False
SVR,0.2825689670402473,{},3,1149,0.0,x264,ddbs,1,T1,22,False
CART,0.3312840639030702,{},3,1149,0.0,x264,ddbs,1,T1,23,False
kNN,0.3403166095536836,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,23,False
KRR,0.32811125500139415,{},3,1149,0.0,x264,ddbs,1,T1,23,False
MR,0.3343800850480825,{},3,1149,0.01,x264,ddbs,1,T1,23,False
RF,0.33031194067837516,{},3,1149,0.17,x264,ddbs,1,T1,23,False
SVR,0.32600938975505145,{},3,1149,0.0,x264,ddbs,1,T1,23,False
CART,0.23888126661295073,{},3,1149,0.0,x264,ddbs,1,T1,24,False
kNN,0.2705900008925374,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,24,False
KRR,0.2725707358464306,{},3,1149,0.0,x264,ddbs,1,T1,24,False
MR,0.3163751374538586,{},3,1149,0.01,x264,ddbs,1,T1,24,False
RF,0.28201614267253744,{},3,1149,0.17,x264,ddbs,1,T1,24,False
SVR,0.30089952651291196,{},3,1149,0.0,x264,ddbs,1,T1,24,False
CART,0.33087940486301587,{},3,1149,0.0,x264,ddbs,1,T1,25,False
kNN,0.33086950342445137,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,25,False
KRR,0.33239300783370074,{},3,1149,0.0,x264,ddbs,1,T1,25,False
MR,0.3331282935270004,{},3,1149,0.01,x264,ddbs,1,T1,25,False
RF,0.3326010944728803,{},3,1149,0.17,x264,ddbs,1,T1,25,False
SVR,0.330103000583147,{},3,1149,0.0,x264,ddbs,1,T1,25,False
CART,0.3831313617761892,{},3,1149,0.0,x264,ddbs,1,T1,26,False
kNN,0.2688416410487147,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,26,False
KRR,0.27124647604572444,{},3,1149,0.0,x264,ddbs,1,T1,26,False
MR,0.3149942687198844,{},3,1149,0.01,x264,ddbs,1,T1,26,False
RF,0.28236659076090564,{},3,1149,0.17,x264,ddbs,1,T1,26,False
SVR,0.29308849827751793,{},3,1149,0.0,x264,ddbs,1,T1,26,False
CART,0.32327602271377,{},3,1149,0.0,x264,ddbs,1,T1,27,False
kNN,0.32840991065601977,"{""n_neighbors"": 2}",3,1149,0.0,x264,ddbs,1,T1,27,False
