technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.2978492453136164,{},3,1149,0.0,x264,rsbs,1,T1,1,False
kNN,0.28926930002395196,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,1,False
KRR,0.2755461454912605,{},3,1149,0.01,x264,rsbs,1,T1,1,False
MR,0.31578903211854426,{},3,1149,0.01,x264,rsbs,1,T1,1,False
RF,0.29302153790032964,{},3,1149,0.17,x264,rsbs,1,T1,1,False
SVR,0.2957622128324865,{},3,1149,0.0,x264,rsbs,1,T1,1,False
CART,0.6283181351635325,{},3,1149,0.0,x264,rsbs,1,T1,2,False
kNN,0.41151198975788844,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,2,False
KRR,0.440544948258453,{},3,1149,0.01,x264,rsbs,1,T1,2,False
MR,0.4380056414670722,{},3,1149,0.01,x264,rsbs,1,T1,2,False
RF,0.40610426572980396,{},3,1149,0.17,x264,rsbs,1,T1,2,False
SVR,0.4786615253891653,{},3,1149,0.0,x264,rsbs,1,T1,2,False
CART,0.5368013534075778,{},3,1149,0.0,x264,rsbs,1,T1,3,False
kNN,0.24912251846883718,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,3,False
KRR,0.24912044322993168,{},3,1149,0.01,x264,rsbs,1,T1,3,False
MR,0.321177807740785,{},3,1149,0.01,x264,rsbs,1,T1,3,False
RF,0.2484488294602796,{},3,1149,0.17,x264,rsbs,1,T1,3,False
SVR,0.2688138892622019,{},3,1149,0.0,x264,rsbs,1,T1,3,False
CART,0.35486784196313576,{},3,1149,0.0,x264,rsbs,1,T1,4,False
kNN,0.3033047110956201,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,4,False
KRR,0.27358934858554024,{},3,1149,0.01,x264,rsbs,1,T1,4,False
MR,0.33577397808489584,{},3,1149,0.01,x264,rsbs,1,T1,4,False
RF,0.2944224287164477,{},3,1149,0.17,x264,rsbs,1,T1,4,False
SVR,0.30979130181600156,{},3,1149,0.0,x264,rsbs,1,T1,4,False
CART,0.487141216177697,{},3,1149,0.0,x264,rsbs,1,T1,5,False
kNN,0.5097451833278535,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,5,False
KRR,0.4439228466977395,{},3,1149,0.0,x264,rsbs,1,T1,5,False
MR,0.5492544158458157,{},3,1149,0.01,x264,rsbs,1,T1,5,False
RF,0.4713321116067808,{},3,1149,0.17,x264,rsbs,1,T1,5,False
SVR,0.5501642425796697,{},3,1149,0.0,x264,rsbs,1,T1,5,False
CART,0.18843841479609316,{},3,1149,0.0,x264,rsbs,1,T1,6,False
kNN,0.31281940422200016,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,6,False
KRR,0.28165214270376215,{},3,1149,0.0,x264,rsbs,1,T1,6,False
MR,0.400318292966787,{},3,1149,0.01,x264,rsbs,1,T1,6,False
RF,0.27315272562194126,{},3,1149,0.17,x264,rsbs,1,T1,6,False
SVR,0.4188876058365207,{},3,1149,0.0,x264,rsbs,1,T1,6,False
CART,0.4054325858237667,{},3,1149,0.0,x264,rsbs,1,T1,7,False
kNN,0.41675488966537844,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,7,False
KRR,0.41279562625540667,{},3,1149,0.0,x264,rsbs,1,T1,7,False
MR,0.44703203047032863,{},3,1149,0.01,x264,rsbs,1,T1,7,False
RF,0.41077520177877563,{},3,1149,0.17,x264,rsbs,1,T1,7,False
SVR,0.4290483767004578,{},3,1149,0.0,x264,rsbs,1,T1,7,False
CART,0.5451598465556835,{},3,1149,0.0,x264,rsbs,1,T1,8,False
kNN,0.4856150593642357,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,8,False
KRR,0.5219126856727113,{},3,1149,0.0,x264,rsbs,1,T1,8,False
MR,0.49444832286780677,{},3,1149,0.01,x264,rsbs,1,T1,8,False
RF,0.49766672524362254,{},3,1149,0.16,x264,rsbs,1,T1,8,False
SVR,0.4555810950005264,{},3,1149,0.0,x264,rsbs,1,T1,8,False
CART,0.5957509795217788,{},3,1149,0.0,x264,rsbs,1,T1,9,False
kNN,0.41293564206022043,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,9,False
KRR,0.4604403131140519,{},3,1149,0.0,x264,rsbs,1,T1,9,False
MR,0.4557476608187441,{},3,1149,0.01,x264,rsbs,1,T1,9,False
RF,0.4519221041530939,{},3,1149,0.17,x264,rsbs,1,T1,9,False
SVR,0.43477995023746374,{},3,1149,0.0,x264,rsbs,1,T1,9,False
CART,0.17282254735332553,{},3,1149,0.0,x264,rsbs,1,T1,10,False
kNN,0.28610111676695493,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,10,False
KRR,0.24019793048213048,{},3,1149,0.0,x264,rsbs,1,T1,10,False
MR,0.31696639940166715,{},3,1149,0.01,x264,rsbs,1,T1,10,False
RF,0.2340141849084313,{},3,1149,0.16,x264,rsbs,1,T1,10,False
SVR,0.30007594004382554,{},3,1149,0.0,x264,rsbs,1,T1,10,False
CART,0.6292905016001843,{},3,1149,0.0,x264,rsbs,1,T1,11,False
kNN,0.6179784716336306,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,11,False
KRR,0.5733587556520665,{},3,1149,0.0,x264,rsbs,1,T1,11,False
MR,0.6024288049501204,{},3,1149,0.01,x264,rsbs,1,T1,11,False
RF,0.6022215766037003,{},3,1149,0.16,x264,rsbs,1,T1,11,False
SVR,0.5601220619364666,{},3,1149,0.0,x264,rsbs,1,T1,11,False
CART,0.39812769398996894,{},3,1149,0.0,x264,rsbs,1,T1,12,False
kNN,0.3445958328381952,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,12,False
KRR,0.3403784525122373,{},3,1149,0.0,x264,rsbs,1,T1,12,False
MR,0.35003977625431626,{},3,1149,0.01,x264,rsbs,1,T1,12,False
RF,0.3384295076464571,{},3,1149,0.17,x264,rsbs,1,T1,12,False
SVR,0.3393899642400155,{},3,1149,0.0,x264,rsbs,1,T1,12,False
CART,0.17463769425150924,{},3,1149,0.0,x264,rsbs,1,T1,13,False
kNN,0.3164257927917565,"{""n_neighbors"": 2}",3,1149,0.0,x264,rsbs,1,T1,13,False
KRR,0.2917210750885903,{},3,1149,0.0,x264,rsbs,1,T1,13,False
