technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.1901186701593499,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",23,2281,0.0,Dune,random,2,Prop0.01,1,True
kNN,0.2096020142685896,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""uniform""}",23,2281,0.0,Dune,random,2,Prop0.01,1,True
KRR,0.1885187926000209,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",23,2281,0.02,Dune,random,2,Prop0.01,1,True
MR,0.1862791491555317,"{""lasso__regressor__alpha"": 0.1}",23,2281,0.02,Dune,random,2,Prop0.01,1,True
RF,0.1735924464100195,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 15}",23,2281,0.03,Dune,random,2,Prop0.01,1,True
SVR,0.1907301822472283,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.3, ""regressor__coef0"": 1.0, ""regressor__C"": 0.5}",23,2281,0.01,Dune,random,2,Prop0.01,1,True
CART,0.2004421010126421,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",23,2281,0.0,Dune,random,2,Prop0.01,2,True
kNN,0.1755002045195673,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""uniform""}",23,2281,0.01,Dune,random,2,Prop0.01,2,True
KRR,0.1554156370602432,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.1}",23,2281,0.01,Dune,random,2,Prop0.01,2,True
MR,0.1743803101134642,"{""lasso__regressor__alpha"": 0.1}",23,2281,0.02,Dune,random,2,Prop0.01,2,True
RF,0.1501237037555056,"{""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 15}",23,2281,0.03,Dune,random,2,Prop0.01,2,True
SVR,0.1617113092517128,"{""regressor__tol"": 0.1, ""regressor__shrinking"": false, ""regressor__epsilon"": 0.3, ""regressor__coef0"": 1.0, ""regressor__C"": 0.5}",23,2281,0.01,Dune,random,2,Prop0.01,2,True
CART,0.1916260992970594,"{""max_features"": ""log2"", ""min_samples_leaf"": 2, ""splitter"": ""best""}",23,2281,0.0,Dune,random,2,Prop0.01,3,True
