technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.0161460087162686,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,1,True
kNN,0.1800599477034945,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.2,Polly,random,2,Prop0.01,1,True
KRR,0.0817180639016681,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.15,Polly,random,2,Prop0.01,1,True
MR,0.1201549478998504,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.35,Polly,random,2,Prop0.01,1,True
RF,0.0148112255784291,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.23,Polly,random,2,Prop0.01,1,True
SVR,0.0959801344086781,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,3.59,Polly,random,2,Prop0.01,1,True
CART,0.0191117882082678,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,2,True
kNN,0.1709096458763305,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.19,Polly,random,2,Prop0.01,2,True
KRR,0.0825154883188661,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.16,Polly,random,2,Prop0.01,2,True
MR,0.1189895531226109,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.38,Polly,random,2,Prop0.01,2,True
RF,0.0172418076032748,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.23,Polly,random,2,Prop0.01,2,True
SVR,0.0926088950177433,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,2.97,Polly,random,2,Prop0.01,2,True
CART,0.0141300340542822,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,3,True
kNN,0.1619168339589003,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.23,Polly,random,2,Prop0.01,3,True
KRR,0.0732036924604328,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.08,Polly,random,2,Prop0.01,3,True
MR,0.1147777755132237,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.4,Polly,random,2,Prop0.01,3,True
RF,0.0154551143741546,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.25,Polly,random,2,Prop0.01,3,True
SVR,0.0833492493255355,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,3.02,Polly,random,2,Prop0.01,3,True
CART,0.0165359182366837,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,4,True
kNN,0.1789219959296006,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.14,Polly,random,2,Prop0.01,4,True
KRR,0.0795655258536797,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.06,Polly,random,2,Prop0.01,4,True
MR,0.1208680762478243,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.38,Polly,random,2,Prop0.01,4,True
RF,0.0157024704015677,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.26,Polly,random,2,Prop0.01,4,True
SVR,0.0943967373353202,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,2.95,Polly,random,2,Prop0.01,4,True
CART,0.014507835597521,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,5,True
kNN,0.1673636296593652,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.17,Polly,random,2,Prop0.01,5,True
KRR,0.0752707746546347,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.11,Polly,random,2,Prop0.01,5,True
MR,0.1151731743443726,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.34,Polly,random,2,Prop0.01,5,True
RF,0.0137715352966604,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.25,Polly,random,2,Prop0.01,5,True
SVR,0.0847289927549137,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,2.96,Polly,random,2,Prop0.01,5,True
CART,0.0214272507238251,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.03,Polly,random,2,Prop0.01,6,True
kNN,0.1820335650901977,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.15,Polly,random,2,Prop0.01,6,True
KRR,0.0921340016206757,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.04,Polly,random,2,Prop0.01,6,True
MR,0.1274110671099788,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.24,Polly,random,2,Prop0.01,6,True
RF,0.0169440382915456,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.27,Polly,random,2,Prop0.01,6,True
SVR,0.1039510744724423,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,2.86,Polly,random,2,Prop0.01,6,True
CART,0.0158677970575506,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,7,True
kNN,0.1641207537657771,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.2,Polly,random,2,Prop0.01,7,True
KRR,0.074750659156551,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.03,Polly,random,2,Prop0.01,7,True
MR,0.1123231835262734,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.3,Polly,random,2,Prop0.01,7,True
RF,0.0157910090476992,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.26,Polly,random,2,Prop0.01,7,True
SVR,0.0876724209615918,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,2.98,Polly,random,2,Prop0.01,7,True
CART,0.0205026972560287,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,8,True
kNN,0.188992829015656,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.15,Polly,random,2,Prop0.01,8,True
KRR,0.0936748403487193,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,0.98,Polly,random,2,Prop0.01,8,True
MR,0.1281416076713417,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.27,Polly,random,2,Prop0.01,8,True
RF,0.0222645163554914,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.28,Polly,random,2,Prop0.01,8,True
SVR,0.1138849650832138,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,3.0,Polly,random,2,Prop0.01,8,True
CART,0.0154079178705913,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,9,True
kNN,0.1773121536665432,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.21,Polly,random,2,Prop0.01,9,True
KRR,0.0790840155688567,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.12,Polly,random,2,Prop0.01,9,True
MR,0.1173717393494705,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.33,Polly,random,2,Prop0.01,9,True
RF,0.0184556081705223,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.27,Polly,random,2,Prop0.01,9,True
SVR,0.0923165798343049,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,3.01,Polly,random,2,Prop0.01,9,True
CART,0.0161466531936333,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,10,True
kNN,0.1800106443852312,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.15,Polly,random,2,Prop0.01,10,True
KRR,0.0820747753489721,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.09,Polly,random,2,Prop0.01,10,True
MR,0.1213698477282543,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.22,Polly,random,2,Prop0.01,10,True
RF,0.0213338135408092,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.26,Polly,random,2,Prop0.01,10,True
SVR,0.0961568506302315,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,3.07,Polly,random,2,Prop0.01,10,True
CART,0.0215677911082086,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,11,True
kNN,0.1707438437012019,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.14,Polly,random,2,Prop0.01,11,True
KRR,0.0820777551981933,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.03,Polly,random,2,Prop0.01,11,True
MR,0.1189676515877187,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.3,Polly,random,2,Prop0.01,11,True
RF,0.0169704756937118,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.25,Polly,random,2,Prop0.01,11,True
SVR,0.0923589843532702,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,2.99,Polly,random,2,Prop0.01,11,True
CART,0.0149907825282088,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,12,True
kNN,0.1724363578295614,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.16,Polly,random,2,Prop0.01,12,True
KRR,0.0764151508444084,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,0.99,Polly,random,2,Prop0.01,12,True
MR,0.1152160308089119,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.24,Polly,random,2,Prop0.01,12,True
RF,0.0137010259704897,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.28,Polly,random,2,Prop0.01,12,True
SVR,0.0876485432645339,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,3.04,Polly,random,2,Prop0.01,12,True
CART,0.0168303057027561,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,13,True
kNN,0.1771103080625202,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.23,Polly,random,2,Prop0.01,13,True
KRR,0.0841341825410015,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.16,Polly,random,2,Prop0.01,13,True
MR,0.124357122139529,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.47,Polly,random,2,Prop0.01,13,True
RF,0.0183126128232546,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.27,Polly,random,2,Prop0.01,13,True
SVR,0.0966419525616079,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,2.94,Polly,random,2,Prop0.01,13,True
CART,0.0161724577171844,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,14,True
kNN,0.162867600597056,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.15,Polly,random,2,Prop0.01,14,True
KRR,0.0769192739470729,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.1,Polly,random,2,Prop0.01,14,True
MR,0.1149452470024295,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.25,Polly,random,2,Prop0.01,14,True
RF,0.0152557116502142,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.28,Polly,random,2,Prop0.01,14,True
SVR,0.0864484964843029,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,3.13,Polly,random,2,Prop0.01,14,True
CART,0.0147749060287297,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""splitter"": ""random""}",600,59400,0.02,Polly,random,2,Prop0.01,15,True
kNN,0.1649804624230226,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",600,59400,2.16,Polly,random,2,Prop0.01,15,True
KRR,0.0704244033200752,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.1, ""regressor__alpha"": 0.0001}",600,59400,1.11,Polly,random,2,Prop0.01,15,True
MR,0.111596976323436,"{""lasso__regressor__alpha"": 0.001}",600,59400,1.43,Polly,random,2,Prop0.01,15,True
RF,0.0136756295967635,"{""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 20}",600,59400,0.25,Polly,random,2,Prop0.01,15,True
SVR,0.081460181965263,"{""regressor__tol"": 0.05, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 1.0, ""regressor__C"": 5.0}",600,59400,2.98,Polly,random,2,Prop0.01,15,True
