technique,mre,params,trained_count,test_count,learn_time,system,strategy,rq,size_type,seed,tuned
CART,0.0991153227694694,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",12,1140,0.0,x264,random,2,Prop0.01,1,True
kNN,0.3153468964081548,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",12,1140,0.0,x264,random,2,Prop0.01,1,True
KRR,0.1214032912659949,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",12,1140,0.02,x264,random,2,Prop0.01,1,True
MR,0.0942418937982391,"{""lasso__regressor__alpha"": 0.001}",12,1140,0.02,x264,random,2,Prop0.01,1,True
RF,0.1616397758517399,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",12,1140,0.02,x264,random,2,Prop0.01,1,True
SVR,0.2345536287829414,"{""regressor__tol"": 0.3, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 0.0, ""regressor__C"": 5.0}",12,1140,0.0,x264,random,2,Prop0.01,1,True
CART,0.0994179355565214,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",12,1140,0.0,x264,random,2,Prop0.01,2,True
kNN,0.2226842891272886,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",12,1140,0.0,x264,random,2,Prop0.01,2,True
KRR,0.1092222656019911,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",12,1140,0.01,x264,random,2,Prop0.01,2,True
MR,0.1242154272638221,"{""lasso__regressor__alpha"": 0.001}",12,1140,0.01,x264,random,2,Prop0.01,2,True
RF,0.1456511620730342,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",12,1140,0.02,x264,random,2,Prop0.01,2,True
SVR,0.2015422703145972,"{""regressor__tol"": 0.3, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 0.0, ""regressor__C"": 5.0}",12,1140,0.0,x264,random,2,Prop0.01,2,True
CART,0.1161392019894863,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",12,1140,0.0,x264,random,2,Prop0.01,3,True
kNN,0.2692856403335493,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",12,1140,0.0,x264,random,2,Prop0.01,3,True
KRR,0.1081197897053313,"{""regressor__kernel"": ""rbf"", ""regressor__gamma"": 0.01, ""regressor__alpha"": 0.0001}",12,1140,0.01,x264,random,2,Prop0.01,3,True
MR,0.1123781083840711,"{""lasso__regressor__alpha"": 0.001}",12,1140,0.01,x264,random,2,Prop0.01,3,True
RF,0.1548644185042447,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 10}",12,1140,0.02,x264,random,2,Prop0.01,3,True
SVR,0.2156843738190138,"{""regressor__tol"": 0.3, ""regressor__shrinking"": true, ""regressor__epsilon"": 0.1, ""regressor__coef0"": 0.0, ""regressor__C"": 5.0}",12,1140,0.0,x264,random,2,Prop0.01,3,True
CART,0.1207248273029065,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""splitter"": ""random""}",12,1140,0.0,x264,random,2,Prop0.01,4,True
kNN,0.2644826405099977,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}",12,1140,0.0,x264,random,2,Prop0.01,4,True
