system,strategy,technique,size_type,mre
7z,dbs,CART,T1,0.529365776039859
7z,dbs,CART,T2,0.6430670467506248
7z,dbs,CART,T3,0.3182731655275808
7z,dbs,KRR,T1,0.672779124530812
7z,dbs,KRR,T2,0.7613876828399547
7z,dbs,KRR,T3,0.7535063131407275
7z,dbs,MR,T1,0.8048845699007472
7z,dbs,MR,T2,0.8924916978351969
7z,dbs,MR,T3,0.7217791046909419
7z,dbs,RF,T1,0.7290968461123832
7z,dbs,RF,T2,0.5211206694439998
7z,dbs,RF,T3,0.3093665300498068
7z,dbs,SVR,T1,0.6714073693117907
7z,dbs,SVR,T2,0.8515559227973438
7z,dbs,SVR,T3,0.533650746309047
7z,dbs,kNN,T1,0.6844864034956337
7z,dbs,kNN,T2,0.6560284231118975
7z,dbs,kNN,T3,0.6745396819709433
7z,ddbs,CART,T1,0.5843152728925513
7z,ddbs,CART,T2,0.33941483359124996
7z,ddbs,CART,T3,0.2329773159902823
7z,ddbs,KRR,T1,0.6274056342695676
7z,ddbs,KRR,T2,0.6078754414338838
7z,ddbs,KRR,T3,0.5223874422741749
7z,ddbs,MR,T1,0.6404150392847895
7z,ddbs,MR,T2,0.33907664244939073
7z,ddbs,MR,T3,0.25302182842529564
7z,ddbs,RF,T1,0.6401209085261644
7z,ddbs,RF,T2,0.39658202328840525
7z,ddbs,RF,T3,0.2397195590074429
7z,ddbs,SVR,T1,0.5638764717306181
7z,ddbs,SVR,T2,0.4963983010784581
7z,ddbs,SVR,T3,0.6407726620789334
7z,ddbs,kNN,T1,0.5982943688501589
7z,ddbs,kNN,T2,0.4925064346727519
7z,ddbs,kNN,T3,0.47764211020255604
7z,random,CART,T1,1.4859005760824586
7z,random,CART,T2,0.10998632696526091
7z,random,CART,T3,0.0749187813074774
7z,random,KRR,T1,1.4085243302921668
7z,random,KRR,T2,0.6885512570434288
7z,random,KRR,T3,0.14632824463336014
7z,random,MR,T1,1.7838947705257073
7z,random,MR,T2,0.16388283118336378
7z,random,MR,T3,0.10919941839893883
7z,random,RF,T1,1.6826976739455901
7z,random,RF,T2,0.12733683172075655
7z,random,RF,T3,0.06807780785864996
7z,random,SVR,T1,1.112057474858841
7z,random,SVR,T2,0.5850461797685397
7z,random,SVR,T3,0.3520303703566689
7z,random,kNN,T1,1.609673193933712
7z,random,kNN,T2,0.8525391183760955
7z,random,kNN,T3,0.6035309833803908
7z,rsbs,CART,T1,1.2850550652353954
7z,rsbs,CART,T2,0.389131605598493
7z,rsbs,CART,T3,0.12121612066574959
7z,rsbs,KRR,T1,1.2311584495826964
7z,rsbs,KRR,T2,0.850072941201506
7z,rsbs,KRR,T3,0.25162810687074805
7z,rsbs,MR,T1,1.4466502336514393
7z,rsbs,MR,T2,0.4183295933887666
7z,rsbs,MR,T3,0.22768133796322604
7z,rsbs,RF,T1,1.4074981853471462
7z,rsbs,RF,T2,0.40796094654398046
7z,rsbs,RF,T3,0.1300623216754705
7z,rsbs,SVR,T1,1.1213530254689312
7z,rsbs,SVR,T2,0.9481599248295092
7z,rsbs,SVR,T3,0.41905617490929387
7z,rsbs,kNN,T1,1.3412840608169216
7z,rsbs,kNN,T2,1.0670052835217243
7z,rsbs,kNN,T3,0.8162270033571886
7z,sbs,CART,T1,0.5444718302328972
7z,sbs,CART,T2,0.2926663717145792
7z,sbs,CART,T3,0.1161244082689922
7z,sbs,KRR,T1,0.4892226211410214
7z,sbs,KRR,T2,0.5183770516660029
7z,sbs,KRR,T3,0.1722697468117261
7z,sbs,MR,T1,0.5444718302328972
7z,sbs,MR,T2,0.3286784237076615
7z,sbs,MR,T3,0.1507268378263362
7z,sbs,RF,T1,0.546666920040395
7z,sbs,RF,T2,0.2579602192189202
7z,sbs,RF,T3,0.1115483487332995
7z,sbs,SVR,T1,0.5628659311796457
7z,sbs,SVR,T2,0.5009670632818808
7z,sbs,SVR,T3,0.3548649761176453
7z,sbs,kNN,T1,0.5340177603479473
7z,sbs,kNN,T2,0.5787028244004732
7z,sbs,kNN,T3,0.5004974568775777
7z,twise,CART,T1,1.7424848053446995
7z,twise,CART,T2,0.1480866532352968
7z,twise,CART,T3,0.0785472842956997
7z,twise,KRR,T1,1.8834353163947144
7z,twise,KRR,T2,0.7786356969959533
7z,twise,KRR,T3,0.1547591924533831
7z,twise,MR,T1,1.7424848053446995
7z,twise,MR,T2,0.2914822676080517
7z,twise,MR,T3,0.1141920611238924
7z,twise,RF,T1,1.8751918358702384
7z,twise,RF,T2,0.2994041421093194
7z,twise,RF,T3,0.0722358601452725
7z,twise,SVR,T1,1.0992647472103274
7z,twise,SVR,T2,0.608096618713056
7z,twise,SVR,T3,0.3778084815021449
7z,twise,kNN,T1,1.2066343938280204
7z,twise,kNN,T2,0.7905240509667829
7z,twise,kNN,T3,0.5444820012043547
BerkeleyDBC,dbs,CART,T1,5.426671484495549
BerkeleyDBC,dbs,CART,T2,1.031397248476849
BerkeleyDBC,dbs,CART,T3,0.4996715097989746
BerkeleyDBC,dbs,KRR,T1,6.693655551278645
BerkeleyDBC,dbs,KRR,T2,3.4936665292875726
BerkeleyDBC,dbs,KRR,T3,4.122798243143234
BerkeleyDBC,dbs,MR,T1,7.358332979584348
BerkeleyDBC,dbs,MR,T2,1.4118348674437065
BerkeleyDBC,dbs,MR,T3,1.0225388731485336
BerkeleyDBC,dbs,RF,T1,8.138115673767683
BerkeleyDBC,dbs,RF,T2,3.434070506462003
BerkeleyDBC,dbs,RF,T3,0.7861011749014706
BerkeleyDBC,dbs,SVR,T1,8.41821663078884
BerkeleyDBC,dbs,SVR,T2,6.560849515068528
BerkeleyDBC,dbs,SVR,T3,4.30149447347913
BerkeleyDBC,dbs,kNN,T1,8.093027094852575
BerkeleyDBC,dbs,kNN,T2,6.701782214433353
BerkeleyDBC,dbs,kNN,T3,4.929439928235497
BerkeleyDBC,ddbs,CART,T1,5.117589472460039
BerkeleyDBC,ddbs,CART,T2,3.4918263327429013
BerkeleyDBC,ddbs,CART,T3,0.6160463003432425
BerkeleyDBC,ddbs,KRR,T1,7.942308921659418
BerkeleyDBC,ddbs,KRR,T2,6.0976749077445795
BerkeleyDBC,ddbs,KRR,T3,3.869424450912918
BerkeleyDBC,ddbs,MR,T1,7.679729491672501
BerkeleyDBC,ddbs,MR,T2,3.6366525297559433
BerkeleyDBC,ddbs,MR,T3,1.1619909342674517
BerkeleyDBC,ddbs,RF,T1,8.975404275090291
BerkeleyDBC,ddbs,RF,T2,5.233504559330363
BerkeleyDBC,ddbs,RF,T3,1.5863695693370332
BerkeleyDBC,ddbs,SVR,T1,8.85652920306419
BerkeleyDBC,ddbs,SVR,T2,5.903677795823899
BerkeleyDBC,ddbs,SVR,T3,4.295470325028905
BerkeleyDBC,ddbs,kNN,T1,8.802811198245884
BerkeleyDBC,ddbs,kNN,T2,6.999954637678751
BerkeleyDBC,ddbs,kNN,T3,5.635047103508117
BerkeleyDBC,random,CART,T1,3.7378804720549783
BerkeleyDBC,random,CART,T2,0.9590950160766897
BerkeleyDBC,random,CART,T3,0.09645915375721298
BerkeleyDBC,random,KRR,T1,5.241546974057066
BerkeleyDBC,random,KRR,T2,5.944933507206647
BerkeleyDBC,random,KRR,T3,2.387572307545981
BerkeleyDBC,random,MR,T1,4.617937572188596
BerkeleyDBC,random,MR,T2,1.2939682057878656
BerkeleyDBC,random,MR,T3,0.1711471798007288
BerkeleyDBC,random,RF,T1,5.656126084804883
BerkeleyDBC,random,RF,T2,2.10786128838327
BerkeleyDBC,random,RF,T3,0.2956022227244486
BerkeleyDBC,random,SVR,T1,4.020324626250159
BerkeleyDBC,random,SVR,T2,2.8435591284999386
BerkeleyDBC,random,SVR,T3,2.294072054785424
BerkeleyDBC,random,kNN,T1,5.279167578089255
BerkeleyDBC,random,kNN,T2,4.566396995302667
BerkeleyDBC,random,kNN,T3,3.453032329853629
BerkeleyDBC,rsbs,CART,T1,4.441568099300557
BerkeleyDBC,rsbs,CART,T2,1.2078894946906495
BerkeleyDBC,rsbs,CART,T3,0.2763888799389983
BerkeleyDBC,rsbs,KRR,T1,4.875300493792173
BerkeleyDBC,rsbs,KRR,T2,4.514431679593077
BerkeleyDBC,rsbs,KRR,T3,2.3116547785981703
BerkeleyDBC,rsbs,MR,T1,3.700435835105748
BerkeleyDBC,rsbs,MR,T2,1.6984557478873952
BerkeleyDBC,rsbs,MR,T3,0.7666866757115366
BerkeleyDBC,rsbs,RF,T1,5.010582828808502
BerkeleyDBC,rsbs,RF,T2,1.9554238568892361
BerkeleyDBC,rsbs,RF,T3,0.6070043592469846
BerkeleyDBC,rsbs,SVR,T1,4.374736958319168
BerkeleyDBC,rsbs,SVR,T2,2.738416024486055
BerkeleyDBC,rsbs,SVR,T3,2.260766210964215
BerkeleyDBC,rsbs,kNN,T1,4.822108865406338
