,mean_ranks,std_rank
random_RF,4.6,3.3065591380365986
twise_RF,4.7,5.457919831665623
random_CART,5.7,6.9610024820822725
twise_CART,6.5,7.6194196337749736
random_MR,9.4,3.6575644598253874
twise_MR,10.1,6.5903970543005475
rsbs_RF,11.0,5.185449728701348
rsbs_CART,11.5,6.467869303977419
ddbs_RF,12.2,5.959119994689744
sbs_RF,12.6,7.691264886581111
ddbs_CART,13.1,9.631545393480044
twise_KRR,14.2,9.247221805013174
sbs_CART,14.3,10.22035007010795
sbs_MR,15.7,6.634087059355727
ddbs_MR,16.0,7.874007874011811
rsbs_MR,16.1,7.837941906733765
random_KRR,17.0,9.345230512584124
rsbs_KRR,17.8,9.342852288722588
sbs_KRR,18.1,7.1094616142465
twise_SVR,19.0,7.916228058025278
random_SVR,19.8,6.811754546370561
dbs_RF,21.4,7.848566748139433
rsbs_SVR,21.8,6.579429222120175
dbs_CART,22.4,10.319345371140985
ddbs_KRR,22.8,7.6274358586472415
ddbs_SVR,23.3,8.014570065407959
sbs_SVR,24.0,3.2317865716108862
dbs_MR,25.1,10.979273402390728
sbs_kNN,27.1,3.573047252229764
twise_kNN,27.5,6.328945848682508
random_kNN,29.1,5.546770832355224
ddbs_kNN,29.6,4.477102237434884
rsbs_kNN,29.6,4.623610902506587
dbs_KRR,29.8,5.846176338238334
dbs_SVR,30.2,5.308274463305168
dbs_kNN,32.9,3.5418137224371984
