system,strategy,technique,size_type,var
7z,dbs,CART,T1,0.008107373002712592
7z,dbs,CART,T2,0.00010421535072965165
7z,dbs,CART,T3,7.477942878553719e-06
7z,dbs,KRR,T1,0.0121425229879984
7z,dbs,KRR,T2,0.0005665126641037334
7z,dbs,KRR,T3,0.00014012435638712634
7z,dbs,MR,T1,0.06194127890456849
7z,dbs,MR,T2,0.0001790697954623407
7z,dbs,MR,T3,0.001142710054560885
7z,dbs,RF,T1,0.0368555792057398
7z,dbs,RF,T2,0.0007189392797462692
7z,dbs,RF,T3,3.082962740944167e-05
7z,dbs,SVR,T1,0.011167742372887658
7z,dbs,SVR,T2,9.567672776479574e-05
7z,dbs,SVR,T3,0.0006947859124182554
7z,dbs,kNN,T1,0.03432015849349679
7z,dbs,kNN,T2,0.0014470164356818263
7z,dbs,kNN,T3,0.0013982877478589052
7z,ddbs,CART,T1,0.02525402006384897
7z,ddbs,CART,T2,0.00236948096814761
7z,ddbs,CART,T3,0.0005002083535713334
7z,ddbs,KRR,T1,0.04608042139355725
7z,ddbs,KRR,T2,0.0058169156551324906
7z,ddbs,KRR,T3,0.00044902840544030207
7z,ddbs,MR,T1,0.029909205384090903
7z,ddbs,MR,T2,0.0015016366682045936
7z,ddbs,MR,T3,1.5068035928938749e-05
7z,ddbs,RF,T1,0.033671789433908215
7z,ddbs,RF,T2,0.008227544590082136
7z,ddbs,RF,T3,8.388971908700223e-05
7z,ddbs,SVR,T1,0.006634157266627094
7z,ddbs,SVR,T2,0.0021952571300519167
7z,ddbs,SVR,T3,0.0010534105148014535
7z,ddbs,kNN,T1,0.014424910176642344
7z,ddbs,kNN,T2,0.0002090664713452651
7z,ddbs,kNN,T3,8.006368346552343e-05
7z,random,CART,T1,0.4104943928625399
7z,random,CART,T2,0.0009080330260237642
7z,random,CART,T3,7.920243686562149e-06
7z,random,KRR,T1,0.2974715217221455
7z,random,KRR,T2,0.0059266048821932085
7z,random,KRR,T3,4.893917827155847e-05
7z,random,MR,T1,0.44391979088398237
7z,random,MR,T2,0.0009010310874951514
7z,random,MR,T3,2.1330804734147803e-05
7z,random,RF,T1,0.43941575688902085
7z,random,RF,T2,0.0007936760454393701
7z,random,RF,T3,2.1560285749085003e-06
7z,random,SVR,T1,0.17116161597869556
7z,random,SVR,T2,0.003646400587151726
7z,random,SVR,T3,0.0002535186623881627
7z,random,kNN,T1,0.36266178852205555
7z,random,kNN,T2,0.012398288956593744
7z,random,kNN,T3,0.001764115392068091
7z,rsbs,CART,T1,0.23710805920640082
7z,rsbs,CART,T2,0.051787923552920154
7z,rsbs,CART,T3,0.000944423045330959
7z,rsbs,KRR,T1,0.15400985185658633
7z,rsbs,KRR,T2,0.01316248467119243
7z,rsbs,KRR,T3,0.0019527122798159882
7z,rsbs,MR,T1,0.1595645409846579
7z,rsbs,MR,T2,0.011406484766420656
7z,rsbs,MR,T3,0.0009762623909433714
7z,rsbs,RF,T1,0.1699261226930372
7z,rsbs,RF,T2,0.030818375903517214
7z,rsbs,RF,T3,0.0005094806128138808
7z,rsbs,SVR,T1,0.22044274745572603
7z,rsbs,SVR,T2,0.016329225598921547
7z,rsbs,SVR,T3,0.0016398181585838831
7z,rsbs,kNN,T1,0.14009294716429635
7z,rsbs,kNN,T2,0.00946422721522443
7z,rsbs,kNN,T3,0.0020951596599673174
7z,sbs,CART,T1,0.0
7z,sbs,CART,T2,0.0
7z,sbs,CART,T3,0.0
7z,sbs,KRR,T1,0.0
7z,sbs,KRR,T2,0.0
7z,sbs,KRR,T3,0.0
7z,sbs,MR,T1,0.0
7z,sbs,MR,T2,0.0
7z,sbs,MR,T3,0.0
7z,sbs,RF,T1,0.0
7z,sbs,RF,T2,0.0
7z,sbs,RF,T3,0.0
7z,sbs,SVR,T1,0.0
7z,sbs,SVR,T2,0.0
7z,sbs,SVR,T3,0.0
7z,sbs,kNN,T1,0.0
7z,sbs,kNN,T2,0.0
7z,sbs,kNN,T3,0.0
7z,twise,CART,T1,0.0
7z,twise,CART,T2,0.0
7z,twise,CART,T3,0.0
7z,twise,KRR,T1,0.0
7z,twise,KRR,T2,0.0
7z,twise,KRR,T3,0.0
7z,twise,MR,T1,0.0
7z,twise,MR,T2,0.0
7z,twise,MR,T3,0.0
7z,twise,RF,T1,0.0
7z,twise,RF,T2,0.0
7z,twise,RF,T3,0.0
7z,twise,SVR,T1,0.0
7z,twise,SVR,T2,0.0
7z,twise,SVR,T3,0.0
7z,twise,kNN,T1,0.0
7z,twise,kNN,T2,0.0
7z,twise,kNN,T3,0.0
BerkeleyDBC,dbs,CART,T1,9.783248597539567
BerkeleyDBC,dbs,CART,T2,2.951154003624156
BerkeleyDBC,dbs,CART,T3,0.07987952476898534
BerkeleyDBC,dbs,KRR,T1,8.078041416904929
BerkeleyDBC,dbs,KRR,T2,1.2369466704015497
BerkeleyDBC,dbs,KRR,T3,0.3125259618758358
BerkeleyDBC,dbs,MR,T1,7.409635439793154
BerkeleyDBC,dbs,MR,T2,0.8666166576648295
BerkeleyDBC,dbs,MR,T3,0.1516371752273791
BerkeleyDBC,dbs,RF,T1,11.268657390979996
BerkeleyDBC,dbs,RF,T2,2.2644220190574456
BerkeleyDBC,dbs,RF,T3,0.13675631938025884
BerkeleyDBC,dbs,SVR,T1,16.625624486059824
BerkeleyDBC,dbs,SVR,T2,1.2257058393286084
BerkeleyDBC,dbs,SVR,T3,0.27345412009604547
BerkeleyDBC,dbs,kNN,T1,12.37309068759623
BerkeleyDBC,dbs,kNN,T2,1.8399899874922443
BerkeleyDBC,dbs,kNN,T3,0.23772587422815114
BerkeleyDBC,ddbs,CART,T1,20.36826840870415
BerkeleyDBC,ddbs,CART,T2,8.643738720858357
BerkeleyDBC,ddbs,CART,T3,1.0159223135441964
BerkeleyDBC,ddbs,KRR,T1,13.774725334068828
BerkeleyDBC,ddbs,KRR,T2,3.1479419503343666
BerkeleyDBC,ddbs,KRR,T3,0.40858428996634116
BerkeleyDBC,ddbs,MR,T1,19.643707994125624
BerkeleyDBC,ddbs,MR,T2,2.5025686226606276
BerkeleyDBC,ddbs,MR,T3,0.8250790116418804
BerkeleyDBC,ddbs,RF,T1,13.124303432686437
BerkeleyDBC,ddbs,RF,T2,2.9509110564737395
BerkeleyDBC,ddbs,RF,T3,0.7993543069669298
BerkeleyDBC,ddbs,SVR,T1,23.976799610801113
BerkeleyDBC,ddbs,SVR,T2,3.689699114468142
BerkeleyDBC,ddbs,SVR,T3,0.475553941313817
BerkeleyDBC,ddbs,kNN,T1,16.11881125435007
BerkeleyDBC,ddbs,kNN,T2,3.600212365769943
BerkeleyDBC,ddbs,kNN,T3,0.4154306957853227
BerkeleyDBC,random,CART,T1,15.278250246411751
BerkeleyDBC,random,CART,T2,2.0495987438981764
BerkeleyDBC,random,CART,T3,0.0350793839846871
BerkeleyDBC,random,KRR,T1,10.08600730747139
BerkeleyDBC,random,KRR,T2,3.6717497370040597
BerkeleyDBC,random,KRR,T3,0.16183012827710114
BerkeleyDBC,random,MR,T1,12.977996947563215
BerkeleyDBC,random,MR,T2,0.9611687227256999
BerkeleyDBC,random,MR,T3,0.03686572020875252
BerkeleyDBC,random,RF,T1,14.73276764558247
BerkeleyDBC,random,RF,T2,1.9292271117601711
BerkeleyDBC,random,RF,T3,0.07636930582608845
BerkeleyDBC,random,SVR,T1,12.877456355750494
BerkeleyDBC,random,SVR,T2,0.970274294344733
BerkeleyDBC,random,SVR,T3,0.24631392875236338
BerkeleyDBC,random,kNN,T1,12.335292533458201
BerkeleyDBC,random,kNN,T2,3.165050820949604
BerkeleyDBC,random,kNN,T3,0.8763957268015969
BerkeleyDBC,rsbs,CART,T1,21.32562533948283
BerkeleyDBC,rsbs,CART,T2,1.8428692455123055
BerkeleyDBC,rsbs,CART,T3,0.1967936994426388
BerkeleyDBC,rsbs,KRR,T1,13.868957525441099
BerkeleyDBC,rsbs,KRR,T2,3.0392667397018545
BerkeleyDBC,rsbs,KRR,T3,0.3426186938254768
BerkeleyDBC,rsbs,MR,T1,13.51126044811559
BerkeleyDBC,rsbs,MR,T2,1.2341840005031042
BerkeleyDBC,rsbs,MR,T3,0.5509740206812702
BerkeleyDBC,rsbs,RF,T1,16.813641265332624
BerkeleyDBC,rsbs,RF,T2,1.4287727182317531
BerkeleyDBC,rsbs,RF,T3,0.2574170028110365
BerkeleyDBC,rsbs,SVR,T1,17.410198147327936
BerkeleyDBC,rsbs,SVR,T2,0.6949061911186305
BerkeleyDBC,rsbs,SVR,T3,0.6045521910804937
BerkeleyDBC,rsbs,kNN,T1,13.006567686384773
BerkeleyDBC,rsbs,kNN,T2,1.5347056912530115
BerkeleyDBC,rsbs,kNN,T3,0.5280668493876808
BerkeleyDBC,sbs,CART,T1,0.0
BerkeleyDBC,sbs,CART,T2,0.0
BerkeleyDBC,sbs,CART,T3,0.0
BerkeleyDBC,sbs,KRR,T1,0.0
BerkeleyDBC,sbs,KRR,T2,0.0
BerkeleyDBC,sbs,KRR,T3,0.0
BerkeleyDBC,sbs,MR,T1,0.0
BerkeleyDBC,sbs,MR,T2,0.0
BerkeleyDBC,sbs,MR,T3,0.0
BerkeleyDBC,sbs,RF,T1,0.0
BerkeleyDBC,sbs,RF,T2,0.0
BerkeleyDBC,sbs,RF,T3,0.0
BerkeleyDBC,sbs,SVR,T1,0.0
BerkeleyDBC,sbs,SVR,T2,0.0
BerkeleyDBC,sbs,SVR,T3,0.0
BerkeleyDBC,sbs,kNN,T1,0.0
BerkeleyDBC,sbs,kNN,T2,0.0
BerkeleyDBC,sbs,kNN,T3,0.0
BerkeleyDBC,twise,CART,T1,0.0
BerkeleyDBC,twise,CART,T2,0.0
BerkeleyDBC,twise,CART,T3,0.0
BerkeleyDBC,twise,KRR,T1,0.0
BerkeleyDBC,twise,KRR,T2,0.0
BerkeleyDBC,twise,KRR,T3,0.0
BerkeleyDBC,twise,MR,T1,0.0
BerkeleyDBC,twise,MR,T2,0.0
BerkeleyDBC,twise,MR,T3,0.0
BerkeleyDBC,twise,RF,T1,0.0
BerkeleyDBC,twise,RF,T2,0.0
BerkeleyDBC,twise,RF,T3,0.0
BerkeleyDBC,twise,SVR,T1,0.0
BerkeleyDBC,twise,SVR,T2,0.0
BerkeleyDBC,twise,SVR,T3,0.0
BerkeleyDBC,twise,kNN,T1,0.0
BerkeleyDBC,twise,kNN,T2,0.0
BerkeleyDBC,twise,kNN,T3,0.0
Dune,dbs,CART,T1,0.0
Dune,dbs,CART,T2,0.0
Dune,dbs,CART,T3,0.0
Dune,dbs,KRR,T1,0.0
Dune,dbs,KRR,T2,0.0
Dune,dbs,KRR,T3,0.0
Dune,dbs,MR,T1,0.0
Dune,dbs,MR,T2,0.0
Dune,dbs,MR,T3,0.0
Dune,dbs,RF,T1,0.0
Dune,dbs,RF,T2,0.0
Dune,dbs,RF,T3,0.0
Dune,dbs,SVR,T1,0.0
Dune,dbs,SVR,T2,0.0
Dune,dbs,SVR,T3,0.0
Dune,dbs,kNN,T1,0.0
Dune,dbs,kNN,T2,0.0
Dune,dbs,kNN,T3,0.0
Dune,ddbs,CART,T1,0.0013995942986063687
Dune,ddbs,CART,T2,0.00030577091905875095
Dune,ddbs,CART,T3,0.0004255240379726434
Dune,ddbs,KRR,T1,0.0007738883728853736
Dune,ddbs,KRR,T2,9.340725304976052e-05
Dune,ddbs,KRR,T3,8.023068177146226e-06
Dune,ddbs,MR,T1,0.000494747073377614
Dune,ddbs,MR,T2,0.00014727336811741213
Dune,ddbs,MR,T3,1.4171308210894857e-06
Dune,ddbs,RF,T1,0.0004198515614270881
Dune,ddbs,RF,T2,4.235755005851844e-05
Dune,ddbs,RF,T3,0.00021636931172460587
Dune,ddbs,SVR,T1,0.00021588843556439726
Dune,ddbs,SVR,T2,1.492724255281016e-05
Dune,ddbs,SVR,T3,9.389542254594337e-06
Dune,ddbs,kNN,T1,0.0005213945411437839
Dune,ddbs,kNN,T2,1.6164055502180136e-05
Dune,ddbs,kNN,T3,2.7401307957050476e-06
Dune,random,CART,T1,0.010054419045322527
Dune,random,CART,T2,0.0014706148307818835
Dune,random,CART,T3,7.039675355288374e-05
Dune,random,KRR,T1,0.011323134204487197
Dune,random,KRR,T2,0.002122181282502246
Dune,random,KRR,T3,5.4841149766178414e-05
Dune,random,MR,T1,0.009192813702082647
Dune,random,MR,T2,0.000536563996230371
Dune,random,MR,T3,6.012411942604263e-05
Dune,random,RF,T1,0.009781040158415114
Dune,random,RF,T2,0.0003769438879630958
Dune,random,RF,T3,4.265430211091627e-05
Dune,random,SVR,T1,0.000555352012181637
Dune,random,SVR,T2,0.0001327649492129769
Dune,random,SVR,T3,6.9165321649071934e-06
Dune,random,kNN,T1,0.008316792092272818
Dune,random,kNN,T2,0.0004898512704812896
Dune,random,kNN,T3,5.5999420849659216e-05
Dune,rsbs,CART,T1,0.0005681109703040238
Dune,rsbs,CART,T2,0.00022779843306445542
Dune,rsbs,CART,T3,0.00013694138151489806
Dune,rsbs,KRR,T1,0.00013057696491524398
Dune,rsbs,KRR,T2,0.00015769047000320366
Dune,rsbs,KRR,T3,6.903132873585525e-05
Dune,rsbs,MR,T1,8.811372986152866e-05
Dune,rsbs,MR,T2,0.00042335634604032503
Dune,rsbs,MR,T3,0.00011029144987616934
Dune,rsbs,RF,T1,0.00019452449421820887
