system,random_CART,random_kNN,random_KRR,random_MR,random_RF,random_SVR,dbs_CART,dbs_kNN,dbs_KRR,dbs_MR,dbs_RF,dbs_SVR,ddbs_CART,ddbs_kNN,ddbs_KRR,ddbs_MR,ddbs_RF,ddbs_SVR,rsbs_CART,rsbs_kNN,rsbs_KRR,rsbs_MR,rsbs_RF,rsbs_SVR
7z,0.0009080330260237642,0.012398288956593744,0.0059266048821932085,0.0009010310874951514,0.0007936760454393701,0.003646400587151726,0.00010421535072965165,0.0014470164356818263,0.0005665126641037334,0.0001790697954623407,0.0007189392797462692,9.567672776479574e-05,0.00236948096814761,0.0002090664713452651,0.0058169156551324906,0.0015016366682045936,0.008227544590082136,0.0021952571300519167,0.051787923552920154,0.00946422721522443,0.01316248467119243,0.011406484766420656,0.030818375903517214,0.016329225598921547
BerkeleyDBC,2.0495987438981764,3.165050820949604,3.6717497370040597,0.9611687227256999,1.9292271117601711,0.970274294344733,2.951154003624156,1.8399899874922443,1.2369466704015497,0.8666166576648295,2.2644220190574456,1.2257058393286084,8.643738720858357,3.600212365769943,3.1479419503343666,2.5025686226606276,2.9509110564737395,3.689699114468142,1.8428692455123055,1.5347056912530115,3.0392667397018545,1.2341840005031042,1.4287727182317531,0.6949061911186305
Dune,0.0014706148307818835,0.0004898512704812896,0.002122181282502246,0.000536563996230371,0.0003769438879630958,0.0001327649492129769,0.0,0.0,0.0,0.0,0.0,0.0,0.00030577091905875095,1.6164055502180136e-05,9.340725304976052e-05,0.00014727336811741213,4.235755005851844e-05,1.492724255281016e-05,0.00022779843306445542,2.3387661874419274e-05,0.00015769047000320366,0.00042335634604032503,6.790363600636855e-05,6.941111704750254e-05
Hippacc,0.00011251698453213588,6.461052803887206e-05,1.9184963235433555e-05,2.1096812909942434e-05,3.9949489307992676e-05,1.528194913591187e-05,0.001513435371483915,0.0038332400493251624,0.0019342712602074329,0.0004165359375925575,0.0003779923516192937,0.0014236147159930965,0.00029930338223885933,0.00016854421158447262,9.148684206649604e-06,1.8026520880124565e-05,3.804770870670163e-05,7.158011425745242e-06,0.0002358476211402593,0.00010429384353104795,0.00013613677958429862,0.00014661267583109146,8.529047821241058e-05,8.412825345847345e-05
Irzip,0.022373617584840213,0.4543159903174989,0.5775454995759752,0.21320089667871364,0.05673147198369115,0.16621527915987377,0.00785286259602722,0.03109591251578592,0.2011281163470584,0.012005736674152322,0.0025571974987244296,0.01945253688847311,0.043662008663114524,0.16382966148907208,0.14361435494724245,0.06669371467121242,0.2658409802172552,0.18480128415495894,0.044786532517827125,1.1054841691364998,1.2329248247057538,0.5560184077959871,0.015833819171419367,0.25212537929903045
JavaGC,0.02551322383029716,0.033285019322077086,0.013913845487124394,0.01819960412579496,0.018505743853951248,0.012821581800533804,0.04377106690181937,0.00860698255126185,0.01931167885105157,0.013943749143831221,0.0156462061773563,0.026934718130937722,0.04289783299206477,0.02347657756569851,0.018956350700556932,0.029156323565720604,0.030593812062094043,0.05047756487380034,0.04521987117689909,0.027142340684732626,0.021545264833425847,0.027031358813453036,0.026073110456853628,0.02141503941486409
LLVM,8.114825519110022e-05,4.443177282191684e-05,0.00029429417647557847,0.00017171481512194252,4.8594838939328186e-05,3.8606128075924604e-05,6.989645728771514e-05,0.0002732460663937137,0.00034364012877881485,0.0002538267945636868,0.0002657280819682385,0.0001690422842374026,0.0001428062390128677,0.00012311528072964767,0.0007004375301080109,0.00031717181115158437,0.00011645786282948798,5.589552956719209e-05,5.7463787653361705e-05,3.195659102308282e-05,0.0002486217197729371,0.00013070492673435144,3.874438046220553e-05,2.6131682451057533e-05
Polly,0.01184076479028732,0.0001650606669887848,0.00022064278817019437,0.0011585390093639336,0.0004915587021998639,0.0001171117749447997,0.004028048139779073,8.599779502857316e-05,5.98518787131463e-05,6.403106089063491e-05,0.00012423719595156479,3.4942818211636355e-05,0.006990217867882378,0.000151967732090042,0.00017865582868981,0.00076009435265227,0.00046810760223637345,6.654576474310083e-05,0.009098906338594462,0.00017425629561641922,0.00019529933761290865,0.0010729666857940236,0.000408043525636651,9.802015140575681e-05
VP9,0.3584111661528057,0.979876107525025,0.3783171730968403,0.1705247163333507,0.16348519285440088,0.6216313811039618,8.82601418155447,1.480238786496406,0.6058379065809408,3.503072012792084,3.900590957873721,1.03275299315444,0.1728854766700573,0.4155884511325972,0.2817993304343325,0.15330286852279384,0.25976408472215884,0.21079121007113302,0.2347957867280687,0.33867520807077733,0.17293196717146903,0.13604205294424151,0.13328595481590386,0.09329014232124055
x264,0.0018544004279125456,0.0023711721832957934,0.001761551507516116,0.0021255441939820696,0.0022968221852620236,0.001424292246903993,0.003989138011535285,0.0005524532008868067,0.003178103562428965,0.003061177560644463,0.001767816515384394,0.0009560782537569862,0.002472888608202484,0.0002179880012158648,0.00135070702237849,0.0020006889948801527,0.0005491407771100684,0.0003869748899478199,0.004432851695535269,0.0036985809835966494,0.0026516773667775734,0.0036278933893812084,0.0033074432031226903,0.0022666880106865703
