system,technique,size_type,mre,proportion
7z,CART,Prop0.01,0.07733096303910855,0.01
7z,CART,Prop0.02,0.06824822551863251,0.02
7z,CART,Prop0.05,0.055810550847216644,0.05
7z,CART,Prop0.1,0.0501273750597596,0.1
7z,CART,Prop0.15,0.047308101519841265,0.15
7z,CART,Prop0.2,0.04533224902069647,0.2
7z,KRR,Prop0.01,0.17798858246017346,0.01
7z,KRR,Prop0.02,0.10927435508527703,0.02
7z,KRR,Prop0.05,0.08025275824029574,0.05
7z,KRR,Prop0.1,0.06971732705190394,0.1
7z,KRR,Prop0.15,0.06311295745150958,0.15
7z,KRR,Prop0.2,0.059686851778527845,0.2
7z,MR,Prop0.01,0.11043076106444621,0.01
7z,MR,Prop0.02,0.10737558581942812,0.02
7z,MR,Prop0.05,0.10559733665595251,0.05
7z,MR,Prop0.1,0.10506347739826483,0.1
7z,MR,Prop0.15,0.10506819115444486,0.15
7z,MR,Prop0.2,0.10501462101282483,0.2
7z,RF,Prop0.01,0.07005595719602657,0.01
7z,RF,Prop0.02,0.06280174027675436,0.02
7z,RF,Prop0.05,0.05103317995126022,0.05
7z,RF,Prop0.1,0.0448505503161187,0.1
7z,RF,Prop0.15,0.042320534365754975,0.15
7z,RF,Prop0.2,0.04075630559787512,0.2
7z,SVR,Prop0.01,0.3960861340515255,0.01
7z,SVR,Prop0.02,0.2854457703678859,0.02
7z,SVR,Prop0.05,0.22598911680115763,0.05
7z,SVR,Prop0.1,0.2046504606875724,0.1
7z,SVR,Prop0.15,0.19665442317702245,0.15
7z,SVR,Prop0.2,0.19198437282662423,0.2
7z,kNN,Prop0.01,0.6455345775086674,0.01
7z,kNN,Prop0.02,0.5326983831403287,0.02
7z,kNN,Prop0.05,0.39437294226765224,0.05
7z,kNN,Prop0.1,0.3405089041475666,0.1
7z,kNN,Prop0.15,0.3147766884976609,0.15
7z,kNN,Prop0.2,0.2895410197669647,0.2
BerkeleyDBC,CART,Prop0.01,0.6639854980166099,0.01
BerkeleyDBC,CART,Prop0.02,0.14649231556076323,0.02
BerkeleyDBC,CART,Prop0.05,0.021778160019876723,0.05
BerkeleyDBC,CART,Prop0.1,0.009811566048359373,0.1
BerkeleyDBC,CART,Prop0.15,0.006372937270306398,0.15
BerkeleyDBC,CART,Prop0.2,0.0057060603581366035,0.2
BerkeleyDBC,KRR,Prop0.01,3.480988423798687,0.01
BerkeleyDBC,KRR,Prop0.02,2.5233065113197006,0.02
BerkeleyDBC,KRR,Prop0.05,0.9566171442751507,0.05
BerkeleyDBC,KRR,Prop0.1,0.19000065883064757,0.1
BerkeleyDBC,KRR,Prop0.15,0.07475828224810917,0.15
BerkeleyDBC,KRR,Prop0.2,0.03612064055731501,0.2
BerkeleyDBC,MR,Prop0.01,0.9992116061326187,0.01
BerkeleyDBC,MR,Prop0.02,0.43212450429109445,0.02
BerkeleyDBC,MR,Prop0.05,0.12396259851842696,0.05
BerkeleyDBC,MR,Prop0.1,0.12502525126088668,0.1
BerkeleyDBC,MR,Prop0.15,0.12436631680747035,0.15
