system,technique,label,num_pairs,median_diff_pairs,stats,p,capped,p_holm,p_bh,sig_holm,sig_bh
7z,CART,Prop0.01->Prop0.02,100,-0.009120664501824104,2.0,2.0696869543572095e-18,False,5.611046176938109e-16,4.110826502447423e-18,True,True
BerkeleyDBC,CART,Prop0.01->Prop0.02,100,-0.15236798328802542,106.0,4.4991925687278926e-17,False,5.174071454037077e-15,7.44693942410134e-17,True,True
Dune,CART,Prop0.01->Prop0.02,100,-0.012352356290022265,1265.0,7.378342954799013e-06,False,0.00030251206114675954,8.568398270089176e-06,True,True
Hippacc,CART,Prop0.01->Prop0.02,100,-0.036022050382617514,5.0,2.265930530554773e-18,False,5.611046176938109e-16,4.2652809986913375e-18,True,True
Irzip,CART,Prop0.01->Prop0.02,100,0.07999366668193084,2477.0,0.43445640951373954,False,1.0,0.4484711324012795,False,False
JavaGC,CART,Prop0.01->Prop0.02,100,-0.0030212759146479515,0.0,1.9482799225479546e-18,False,5.611046176938109e-16,4.044240690256145e-18,True,True
LLVM,CART,Prop0.01->Prop0.02,100,-0.013502537296519748,403.0,1.4808653175618182e-13,False,1.1106489881713637e-11,1.9929402404570262e-13,True,True
Polly,CART,Prop0.01->Prop0.02,100,-0.0014078427116679497,356.0,4.401404908283096e-14,False,3.345067730295153e-12,5.951195368946158e-14,True,True
VP9,CART,Prop0.01->Prop0.02,100,-0.0068131796181321,0.0,1.9482799225479546e-18,False,5.611046176938109e-16,4.044240690256145e-18,True,True
x264,CART,Prop0.01->Prop0.02,100,-0.028715820748804695,147.0,1.4630208149260054e-16,False,1.4776510230752655e-14,2.241223376056859e-16,True,True
7z,CART,Prop0.02->Prop0.05,100,-0.0122287893793732,0.0,1.9482799225479546e-18,False,5.611046176938109e-16,4.044240690256145e-18,True,True
BerkeleyDBC,CART,Prop0.02->Prop0.05,100,-0.06802080879634989,2.0,2.0696869543572095e-18,False,5.611046176938109e-16,4.110826502447423e-18,True,True
Dune,CART,Prop0.02->Prop0.05,100,-0.04590470929739984,0.0,1.9482799225479546e-18,False,5.611046176938109e-16,4.044240690256145e-18,True,True
Hippacc,CART,Prop0.02->Prop0.05,100,-0.0552128508814912,0.0,1.9482799225479546e-18,False,5.611046176938109e-16,4.044240690256145e-18,True,True
Irzip,CART,Prop0.02->Prop0.05,100,0.42669042638966914,3170.0,0.9867130189098849,False,1.0,0.9936131099512128,False,False
JavaGC,CART,Prop0.02->Prop0.05,100,-0.0018185425428428985,0.0,1.9482799225479546e-18,False,5.611046176938109e-16,4.044240690256145e-18,True,True
LLVM,CART,Prop0.02->Prop0.05,100,-0.02067212954081555,5.0,2.265930530554773e-18,False,5.611046176938109e-16,4.2652809986913375e-18,True,True
Polly,CART,Prop0.02->Prop0.05,100,-0.0012305151027290004,0.0,1.9482799225479546e-18,False,5.611046176938109e-16,4.044240690256145e-18,True,True
VP9,CART,Prop0.02->Prop0.05,100,-0.006244256138894951,0.0,1.9482799225479546e-18,False,5.611046176938109e-16,4.044240690256145e-18,True,True
x264,CART,Prop0.02->Prop0.05,100,-0.04588582956102305,0.0,1.9482799225479546e-18,False,5.611046176938109e-16,4.044240690256145e-18,True,True
