system,technique,num_rows,rho,p,sig
7z,CART,6,-1.0,0.0,True
BerkeleyDBC,CART,6,-1.0,0.0,True
Dune,CART,6,-1.0,0.0,True
Hippacc,CART,6,-1.0,0.0,True
Irzip,CART,6,-1.0,0.0,True
JavaGC,CART,6,-1.0,0.0,True
LLVM,CART,6,-1.0,0.0,True
Polly,CART,6,-1.0,0.0,True
VP9,CART,6,-1.0,0.0,True
x264,CART,6,-1.0,0.0,True
7z,KRR,6,-1.0,0.0,True
BerkeleyDBC,KRR,6,-1.0,0.0,True
Dune,KRR,6,-0.942857142857143,0.004804664723032055,True
Hippacc,KRR,6,-1.0,0.0,True
Irzip,KRR,6,-1.0,0.0,True
JavaGC,KRR,4,-1.0,0.0,True
LLVM,KRR,6,-0.942857142857143,0.004804664723032055,True
Polly,KRR,6,-1.0,0.0,True
VP9,KRR,4,-1.0,0.0,True
x264,KRR,6,-1.0,0.0,True
7z,MR,6,-1.0,0.0,True
BerkeleyDBC,MR,6,-1.0,0.0,True
Dune,MR,6,-1.0,0.0,True
Hippacc,MR,6,-1.0,0.0,True
Irzip,MR,6,-1.0,0.0,True
JavaGC,MR,6,-1.0,0.0,True
LLVM,MR,6,-1.0,0.0,True
Polly,MR,6,-1.0,0.0,True
VP9,MR,6,-1.0,0.0,True
x264,MR,6,-1.0,0.0,True
7z,RF,6,-1.0,0.0,True
BerkeleyDBC,RF,6,-1.0,0.0,True
Dune,RF,6,-1.0,0.0,True
Hippacc,RF,6,-1.0,0.0,True
Irzip,RF,6,-1.0,0.0,True
JavaGC,RF,6,-1.0,0.0,True
LLVM,RF,6,-1.0,0.0,True
Polly,RF,6,-1.0,0.0,True
VP9,RF,6,-1.0,0.0,True
x264,RF,6,-1.0,0.0,True
7z,SVR,6,-1.0,0.0,True
BerkeleyDBC,SVR,6,-1.0,0.0,True
Dune,SVR,6,-0.942857142857143,0.004804664723032055,True
Hippacc,SVR,6,-1.0,0.0,True
Irzip,SVR,6,-1.0,0.0,True
JavaGC,SVR,4,-1.0,0.0,True
LLVM,SVR,6,-1.0,0.0,True
Polly,SVR,6,-1.0,0.0,True
VP9,SVR,4,-1.0,0.0,True
x264,SVR,6,-1.0,0.0,True
7z,kNN,6,-1.0,0.0,True
BerkeleyDBC,kNN,6,-1.0,0.0,True
Dune,kNN,6,-1.0,0.0,True
Hippacc,kNN,6,-1.0,0.0,True
Irzip,kNN,6,-1.0,0.0,True
JavaGC,kNN,4,-1.0,0.0,True
LLVM,kNN,6,-1.0,0.0,True
Polly,kNN,6,-0.942857142857143,0.004804664723032055,True
VP9,kNN,4,-1.0,0.0,True
x264,kNN,6,-0.942857142857143,0.004804664723032055,True
