technique,label,num_systems,num_sig_holm,num_sig_bh,median_p,median_diff
CART,Prop0.01->Prop0.02,10,9,9,9.564700358993974e-17,-0.010736510395923184
CART,Prop0.02->Prop0.05,10,9,9,1.9482799225479546e-18,-0.016450459460094373
CART,Prop0.05->Prop0.1,10,10,10,2.4159408652282616e-18,-0.005640569461858426
CART,Prop0.1->Prop0.15,10,10,10,3.4748832129741366e-16,-0.0024869387072841264
CART,Prop0.15->Prop0.2,10,10,10,4.898406960307186e-17,-0.0013009545893949244
KRR,Prop0.01->Prop0.02,10,9,9,2.6234638992065916e-17,-0.05788517308896478
KRR,Prop0.02->Prop0.05,10,10,10,1.9482799225479546e-18,-0.03717403842173445
KRR,Prop0.05->Prop0.1,10,10,10,1.9482799225479546e-18,-0.020493932773587274
KRR,Prop0.1->Prop0.15,8,7,7,1.9482799225479546e-18,-0.00855011558856937
KRR,Prop0.15->Prop0.2,8,7,7,1.9482799225479546e-18,-0.005229439754310722
MR,Prop0.01->Prop0.02,10,9,10,4.0605993832327986e-11,-0.004527388485421547
MR,Prop0.02->Prop0.05,10,9,9,1.2991228914897165e-10,-0.017455105616726273
MR,Prop0.05->Prop0.1,10,6,6,0.00017141163240749134,-0.0014480685859220776
MR,Prop0.1->Prop0.15,10,5,5,0.03840183383804174,-0.0005493976887067371
MR,Prop0.15->Prop0.2,10,5,5,0.09750759302901525,-0.0002302413992188463
RF,Prop0.01->Prop0.02,10,9,9,1.9482799225479546e-18,-0.013141676579110277
RF,Prop0.02->Prop0.05,10,10,10,1.9482799225479546e-18,-0.02528921710303782
RF,Prop0.05->Prop0.1,10,10,10,1.9482799225479546e-18,-0.012114965945409152
RF,Prop0.1->Prop0.15,10,10,10,1.0916134944213197e-17,-0.0029925605681015745
RF,Prop0.15->Prop0.2,10,10,10,2.552041471661734e-18,-0.0013525664160078258
SVR,Prop0.01->Prop0.02,10,10,10,1.9482799225479546e-18,-0.05552528418971252
SVR,Prop0.02->Prop0.05,10,9,9,1.9482799225479546e-18,-0.0446626923929234
SVR,Prop0.05->Prop0.1,10,10,10,1.9482799225479546e-18,-0.0243237601050735
SVR,Prop0.1->Prop0.15,8,8,8,1.9482799225479546e-18,-0.008971851598183506
SVR,Prop0.15->Prop0.2,8,8,8,5.115983264441915e-18,-0.004898043048767269
kNN,Prop0.01->Prop0.02,10,9,9,2.107105226551364e-18,-0.04492841729115261
kNN,Prop0.02->Prop0.05,10,9,9,2.107105226551364e-18,-0.06445703944687378
kNN,Prop0.05->Prop0.1,10,9,9,6.28916981358594e-18,-0.043476623146726706
kNN,Prop0.1->Prop0.15,8,7,7,2.244299348431964e-18,-0.02058869166661502
kNN,Prop0.15->Prop0.2,8,8,8,3.568390783745862e-17,-0.021217639778136732
