system,technique,size_type,var,proportion
7z,CART,Prop0.01,1.0232845431310015e-05,0.01
7z,CART,Prop0.02,7.202372314818184e-06,0.02
7z,CART,Prop0.05,3.98803405398904e-06,0.05
7z,CART,Prop0.1,1.791958688265851e-06,0.1
7z,CART,Prop0.15,7.510292398917216e-07,0.15
7z,CART,Prop0.2,4.966724597732847e-07,0.2
7z,KRR,Prop0.01,9.096543026776859e-05,0.01
7z,KRR,Prop0.02,1.0897899540829958e-05,0.02
7z,KRR,Prop0.05,1.4797512256601588e-06,0.05
7z,KRR,Prop0.1,5.256486039908099e-07,0.1
7z,KRR,Prop0.15,2.476275652582798e-07,0.15
7z,KRR,Prop0.2,1.521077806013013e-07,0.2
7z,MR,Prop0.01,2.744279488290543e-05,0.01
7z,MR,Prop0.02,8.154153376026994e-06,0.02
7z,MR,Prop0.05,2.976675653036926e-06,0.05
7z,MR,Prop0.1,1.3245187125617276e-06,0.1
7z,MR,Prop0.15,1.0937031002846823e-06,0.15
7z,MR,Prop0.2,8.550619350403249e-07,0.2
7z,RF,Prop0.01,2.8816382001803915e-06,0.01
7z,RF,Prop0.02,1.832534707251275e-06,0.02
7z,RF,Prop0.05,9.861246647381067e-07,0.05
7z,RF,Prop0.1,3.681524262418677e-07,0.1
7z,RF,Prop0.15,2.0045325439643622e-07,0.15
7z,RF,Prop0.2,1.109858875894692e-07,0.2
7z,SVR,Prop0.01,0.00038244027279950554,0.01
7z,SVR,Prop0.02,0.00011445336568481126,0.02
7z,SVR,Prop0.05,3.469229461354787e-05,0.05
7z,SVR,Prop0.1,1.80220429533093e-05,0.1
7z,SVR,Prop0.15,1.200138436790652e-05,0.15
7z,SVR,Prop0.2,1.0341834348515328e-05,0.2
7z,kNN,Prop0.01,0.002458175644639423,0.01
7z,kNN,Prop0.02,0.000707069686523985,0.02
7z,kNN,Prop0.05,0.00011307272992375343,0.05
7z,kNN,Prop0.1,4.539583675950258e-05,0.1
7z,kNN,Prop0.15,2.9315674831990455e-05,0.15
7z,kNN,Prop0.2,1.932417415275131e-05,0.2
BerkeleyDBC,CART,Prop0.01,1.1036383660947733,0.01
BerkeleyDBC,CART,Prop0.02,0.09299277989978902,0.02
BerkeleyDBC,CART,Prop0.05,0.00020513809890954876,0.05
BerkeleyDBC,CART,Prop0.1,3.2544501619045914e-05,0.1
BerkeleyDBC,CART,Prop0.15,8.173212239337155e-06,0.15
BerkeleyDBC,CART,Prop0.2,2.815305772218936e-06,0.2
BerkeleyDBC,KRR,Prop0.01,0.6949535662985261,0.01
BerkeleyDBC,KRR,Prop0.02,0.193398693340165,0.02
BerkeleyDBC,KRR,Prop0.05,0.048176602282315115,0.05
BerkeleyDBC,KRR,Prop0.1,0.0008821347098529683,0.1
BerkeleyDBC,KRR,Prop0.15,0.00011101584795725599,0.15
BerkeleyDBC,KRR,Prop0.2,2.034982422811235e-05,0.2
BerkeleyDBC,MR,Prop0.01,0.5898560422533192,0.01
BerkeleyDBC,MR,Prop0.02,0.02549047599211744,0.02
BerkeleyDBC,MR,Prop0.05,0.00029100543071146925,0.05
BerkeleyDBC,MR,Prop0.1,0.00012385171666959895,0.1
BerkeleyDBC,MR,Prop0.15,7.246379315137551e-05,0.15
BerkeleyDBC,MR,Prop0.2,6.373148297787866e-05,0.2
BerkeleyDBC,RF,Prop0.01,1.0460336089499855,0.01
BerkeleyDBC,RF,Prop0.02,0.05054974842607359,0.02
BerkeleyDBC,RF,Prop0.05,0.00018321303715544977,0.05
BerkeleyDBC,RF,Prop0.1,1.7334720846860756e-05,0.1
BerkeleyDBC,RF,Prop0.15,5.342310827351056e-06,0.15
BerkeleyDBC,RF,Prop0.2,2.2851742502581296e-06,0.2
BerkeleyDBC,SVR,Prop0.01,0.9011359116058546,0.01
BerkeleyDBC,SVR,Prop0.02,0.3168633144821948,0.02
BerkeleyDBC,SVR,Prop0.05,0.10915748870019493,0.05
BerkeleyDBC,SVR,Prop0.1,0.00871687653926185,0.1
BerkeleyDBC,SVR,Prop0.15,0.004790057793657325,0.15
BerkeleyDBC,SVR,Prop0.2,0.002572781800325184,0.2
BerkeleyDBC,kNN,Prop0.01,1.992007882713957,0.01
BerkeleyDBC,kNN,Prop0.02,1.0941246164533076,0.02
BerkeleyDBC,kNN,Prop0.05,0.1846238423420801,0.05
BerkeleyDBC,kNN,Prop0.1,0.06004455925336923,0.1
BerkeleyDBC,kNN,Prop0.15,0.03075779297158646,0.15
BerkeleyDBC,kNN,Prop0.2,0.020397948522045885,0.2
Dune,CART,Prop0.01,0.0018564442330559242,0.01
Dune,CART,Prop0.02,0.0009773614233651827,0.02
Dune,CART,Prop0.05,0.0002072576766996711,0.05
Dune,CART,Prop0.1,9.203391018606498e-05,0.1
Dune,CART,Prop0.15,4.967857658402848e-05,0.15
Dune,CART,Prop0.2,3.451239096092301e-05,0.2
Dune,KRR,Prop0.01,0.002097647257136127,0.01
Dune,KRR,Prop0.02,0.0022903924374797517,0.02
Dune,KRR,Prop0.05,0.0006516546016107126,0.05
Dune,KRR,Prop0.1,8.232324373971902e-05,0.1
Dune,KRR,Prop0.15,3.759876509622973e-05,0.15
Dune,KRR,Prop0.2,2.73205698009446e-05,0.2
Dune,MR,Prop0.01,0.0012237030484818577,0.01
Dune,MR,Prop0.02,0.00028302174374196336,0.02
Dune,MR,Prop0.05,0.0002221599768039771,0.05
Dune,MR,Prop0.1,8.389908292879171e-05,0.1
Dune,MR,Prop0.15,5.558135832574073e-05,0.15
Dune,MR,Prop0.2,4.1273720674960785e-05,0.2
Dune,RF,Prop0.01,0.0012300480170445913,0.01
Dune,RF,Prop0.02,0.0006161732756454461,0.02
Dune,RF,Prop0.05,7.971423494210572e-05,0.05
Dune,RF,Prop0.1,4.58491428914407e-05,0.1
Dune,RF,Prop0.15,2.6975267212754675e-05,0.15
Dune,RF,Prop0.2,1.6019822702323354e-05,0.2
Dune,SVR,Prop0.01,0.0005880749320246754,0.01
Dune,SVR,Prop0.02,0.0001836177882904169,0.02
Dune,SVR,Prop0.05,2.5503560538239275e-05,0.05
Dune,SVR,Prop0.1,2.1555542436063517e-05,0.1
Dune,SVR,Prop0.15,4.3938430349378885e-06,0.15
Dune,SVR,Prop0.2,4.471164758642346e-06,0.2
Dune,kNN,Prop0.01,0.001881803948133454,0.01
Dune,kNN,Prop0.02,0.0005045943676315507,0.02
Dune,kNN,Prop0.05,0.00012731177801524217,0.05
Dune,kNN,Prop0.1,4.4698442740195184e-05,0.1
Dune,kNN,Prop0.15,2.6327443147304907e-05,0.15
Dune,kNN,Prop0.2,2.4009789125370368e-05,0.2
Hippacc,CART,Prop0.01,0.0002713207549455613,0.01
Hippacc,CART,Prop0.02,0.00012012609160598546,0.02
Hippacc,CART,Prop0.05,2.939920852700823e-05,0.05
Hippacc,CART,Prop0.1,8.329394607120556e-06,0.1
Hippacc,CART,Prop0.15,3.5601308741776592e-06,0.15
Hippacc,CART,Prop0.2,1.6495711653806494e-06,0.2
Hippacc,KRR,Prop0.01,7.254165551757509e-05,0.01
Hippacc,KRR,Prop0.02,2.7498957579044335e-05,0.02
Hippacc,KRR,Prop0.05,1.2136004109733584e-05,0.05
Hippacc,KRR,Prop0.1,3.430766903117196e-06,0.1
Hippacc,KRR,Prop0.15,1.6172399143147216e-06,0.15
Hippacc,KRR,Prop0.2,9.339075542906934e-07,0.2
Hippacc,MR,Prop0.01,0.00010638749331678594,0.01
Hippacc,MR,Prop0.02,3.298983660977198e-05,0.02
Hippacc,MR,Prop0.05,7.784590675086649e-06,0.05
Hippacc,MR,Prop0.1,4.332189535239268e-06,0.1
Hippacc,MR,Prop0.15,2.482225659866343e-06,0.15
Hippacc,MR,Prop0.2,1.4988683822298113e-06,0.2
Hippacc,RF,Prop0.01,8.936697294183483e-05,0.01
Hippacc,RF,Prop0.02,4.368173345185433e-05,0.02
Hippacc,RF,Prop0.05,1.1833254995002102e-05,0.05
Hippacc,RF,Prop0.1,3.375430831868729e-06,0.1
Hippacc,RF,Prop0.15,1.102276313088298e-06,0.15
Hippacc,RF,Prop0.2,1.0009857500256615e-06,0.2
Hippacc,SVR,Prop0.01,4.4887509057299764e-05,0.01
Hippacc,SVR,Prop0.02,1.9901664422129902e-05,0.02
Hippacc,SVR,Prop0.05,1.2909790638562676e-05,0.05
Hippacc,SVR,Prop0.1,3.3971957396163683e-06,0.1
Hippacc,SVR,Prop0.15,1.8192162663159005e-06,0.15
Hippacc,SVR,Prop0.2,1.551317922553625e-06,0.2
Hippacc,kNN,Prop0.01,0.00018181234702240338,0.01
Hippacc,kNN,Prop0.02,0.00012555703027430687,0.02
Hippacc,kNN,Prop0.05,3.113286849330793e-05,0.05
Hippacc,kNN,Prop0.1,2.434267434721258e-05,0.1
Hippacc,kNN,Prop0.15,1.5228186169387343e-05,0.15
Hippacc,kNN,Prop0.2,9.558575438609278e-06,0.2
Irzip,CART,Prop0.01,12.320284818687808,0.01
Irzip,CART,Prop0.02,5.72397336616023,0.02
Irzip,CART,Prop0.05,4.088844744253485,0.05
Irzip,CART,Prop0.1,0.035881849384058244,0.1
Irzip,CART,Prop0.15,0.006079979028870598,0.15
Irzip,CART,Prop0.2,0.005347288692452186,0.2
Irzip,KRR,Prop0.01,22.212165564576278,0.01
Irzip,KRR,Prop0.02,6.512204315116497,0.02
Irzip,KRR,Prop0.05,1.8363219802203485,0.05
Irzip,KRR,Prop0.1,0.7213307749174642,0.1
Irzip,KRR,Prop0.15,0.4040816498818493,0.15
Irzip,KRR,Prop0.2,0.2392499074176956,0.2
Irzip,MR,Prop0.01,26.76120154157659,0.01
Irzip,MR,Prop0.02,1.7465594801155118,0.02
Irzip,MR,Prop0.05,0.7626901536663517,0.05
Irzip,MR,Prop0.1,0.49982559292042905,0.1
Irzip,MR,Prop0.15,0.07650415466067446,0.15
