gvn,inline,instcombine,ipsccp,iv_users,jump_threading,licm,print_used_types,sccp,simplifycfg,time_passes,Performance
0,0,0,0,1,0,0,0,0,0,1,210.34
1,0,0,0,1,0,0,0,0,0,1,219.153333333333
0,0,1,0,1,0,0,0,0,0,1,216.403333333333
0,1,0,0,1,0,0,0,0,0,1,207.746666666667
0,0,0,0,1,1,0,0,0,0,1,199.683333333333
0,0,0,0,1,0,0,0,0,1,1,200.38
0,0,0,0,1,0,0,0,1,0,1,200.66
0,0,0,0,1,0,0,1,0,0,1,203.18
0,0,0,1,1,0,0,0,0,0,1,202.233333333333
0,0,0,0,1,0,1,0,0,0,1,212.446666666667
1,0,0,0,1,0,1,0,0,0,1,228.3
0,0,1,0,1,0,1,0,0,0,1,230.74
0,1,0,0,1,0,1,0,0,0,1,241.776666666667
0,0,0,0,1,1,1,0,0,0,1,212.92
0,0,0,0,1,0,1,0,0,1,1,213.48
0,0,0,0,1,0,1,0,1,0,1,214.37
0,0,0,0,1,0,1,1,0,0,1,216.586666666667
0,0,0,1,1,0,1,0,0,0,1,215.606666666667
1,0,0,0,0,1,0,0,0,0,1,232.2
1,0,0,0,0,0,1,0,0,0,1,267.426666666667
0,0,0,0,0,1,1,0,0,0,1,220.08
1,0,0,0,0,1,1,0,0,0,1,256.223333333333
1,0,0,0,1,1,0,0,0,0,1,221.606666666667
1,0,0,0,1,1,1,0,0,0,1,230.79
0,0,0,0,0,1,0,0,0,1,1,205.946666666667
1,0,0,0,0,0,0,0,0,1,1,230.74
1,0,0,0,0,1,0,0,0,1,1,229.856666666667
1,0,0,0,1,0,0,0,0,1,1,222.236666666667
0,0,0,0,1,1,0,0,0,1,1,200.923333333333
1,0,0,0,1,1,0,0,0,1,1,223.013333333333
0,0,0,0,0,0,1,0,0,1,1,219.496666666667
0,0,0,0,0,1,1,0,0,1,1,218.073333333333
0,0,0,0,1,1,1,0,0,1,1,214.243333333333
1,0,0,0,0,0,1,0,0,1,1,238.753333333333
1,0,0,0,1,0,1,0,0,1,1,231.216666666667
1,0,0,0,0,1,1,0,0,1,1,255.643333333333
1,0,0,0,1,1,1,0,0,1,1,232.216666666667
0,0,1,0,0,0,0,0,0,1,1,224.073333333333
0,0,1,0,0,1,0,0,0,0,1,234.08
0,0,1,0,0,1,0,0,0,1,1,233.276666666667
1,0,1,0,0,0,0,0,0,0,1,232.7
1,0,1,0,0,1,0,0,0,0,1,245.936666666667
1,0,1,0,0,0,0,0,0,1,1,246.756666666667
1,0,1,0,0,1,0,0,0,1,1,245.756666666667
0,0,1,0,0,0,1,0,0,0,1,257.333333333333
0,0,1,0,0,0,1,0,0,1,1,237.103333333333
1,0,1,0,0,0,1,0,0,0,1,238.23
1,0,1,0,0,0,1,0,0,1,1,255.213333333333
0,0,1,0,0,1,1,0,0,0,1,237.696666666667
1,0,1,0,0,1,1,0,0,0,1,254.34
0,0,1,0,0,1,1,0,0,1,1,235.91
1,0,1,0,0,1,1,0,0,1,1,254.073333333333
0,0,1,0,1,0,0,0,0,1,1,217.696666666667
0,0,1,0,1,1,0,0,0,0,1,217.093333333333
0,0,1,0,1,1,0,0,0,1,1,218.123333333333
0,0,1,0,1,1,1,0,0,0,1,231.323333333333
