System,Features,ValidConfigs,UnconstrainedSpace,Ratio,ConstraintLevel
AJStats,20,6.5536000000e+04,5.2428800000e+05,0.1250000000,Moderate
Curl,13,7.6800000000e+02,4.0960000000e+03,0.1875000000,Moderate
HSMGP,33,3.4560000000e+03,4.2949672960e+09,0.0000008047,Very Strong
HSQLDB,18,8.6400000000e+02,1.3107200000e+05,0.0065917969,Very Strong
HyTeG,8,3.2000000000e+01,1.2800000000e+02,0.2500000000,Moderate
PKJab,11,7.2000000000e+01,1.0240000000e+03,0.0703125000,Strong
SQLite,39,3.9321600000e+06,2.7487790694e+11,0.0000143051,Very Strong
TriMesh,68,2.3936000000e+05,1.4757395259e+20,0.0000000000,Very Strong
WGet,16,5.1200000000e+03,3.2768000000e+04,0.1562500000,Moderate
clasp,33,8.7000000000e+02,4.2949672960e+09,0.0000002026,Very Strong
z3,15,2.0480000000e+03,1.6384000000e+04,0.1250000000,Moderate
