system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage
7z,random,1,10,1,1,ALS,0.87341772151898733
7z,random,1,10,1,1,AP_ALS-PCI,0.87341772151898733
7z,random,1,10,1,1,Default,0.87951807228915657
7z,random,1,10,1,1,MDAP_MF-DF-ALS-PCI,0.87179487179487181
7z,random,1,10,1,1,MDA_MF-DF-ALS,0.87179487179487181
7z,random,1,10,1,1,MDP_MF-DF-PCI,0.87179487179487181
7z,random,1,10,1,1,MD_MF-DF,0.87179487179487181
7z,random,1,10,1,1,PCI,0.87951807228915657
7z,random,1,10,2,1,ALS,0.6719833564493759
7z,random,1,10,2,1,AP_ALS-PCI,0.67152777777777772
7z,random,1,10,2,1,Default,0.69245165315034307
7z,random,1,10,2,1,MDAP_MF-DF-ALS-PCI,0.66642908054169636
7z,random,1,10,2,1,MDA_MF-DF-ALS,0.66642908054169636
7z,random,1,10,2,1,MDP_MF-DF-PCI,0.66642908054169636
7z,random,1,10,2,1,MD_MF-DF,0.66642908054169636
7z,random,1,10,2,1,PCI,0.69143218463484035
7z,random,1,10,3,1,ALS,0.49424740749831259
7z,random,1,10,3,1,AP_ALS-PCI,0.49300354445985511
7z,random,1,10,3,1,Default,0.52316002176109422
7z,random,1,10,3,1,MDAP_MF-DF-ALS-PCI,0.48650251675162709
7z,random,1,10,3,1,MDA_MF-DF-ALS,0.48650251675162709
7z,random,1,10,3,1,MDP_MF-DF-PCI,0.48650251675162709
7z,random,1,10,3,1,MD_MF-DF,0.48650251675162709
7z,random,1,10,3,1,PCI,0.52307215020839792
7z,random,1,10,1,2,ALS,0.88607594936708856
7z,random,1,10,1,2,AP_ALS-PCI,0.88607594936708856
7z,random,1,10,1,2,Default,0.89156626506024095
7z,random,1,10,1,2,MDAP_MF-DF-ALS-PCI,0.88461538461538458
7z,random,1,10,1,2,MDA_MF-DF-ALS,0.88461538461538458
7z,random,1,10,1,2,MDP_MF-DF-PCI,0.88461538461538458
7z,random,1,10,1,2,MD_MF-DF,0.88461538461538458
7z,random,1,10,1,2,PCI,0.89156626506024095
7z,random,1,10,2,2,ALS,0.68932038834951459
7z,random,1,10,2,2,AP_ALS-PCI,0.68888888888888888
7z,random,1,10,2,2,Default,0.70929507174048656
7z,random,1,10,2,2,MDAP_MF-DF-ALS-PCI,0.68389166072701357
7z,random,1,10,2,2,MDA_MF-DF-ALS,0.68389166072701357
7z,random,1,10,2,2,MDP_MF-DF-PCI,0.68389166072701357
7z,random,1,10,2,2,MD_MF-DF,0.68389166072701357
7z,random,1,10,2,2,PCI,0.70818842870692378
7z,random,1,10,3,2,ALS,0.51075351291648774
7z,random,1,10,3,2,AP_ALS-PCI,0.50947757743874245
7z,random,1,10,3,2,Default,0.53976580917592809
7z,random,1,10,3,2,MDAP_MF-DF-ALS-PCI,0.50296559905100835
7z,random,1,10,3,2,MDA_MF-DF-ALS,0.50296559905100835
7z,random,1,10,3,2,MDP_MF-DF-PCI,0.50296559905100835
7z,random,1,10,3,2,MD_MF-DF,0.50296559905100835
7z,random,1,10,3,2,PCI,0.5395146822774054
7z,distance,1,10,1,1,ALS,0.69620253164556967
7z,distance,1,10,1,1,AP_ALS-PCI,0.69620253164556967
7z,distance,1,10,1,1,Default,0.68674698795180722
7z,distance,1,10,1,1,MDAP_MF-DF-ALS-PCI,0.69230769230769229
7z,distance,1,10,1,1,MDA_MF-DF-ALS,0.69230769230769229
7z,distance,1,10,1,1,MDP_MF-DF-PCI,0.69230769230769229
7z,distance,1,10,1,1,MD_MF-DF,0.69230769230769229
7z,distance,1,10,1,1,PCI,0.68674698795180722
7z,distance,1,10,2,1,ALS,0.47191400832177532
7z,distance,1,10,2,1,AP_ALS-PCI,0.47118055555555555
7z,distance,1,10,2,1,Default,0.45165315034310666
7z,distance,1,10,2,1,MDAP_MF-DF-ALS-PCI,0.46578759800427655
7z,distance,1,10,2,1,MDA_MF-DF-ALS,0.46578759800427655
7z,distance,1,10,2,1,MDP_MF-DF-PCI,0.46578759800427655
7z,distance,1,10,2,1,MD_MF-DF,0.46578759800427655
7z,distance,1,10,2,1,PCI,0.45558014543155234
7z,distance,1,10,3,1,ALS,0.31758912683315949
7z,distance,1,10,3,1,AP_ALS-PCI,0.31624287255355216
7z,distance,1,10,3,1,Default,0.29153389808554181
7z,distance,1,10,3,1,MDAP_MF-DF-ALS-PCI,0.31092302266679489
7z,distance,1,10,3,1,MDA_MF-DF-ALS,0.31092302266679489
7z,distance,1,10,3,1,MDP_MF-DF-PCI,0.31092302266679489
7z,distance,1,10,3,1,MD_MF-DF,0.31092302266679489
7z,distance,1,10,3,1,PCI,0.29936468969610314
7z,distance,1,10,1,2,ALS,0.70886075949367089
7z,distance,1,10,1,2,AP_ALS-PCI,0.70886075949367089
7z,distance,1,10,1,2,Default,0.6987951807228916
7z,distance,1,10,1,2,MDAP_MF-DF-ALS-PCI,0.70512820512820518
