system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage
7z,solver,2,10,1,1,ALS,0.620253164556962
7z,solver,2,10,1,1,AP_ALS-PCI,0.620253164556962
7z,solver,2,10,1,1,Default,0.61445783132530118
7z,solver,2,10,1,1,MDAP_MF-DF-ALS-PCI,0.61538461538461542
7z,solver,2,10,1,1,MDA_MF-DF-ALS,0.61538461538461542
7z,solver,2,10,1,1,MDP_MF-DF-PCI,0.61538461538461542
7z,solver,2,10,1,1,MD_MF-DF,0.61538461538461542
7z,solver,2,10,1,1,PCI,0.61445783132530118
7z,solver,2,10,2,1,ALS,0.38834951456310679
7z,solver,2,10,2,1,AP_ALS-PCI,0.38750000000000001
7z,solver,2,10,2,1,Default,0.37741734248284464
7z,solver,2,10,2,1,MDAP_MF-DF-ALS-PCI,0.38203848895224518
7z,solver,2,10,2,1,MDA_MF-DF-ALS,0.38203848895224518
7z,solver,2,10,2,1,MDP_MF-DF-PCI,0.38203848895224518
7z,solver,2,10,2,1,MD_MF-DF,0.38203848895224518
7z,solver,2,10,2,1,PCI,0.38033512488144167
7z,solver,2,10,3,1,ALS,0.2468399091857397
7z,solver,2,10,3,1,AP_ALS-PCI,0.24536908614578518
7z,solver,2,10,3,1,Default,0.23341364213362348
7z,solver,2,10,3,1,MDAP_MF-DF-ALS-PCI,0.2407585521464525
7z,solver,2,10,3,1,MDA_MF-DF-ALS,0.2407585521464525
7z,solver,2,10,3,1,MDP_MF-DF-PCI,0.2407585521464525
7z,solver,2,10,3,1,MD_MF-DF,0.2407585521464525
7z,solver,2,10,3,1,PCI,0.23898997801367738
7z,solver,2,10,1,2,ALS,0.620253164556962
7z,solver,2,10,1,2,AP_ALS-PCI,0.620253164556962
7z,solver,2,10,1,2,Default,0.61445783132530118
7z,solver,2,10,1,2,MDAP_MF-DF-ALS-PCI,0.61538461538461542
7z,solver,2,10,1,2,MDA_MF-DF-ALS,0.61538461538461542
7z,solver,2,10,1,2,MDP_MF-DF-PCI,0.61538461538461542
7z,solver,2,10,1,2,MD_MF-DF,0.61538461538461542
7z,solver,2,10,1,2,PCI,0.61445783132530118
7z,solver,2,10,2,2,ALS,0.38938973647711511
7z,solver,2,10,2,2,AP_ALS-PCI,0.38854166666666667
7z,solver,2,10,2,2,Default,0.37928883343730507
7z,solver,2,10,2,2,MDAP_MF-DF-ALS-PCI,0.38310762651461155
7z,solver,2,10,2,2,MDA_MF-DF-ALS,0.38310762651461155
7z,solver,2,10,2,2,MDP_MF-DF-PCI,0.38310762651461155
7z,solver,2,10,2,2,MD_MF-DF,0.38310762651461155
7z,solver,2,10,2,2,PCI,0.38191590262409103
7z,solver,2,10,3,2,ALS,0.24858869730625269
7z,solver,2,10,3,2,AP_ALS-PCI,0.24703344120819848
7z,solver,2,10,3,2,Default,0.2364576047252662
7z,solver,2,10,3,2,MDAP_MF-DF-ALS-PCI,0.24253791157705748
7z,solver,2,10,3,2,MDA_MF-DF-ALS,0.24253791157705748
7z,solver,2,10,3,2,MDP_MF-DF-PCI,0.24253791157705748
7z,solver,2,10,3,2,MD_MF-DF,0.24253791157705748
7z,solver,2,10,3,2,PCI,0.24144489256376708
