system,strategy,sample_size_source_t,sample_size,coverage_t,metric,coverage
7z,distance,1,10,1,ALS,0.6962025316455696
7z,distance,1,10,1,AP_ALS-PCI,0.6962025316455696
7z,distance,1,10,1,Default,0.6867469879518072
7z,distance,1,10,1,MDAP_MF-DF-ALS-PCI,0.6923076923076922
7z,distance,1,10,1,MDA_MF-DF-ALS,0.6923076923076922
7z,distance,1,10,1,MDP_MF-DF-PCI,0.6923076923076922
7z,distance,1,10,1,MD_MF-DF,0.6923076923076922
7z,distance,1,10,1,PCI,0.6867469879518072
7z,distance,1,10,2,ALS,0.4719140083217753
7z,distance,1,10,2,AP_ALS-PCI,0.4711805555555555
7z,distance,1,10,2,Default,0.4516531503431066
7z,distance,1,10,2,MDAP_MF-DF-ALS-PCI,0.4657875980042765
7z,distance,1,10,2,MDA_MF-DF-ALS,0.4657875980042765
7z,distance,1,10,2,MDP_MF-DF-PCI,0.4657875980042765
7z,distance,1,10,2,MD_MF-DF,0.4657875980042765
7z,distance,1,10,2,PCI,0.4555801454315523
7z,distance,1,10,3,ALS,0.3175891268331594
7z,distance,1,10,3,AP_ALS-PCI,0.3162428725535521
7z,distance,1,10,3,Default,0.2915338980855418
7z,distance,1,10,3,MDAP_MF-DF-ALS-PCI,0.3109230226667948
7z,distance,1,10,3,MDA_MF-DF-ALS,0.3109230226667948
7z,distance,1,10,3,MDP_MF-DF-PCI,0.3109230226667948
7z,distance,1,10,3,MD_MF-DF,0.3109230226667948
7z,distance,1,10,3,PCI,0.2993646896961031
7z,distance,1,13,1,ALS,0.7053164556962025
7z,distance,1,13,1,AP_ALS-PCI,0.7053164556962025
7z,distance,1,13,1,Default,0.6946987951807229
7z,distance,1,13,1,MDAP_MF-DF-ALS-PCI,0.7015384615384614
7z,distance,1,13,1,MDA_MF-DF-ALS,0.7015384615384614
7z,distance,1,13,1,MDP_MF-DF-PCI,0.7015384615384614
7z,distance,1,13,1,MD_MF-DF,0.7015384615384614
7z,distance,1,13,1,PCI,0.6946987951807229
7z,distance,1,13,2,ALS,0.48149791955617194
7z,distance,1,13,2,AP_ALS-PCI,0.48077777777777775
7z,distance,1,13,2,Default,0.4596257018091079
7z,distance,1,13,2,MDAP_MF-DF-ALS-PCI,0.4753813257305773
7z,distance,1,13,2,MDA_MF-DF-ALS,0.4753813257305773
7z,distance,1,13,2,MDP_MF-DF-PCI,0.4753813257305773
7z,distance,1,13,2,MD_MF-DF,0.4753813257305773
7z,distance,1,13,2,PCI,0.4636800505848877
7z,distance,1,13,3,ALS,0.3256946063692704
7z,distance,1,13,3,AP_ALS-PCI,0.32432501155802124
7z,distance,1,13,3,Default,0.29796857594362836
7z,distance,1,13,3,MDAP_MF-DF-ALS-PCI,0.31896155942419285
7z,distance,1,13,3,MDA_MF-DF-ALS,0.31896155942419285
7z,distance,1,13,3,MDP_MF-DF-PCI,0.31896155942419285
7z,distance,1,13,3,MD_MF-DF,0.31896155942419285
7z,distance,1,13,3,PCI,0.30603612231409416
7z,distance,1,39,1,ALS,0.8529113924050633
7z,distance,1,39,1,AP_ALS-PCI,0.8529113924050633
7z,distance,1,39,1,Default,0.8438554216867469
7z,distance,1,39,1,MDAP_MF-DF-ALS-PCI,0.851025641025641
7z,distance,1,39,1,MDA_MF-DF-ALS,0.851025641025641
7z,distance,1,39,1,MDP_MF-DF-PCI,0.851025641025641
7z,distance,1,39,1,MD_MF-DF,0.851025641025641
7z,distance,1,39,1,PCI,0.8438554216867469
7z,distance,1,39,2,ALS,0.6522122052704578
7z,distance,1,39,2,AP_ALS-PCI,0.6517291666666667
7z,distance,1,39,2,Default,0.6250467872738615
7z,distance,1,39,2,MDAP_MF-DF-ALS-PCI,0.6466856735566643
7z,distance,1,39,2,MDA_MF-DF-ALS,0.6466856735566643
7z,distance,1,39,2,MDP_MF-DF-PCI,0.6466856735566643
7z,distance,1,39,2,MD_MF-DF,0.6466856735566643
7z,distance,1,39,2,PCI,0.6309800822004425
7z,distance,1,39,3,ALS,0.477369607903295
7z,distance,1,39,3,AP_ALS-PCI,0.47607551240560947
7z,distance,1,39,3,Default,0.4378338644076578
7z,distance,1,39,3,MDAP_MF-DF-ALS-PCI,0.46975361482478917
7z,distance,1,39,3,MDA_MF-DF-ALS,0.46975361482478917
7z,distance,1,39,3,MDP_MF-DF-PCI,0.46975361482478917
7z,distance,1,39,3,MD_MF-DF,0.46975361482478917
7z,distance,1,39,3,PCI,0.4502775941837409
7z,distance,2,10,1,ALS,0.6962025316455696
7z,distance,2,10,1,AP_ALS-PCI,0.6962025316455696
7z,distance,2,10,1,Default,0.6867469879518072
7z,distance,2,10,1,MDAP_MF-DF-ALS-PCI,0.6923076923076922
7z,distance,2,10,1,MDA_MF-DF-ALS,0.6923076923076922
7z,distance,2,10,1,MDP_MF-DF-PCI,0.6923076923076922
7z,distance,2,10,1,MD_MF-DF,0.6923076923076922
7z,distance,2,10,1,PCI,0.6867469879518072
7z,distance,2,10,2,ALS,0.4719140083217753
7z,distance,2,10,2,AP_ALS-PCI,0.4711805555555555
7z,distance,2,10,2,Default,0.4516531503431066
7z,distance,2,10,2,MDAP_MF-DF-ALS-PCI,0.4657875980042765
7z,distance,2,10,2,MDA_MF-DF-ALS,0.4657875980042765
7z,distance,2,10,2,MDP_MF-DF-PCI,0.4657875980042765
7z,distance,2,10,2,MD_MF-DF,0.4657875980042765
7z,distance,2,10,2,PCI,0.4555801454315523
7z,distance,2,10,3,ALS,0.3175891268331594
7z,distance,2,10,3,AP_ALS-PCI,0.3162428725535521
7z,distance,2,10,3,Default,0.2915338980855418
7z,distance,2,10,3,MDAP_MF-DF-ALS-PCI,0.3109230226667948
7z,distance,2,10,3,MDA_MF-DF-ALS,0.3109230226667948
7z,distance,2,10,3,MDP_MF-DF-PCI,0.3109230226667948
7z,distance,2,10,3,MD_MF-DF,0.3109230226667948
7z,distance,2,10,3,PCI,0.2993646896961031
7z,distance,2,143,1,ALS,0.9231645569620254
7z,distance,2,143,1,AP_ALS-PCI,0.9231645569620254
7z,distance,2,143,1,Default,0.9268674698795181
7z,distance,2,143,1,MDAP_MF-DF-ALS-PCI,0.9221794871794873
7z,distance,2,143,1,MDA_MF-DF-ALS,0.9221794871794873
7z,distance,2,143,1,MDP_MF-DF-PCI,0.9221794871794873
7z,distance,2,143,1,MD_MF-DF,0.9221794871794873
7z,distance,2,143,1,PCI,0.9268674698795181
7z,distance,2,143,2,ALS,0.7624687933425797
7z,distance,2,143,2,AP_ALS-PCI,0.7621388888888889
7z,distance,2,143,2,Default,0.7538708671241422
7z,distance,2,143,2,MDAP_MF-DF-ALS-PCI,0.7580292230933714
7z,distance,2,143,2,MDA_MF-DF-ALS,0.7580292230933714
7z,distance,2,143,2,MDP_MF-DF-PCI,0.7580292230933714
7z,distance,2,143,2,MD_MF-DF,0.7580292230933714
7z,distance,2,143,2,PCI,0.7606417957635156
7z,distance,2,143,3,ALS,0.5976492606001105
7z,distance,2,143,3,AP_ALS-PCI,0.596336569579288
7z,distance,2,143,3,Default,0.5735085878604181
7z,distance,2,143,3,MDAP_MF-DF-ALS-PCI,0.5904352216985669
7z,distance,2,143,3,MDA_MF-DF-ALS,0.5904352216985669
7z,distance,2,143,3,MDP_MF-DF-PCI,0.5904352216985669
7z,distance,2,143,3,MD_MF-DF,0.5904352216985669
7z,distance,2,143,3,PCI,0.5886466946329093
7z,distance,2,600,1,ALS,0.9240506329113924
7z,distance,2,600,1,AP_ALS-PCI,0.9240506329113924
7z,distance,2,600,1,Default,0.927710843373494
7z,distance,2,600,1,MDAP_MF-DF-ALS-PCI,0.9230769230769232
7z,distance,2,600,1,MDA_MF-DF-ALS,0.9230769230769232
7z,distance,2,600,1,MDP_MF-DF-PCI,0.9230769230769232
7z,distance,2,600,1,MD_MF-DF,0.9230769230769232
7z,distance,2,600,1,PCI,0.927710843373494
7z,distance,2,600,2,ALS,0.8094625520110956
7z,distance,2,600,2,AP_ALS-PCI,0.8091979166666667
7z,distance,2,600,2,Default,0.8061790393013101
7z,distance,2,600,2,MDAP_MF-DF-ALS-PCI,0.8063043478260868
7z,distance,2,600,2,MDA_MF-DF-ALS,0.8063043478260868
7z,distance,2,600,2,MDP_MF-DF-PCI,0.8063043478260868
7z,distance,2,600,2,MD_MF-DF,0.8063043478260868
7z,distance,2,600,2,PCI,0.813661081251976
7z,distance,2,600,3,ALS,0.6814200466343499
7z,distance,2,600,3,AP_ALS-PCI,0.6803114501464016
7z,distance,2,600,3,Default,0.6643752752519364
7z,distance,2,600,3,MDAP_MF-DF-ALS-PCI,0.675802635375589
7z,distance,2,600,3,MDA_MF-DF-ALS,0.675802635375589
7z,distance,2,600,3,MDP_MF-DF-PCI,0.675802635375589
7z,distance,2,600,3,MD_MF-DF,0.675802635375589
7z,distance,2,600,3,PCI,0.6824133698423189
7z,distance,3,10,1,ALS,0.6962025316455696
7z,distance,3,10,1,AP_ALS-PCI,0.6962025316455696
7z,distance,3,10,1,Default,0.6867469879518072
7z,distance,3,10,1,MDAP_MF-DF-ALS-PCI,0.6923076923076922
7z,distance,3,10,1,MDA_MF-DF-ALS,0.6923076923076922
7z,distance,3,10,1,MDP_MF-DF-PCI,0.6923076923076922
7z,distance,3,10,1,MD_MF-DF,0.6923076923076922
7z,distance,3,10,1,PCI,0.6867469879518072
7z,distance,3,10,2,ALS,0.4719140083217753
7z,distance,3,10,2,AP_ALS-PCI,0.4711805555555555
7z,distance,3,10,2,Default,0.4516531503431066
7z,distance,3,10,2,MDAP_MF-DF-ALS-PCI,0.4657875980042765
7z,distance,3,10,2,MDA_MF-DF-ALS,0.4657875980042765
7z,distance,3,10,2,MDP_MF-DF-PCI,0.4657875980042765
7z,distance,3,10,2,MD_MF-DF,0.4657875980042765
7z,distance,3,10,2,PCI,0.4555801454315523
7z,distance,3,10,3,ALS,0.3175891268331594
7z,distance,3,10,3,AP_ALS-PCI,0.3162428725535521
7z,distance,3,10,3,Default,0.2915338980855418
7z,distance,3,10,3,MDAP_MF-DF-ALS-PCI,0.3109230226667948
7z,distance,3,10,3,MDA_MF-DF-ALS,0.3109230226667948
7z,distance,3,10,3,MDP_MF-DF-PCI,0.3109230226667948
7z,distance,3,10,3,MD_MF-DF,0.3109230226667948
7z,distance,3,10,3,PCI,0.2993646896961031
7z,distance,3,859,1,ALS,0.9240506329113924
7z,distance,3,859,1,AP_ALS-PCI,0.9240506329113924
7z,distance,3,859,1,Default,0.927710843373494
7z,distance,3,859,1,MDAP_MF-DF-ALS-PCI,0.9230769230769232
7z,distance,3,859,1,MDA_MF-DF-ALS,0.9230769230769232
7z,distance,3,859,1,MDP_MF-DF-PCI,0.9230769230769232
7z,distance,3,859,1,MD_MF-DF,0.9230769230769232
7z,distance,3,859,1,PCI,0.927710843373494
7z,distance,3,859,2,ALS,0.8211650485436892
7z,distance,3,859,2,AP_ALS-PCI,0.8209166666666667
7z,distance,3,859,2,Default,0.81723643169058
7z,distance,3,859,2,MDAP_MF-DF-ALS-PCI,0.8183321454027085
7z,distance,3,859,2,MDA_MF-DF-ALS,0.8183321454027085
7z,distance,3,859,2,MDP_MF-DF-PCI,0.8183321454027085
7z,distance,3,859,2,MD_MF-DF,0.8183321454027085
7z,distance,3,859,2,PCI,0.8248687954473601
7z,distance,3,859,3,ALS,0.7040729888936613
7z,distance,3,859,3,AP_ALS-PCI,0.7030684234858992
7z,distance,3,859,3,Default,0.6853686432993963
7z,distance,3,859,3,MDAP_MF-DF-ALS-PCI,0.6989335064601968
7z,distance,3,859,3,MDA_MF-DF-ALS,0.6989335064601968
7z,distance,3,859,3,MDP_MF-DF-PCI,0.6989335064601968
7z,distance,3,859,3,MD_MF-DF,0.6989335064601968
7z,distance,3,859,3,PCI,0.704226904244844
7z,distance,3,4091,1,ALS,0.9240506329113924
7z,distance,3,4091,1,AP_ALS-PCI,0.9240506329113924
7z,distance,3,4091,1,Default,0.927710843373494
7z,distance,3,4091,1,MDAP_MF-DF-ALS-PCI,0.9230769230769232
7z,distance,3,4091,1,MDA_MF-DF-ALS,0.9230769230769232
7z,distance,3,4091,1,MDP_MF-DF-PCI,0.9230769230769232
7z,distance,3,4091,1,MD_MF-DF,0.9230769230769232
7z,distance,3,4091,1,PCI,0.927710843373494
7z,distance,3,4091,2,ALS,0.8455270457697641
7z,distance,3,4091,2,AP_ALS-PCI,0.8453125
7z,distance,3,4091,2,Default,0.8433936369307546
7z,distance,3,4091,2,MDAP_MF-DF-ALS-PCI,0.8433713471133285
7z,distance,3,4091,2,MDA_MF-DF-ALS,0.8433713471133285
7z,distance,3,4091,2,MDP_MF-DF-PCI,0.8433713471133285
7z,distance,3,4091,2,MD_MF-DF,0.8433713471133285
7z,distance,3,4091,2,PCI,0.8513815997470755
7z,distance,3,4091,3,ALS,0.7648762042093636
7z,distance,3,4091,3,AP_ALS-PCI,0.7641508707042688
7z,distance,3,4091,3,Default,0.7499161650964713
7z,distance,3,4091,3,MDAP_MF-DF-ALS-PCI,0.7613436390126781
7z,distance,3,4091,3,MDA_MF-DF-ALS,0.7613436390126781
7z,distance,3,4091,3,MDP_MF-DF-PCI,0.7613436390126781
7z,distance,3,4091,3,MD_MF-DF,0.7613436390126781
7z,distance,3,4091,3,PCI,0.7710544892114148
7z,random,1,10,1,ALS,0.8481012658227847
7z,random,1,10,1,AP_ALS-PCI,0.8481012658227847
7z,random,1,10,1,Default,0.8554216867469879
7z,random,1,10,1,MDAP_MF-DF-ALS-PCI,0.8461538461538461
7z,random,1,10,1,MDA_MF-DF-ALS,0.8461538461538461
7z,random,1,10,1,MDP_MF-DF-PCI,0.8461538461538461
7z,random,1,10,1,MD_MF-DF,0.8461538461538461
7z,random,1,10,1,PCI,0.8554216867469879
7z,random,1,10,2,ALS,0.6501386962552012
7z,random,1,10,2,AP_ALS-PCI,0.6496527777777777
7z,random,1,10,2,Default,0.6703056768558951
7z,random,1,10,2,MDAP_MF-DF-ALS-PCI,0.6446899501069137
7z,random,1,10,2,MDA_MF-DF-ALS,0.6446899501069137
7z,random,1,10,2,MDP_MF-DF-PCI,0.6446899501069137
7z,random,1,10,2,MD_MF-DF,0.6446899501069137
7z,random,1,10,2,PCI,0.6696174517862789
