strategy,coverage_t,sample_size_source_t,metric_1,metric_2,rho,rho_abs,rho_strength,p_value,significant,n_systems
random,1,1,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.9018743109151047,0.9018743109151047,Strength.STRONG,1.8450976771480254e-12,True,32
random,1,1,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.8934215361999265,0.8934215361999265,Strength.STRONG,6.012926354071497e-12,True,32
random,1,1,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.8934215361999265,0.8934215361999265,Strength.STRONG,6.012926354071497e-12,True,32
random,1,1,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.9000367511944138,0.9000367511944138,Strength.STRONG,2.406614910091775e-12,True,32
random,1,1,MDAP_MF-DF-ALS-PCI,PCI,0.8919514884233736,0.8919514884233736,Strength.STRONG,7.310165282082199e-12,True,32
random,1,1,MDAP_MF-DF-ALS-PCI,ALS,0.9000367511944138,0.9000367511944138,Strength.STRONG,2.406614910091775e-12,True,32
random,1,1,MDAP_MF-DF-ALS-PCI,Default,0.8919514884233736,0.8919514884233736,Strength.STRONG,7.310165282082199e-12,True,32
random,1,1,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.8934215361999265,0.8934215361999265,Strength.STRONG,6.012926354071497e-12,True,32
random,1,1,MDA_MF-DF-ALS,MD_MF-DF,0.8934215361999265,0.8934215361999265,Strength.STRONG,6.012926354071497e-12,True,32
random,1,1,MDA_MF-DF-ALS,AP_ALS-PCI,0.9000367511944138,0.9000367511944138,Strength.STRONG,2.406614910091775e-12,True,32
random,1,1,MDA_MF-DF-ALS,PCI,0.8919514884233736,0.8919514884233736,Strength.STRONG,7.310165282082199e-12,True,32
random,1,1,MDA_MF-DF-ALS,ALS,0.9000367511944138,0.9000367511944138,Strength.STRONG,2.406614910091775e-12,True,32
random,1,1,MDA_MF-DF-ALS,Default,0.8919514884233736,0.8919514884233736,Strength.STRONG,7.310165282082199e-12,True,32
random,1,1,MDP_MF-DF-PCI,MD_MF-DF,0.9051819184123485,0.9051819184123485,Strength.STRONG,1.1284794963728946e-12,True,32
random,1,1,MDP_MF-DF-PCI,AP_ALS-PCI,0.88864388092613,0.88864388092613,Strength.STRONG,1.1231783052846755e-11,True,32
random,1,1,MDP_MF-DF-PCI,PCI,0.9018743109151047,0.9018743109151047,Strength.STRONG,1.8450976771480254e-12,True,32
random,1,1,MDP_MF-DF-PCI,ALS,0.88864388092613,0.88864388092613,Strength.STRONG,1.1231783052846755e-11,True,32
random,1,1,MDP_MF-DF-PCI,Default,0.9018743109151047,0.9018743109151047,Strength.STRONG,1.8450976771480254e-12,True,32
random,1,1,MD_MF-DF,AP_ALS-PCI,0.88864388092613,0.88864388092613,Strength.STRONG,1.1231783052846755e-11,True,32
random,1,1,MD_MF-DF,PCI,0.9018743109151047,0.9018743109151047,Strength.STRONG,1.8450976771480254e-12,True,32
random,1,1,MD_MF-DF,ALS,0.88864388092613,0.88864388092613,Strength.STRONG,1.1231783052846755e-11,True,32
random,1,1,MD_MF-DF,Default,0.9018743109151047,0.9018743109151047,Strength.STRONG,1.8450976771480254e-12,True,32
random,1,1,AP_ALS-PCI,PCI,0.8882763689819919,0.8882763689819919,Strength.STRONG,1.1770941785172766e-11,True,32
random,1,1,AP_ALS-PCI,ALS,0.9018743109151047,0.9018743109151047,Strength.STRONG,1.8450976771480254e-12,True,32
random,1,1,AP_ALS-PCI,Default,0.8882763689819919,0.8882763689819919,Strength.STRONG,1.1770941785172766e-11,True,32
random,1,1,PCI,ALS,0.8882763689819919,0.8882763689819919,Strength.STRONG,1.1770941785172766e-11,True,32
random,1,1,PCI,Default,0.9073869900771774,0.9073869900771774,Strength.STRONG,8.049389917335829e-13,True,32
random,1,1,ALS,Default,0.8882763689819919,0.8882763689819919,Strength.STRONG,1.1770941785172766e-11,True,32
random,1,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.7890711389605602,0.7890711389605602,Strength.MODERATE,8.057657079592807e-08,True,32
random,1,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.7902884028755879,0.7902884028755879,Strength.MODERATE,7.452956820804852e-08,True,32
random,1,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.7902884028755879,0.7902884028755879,Strength.MODERATE,7.452956820804852e-08,True,32
random,1,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.7890711389605602,0.7890711389605602,Strength.MODERATE,8.057657079592807e-08,True,32
random,1,2,MDAP_MF-DF-ALS-PCI,PCI,0.7716760375519467,0.7716760375519467,Strength.MODERATE,2.3311017222314087e-07,True,32
random,1,2,MDAP_MF-DF-ALS-PCI,ALS,0.7890711389605602,0.7890711389605602,Strength.MODERATE,8.057657079592807e-08,True,32
random,1,2,MDAP_MF-DF-ALS-PCI,Default,0.7716760375519467,0.7716760375519467,Strength.MODERATE,2.3311017222314087e-07,True,32
random,1,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.7902884028755879,0.7902884028755879,Strength.MODERATE,7.452956820804852e-08,True,32
random,1,2,MDA_MF-DF-ALS,MD_MF-DF,0.7902884028755879,0.7902884028755879,Strength.MODERATE,7.452956820804852e-08,True,32
random,1,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.7890711389605602,0.7890711389605602,Strength.MODERATE,8.057657079592807e-08,True,32
random,1,2,MDA_MF-DF-ALS,PCI,0.7716760375519467,0.7716760375519467,Strength.MODERATE,2.3311017222314087e-07,True,32
random,1,2,MDA_MF-DF-ALS,ALS,0.7890711389605602,0.7890711389605602,Strength.MODERATE,8.057657079592807e-08,True,32
random,1,2,MDA_MF-DF-ALS,Default,0.7716760375519467,0.7716760375519467,Strength.MODERATE,2.3311017222314087e-07,True,32
random,1,2,MDP_MF-DF-PCI,MD_MF-DF,0.8097475585037776,0.8097475585037776,Strength.STRONG,1.9895845740793742e-08,True,32
random,1,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.7902884028755878,0.7902884028755878,Strength.MODERATE,7.452956820804899e-08,True,32
random,1,2,MDP_MF-DF-PCI,PCI,0.7889257416620601,0.7889257416620601,Strength.MODERATE,8.13281565642293e-08,True,32
random,1,2,MDP_MF-DF-PCI,ALS,0.7902884028755878,0.7902884028755878,Strength.MODERATE,7.452956820804899e-08,True,32
random,1,2,MDP_MF-DF-PCI,Default,0.7889257416620601,0.7889257416620601,Strength.MODERATE,8.13281565642293e-08,True,32
random,1,2,MD_MF-DF,AP_ALS-PCI,0.7902884028755878,0.7902884028755878,Strength.MODERATE,7.452956820804899e-08,True,32
random,1,2,MD_MF-DF,PCI,0.7889257416620601,0.7889257416620601,Strength.MODERATE,8.13281565642293e-08,True,32
random,1,2,MD_MF-DF,ALS,0.7902884028755878,0.7902884028755878,Strength.MODERATE,7.452956820804899e-08,True,32
random,1,2,MD_MF-DF,Default,0.7889257416620601,0.7889257416620601,Strength.MODERATE,8.13281565642293e-08,True,32
random,1,2,AP_ALS-PCI,PCI,0.7716760375519467,0.7716760375519467,Strength.MODERATE,2.3311017222314087e-07,True,32
random,1,2,AP_ALS-PCI,ALS,0.7890711389605602,0.7890711389605602,Strength.MODERATE,8.057657079592807e-08,True,32
random,1,2,AP_ALS-PCI,Default,0.7716760375519467,0.7716760375519467,Strength.MODERATE,2.3311017222314087e-07,True,32
random,1,2,PCI,ALS,0.7716760375519468,0.7716760375519468,Strength.MODERATE,2.331101722231395e-07,True,32
random,1,2,PCI,Default,0.791321171918187,0.791321171918187,Strength.MODERATE,6.972840521045353e-08,True,32
random,1,2,ALS,Default,0.7716760375519467,0.7716760375519467,Strength.MODERATE,2.3311017222314087e-07,True,32
random,1,3,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.683366958081148,0.683366958081148,Strength.MODERATE,3.1539586119983186e-05,True,30
random,1,3,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.6780554440959784,0.6780554440959784,Strength.MODERATE,3.834957449978125e-05,True,30
random,1,3,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.6780554440959784,0.6780554440959784,Strength.MODERATE,3.834957449978125e-05,True,30
random,1,3,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.6598319700491203,0.6598319700491203,Strength.MODERATE,7.28585212403467e-05,True,30
random,1,3,MDAP_MF-DF-ALS-PCI,PCI,0.6286835089056909,0.6286835089056909,Strength.MODERATE,0.00019870212255136113,True,30
random,1,3,MDAP_MF-DF-ALS-PCI,ALS,0.6598319700491203,0.6598319700491203,Strength.MODERATE,7.28585212403467e-05,True,30
random,1,3,MDAP_MF-DF-ALS-PCI,Default,0.6286835089056909,0.6286835089056909,Strength.MODERATE,0.00019870212255136113,True,30
random,1,3,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.6780554440959784,0.6780554440959784,Strength.MODERATE,3.834957449978125e-05,True,30
random,1,3,MDA_MF-DF-ALS,MD_MF-DF,0.6780554440959784,0.6780554440959784,Strength.MODERATE,3.834957449978125e-05,True,30
random,1,3,MDA_MF-DF-ALS,AP_ALS-PCI,0.6598319700491203,0.6598319700491203,Strength.MODERATE,7.28585212403467e-05,True,30
random,1,3,MDA_MF-DF-ALS,PCI,0.6286835089056909,0.6286835089056909,Strength.MODERATE,0.00019870212255136113,True,30
random,1,3,MDA_MF-DF-ALS,ALS,0.6598319700491203,0.6598319700491203,Strength.MODERATE,7.28585212403467e-05,True,30
random,1,3,MDA_MF-DF-ALS,Default,0.6286835089056909,0.6286835089056909,Strength.MODERATE,0.00019870212255136113,True,30
random,1,3,MDP_MF-DF-PCI,MD_MF-DF,0.6837214509628302,0.6837214509628302,Strength.MODERATE,3.112630979725701e-05,True,30
random,1,3,MDP_MF-DF-PCI,AP_ALS-PCI,0.655431147457233,0.655431147457233,Strength.MODERATE,8.453242686303572e-05,True,30
random,1,3,MDP_MF-DF-PCI,PCI,0.6307950886086783,0.6307950886086783,Strength.MODERATE,0.0001862731293678325,True,30
random,1,3,MDP_MF-DF-PCI,ALS,0.655431147457233,0.655431147457233,Strength.MODERATE,8.453242686303572e-05,True,30
random,1,3,MDP_MF-DF-PCI,Default,0.6307950886086783,0.6307950886086783,Strength.MODERATE,0.0001862731293678325,True,30
random,1,3,MD_MF-DF,AP_ALS-PCI,0.655431147457233,0.655431147457233,Strength.MODERATE,8.453242686303572e-05,True,30
random,1,3,MD_MF-DF,PCI,0.6307950886086783,0.6307950886086783,Strength.MODERATE,0.0001862731293678325,True,30
random,1,3,MD_MF-DF,ALS,0.655431147457233,0.655431147457233,Strength.MODERATE,8.453242686303572e-05,True,30
random,1,3,MD_MF-DF,Default,0.6307950886086783,0.6307950886086783,Strength.MODERATE,0.0001862731293678325,True,30
random,1,3,AP_ALS-PCI,PCI,0.6061827956989247,0.6061827956989247,Strength.MODERATE,0.0003845079960728755,True,30
random,1,3,AP_ALS-PCI,ALS,0.6513216845878137,0.6513216845878137,Strength.MODERATE,9.691039288996165e-05,True,30
random,1,3,AP_ALS-PCI,Default,0.6061827956989247,0.6061827956989247,Strength.MODERATE,0.0003845079960728755,True,30
random,1,3,PCI,ALS,0.6061827956989247,0.6061827956989247,Strength.MODERATE,0.0003845079960728755,True,30
random,1,3,PCI,Default,0.6118951612903225,0.6118951612903225,Strength.MODERATE,0.0003267144329167466,True,30
random,1,3,ALS,Default,0.6061827956989247,0.6061827956989247,Strength.MODERATE,0.0003845079960728755,True,30
random,2,1,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.9011392870268283,0.9011392870268283,Strength.STRONG,2.0532613806364706e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.89672914369717,0.89672914369717,Strength.STRONG,3.833511928905799e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.89672914369717,0.89672914369717,Strength.STRONG,3.833511928905799e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.9007717750826902,0.9007717750826902,Strength.STRONG,2.1653146849927894e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,PCI,0.8937890481440646,0.8937890481440646,Strength.STRONG,5.7237777175306725e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,ALS,0.9000367511944138,0.9000367511944138,Strength.STRONG,2.406614910091775e-12,True,32
random,2,1,MDAP_MF-DF-ALS-PCI,Default,0.8915839764792355,0.8915839764792355,Strength.STRONG,7.672684558798684e-12,True,32
random,2,1,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.8952590959206174,0.8952590959206174,Strength.STRONG,4.691189330304498e-12,True,32
random,2,1,MDA_MF-DF-ALS,MD_MF-DF,0.8952590959206174,0.8952590959206174,Strength.STRONG,4.691189330304498e-12,True,32
random,2,1,MDA_MF-DF-ALS,AP_ALS-PCI,0.9011392870268283,0.9011392870268283,Strength.STRONG,2.0532613806364706e-12,True,32
random,2,1,MDA_MF-DF-ALS,PCI,0.8926865123116502,0.8926865123116502,Strength.STRONG,6.632232211365557e-12,True,32
random,2,1,MDA_MF-DF-ALS,ALS,0.9011392870268283,0.9011392870268283,Strength.STRONG,2.0532613806364706e-12,True,32
random,2,1,MDA_MF-DF-ALS,Default,0.8901139287026828,0.8901139287026828,Strength.STRONG,9.295708874781907e-12,True,32
random,2,1,MDP_MF-DF-PCI,MD_MF-DF,0.9018743109151047,0.9018743109151047,Strength.STRONG,1.8450976771480254e-12,True,32
