metric_1,metric_2,mean_rho,min_rho,max_rho,mean_abs_rho,n_settings,n_strong_agreement,n_significant,interpretation
MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.7223931256432536,0.44485294117647056,0.9404630650496141,0.7223931256432536,27,0,27,metrics are moderately aligned
AP_ALS-PCI,ALS,0.7193190882883459,0.4424019607843137,0.9349503858875414,0.7193190882883459,27,0,27,metrics are moderately aligned
MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.7190226351847151,0.4436274509803921,0.9371554575523703,0.7190226351847151,27,0,27,metrics are moderately aligned
MDA_MF-DF-ALS,AP_ALS-PCI,0.7185705347714983,0.4436274509803921,0.9371554575523703,0.7185705347714983,27,0,27,metrics are moderately aligned
MDP_MF-DF-PCI,MD_MF-DF,0.7171469918653668,0.44485294117647056,0.9430356486585814,0.7171469918653668,27,0,27,metrics are moderately aligned
MDAP_MF-DF-ALS-PCI,ALS,0.7164882673317372,0.4424019607843137,0.932377802278574,0.7164882673317372,27,0,27,metrics are moderately aligned
MDA_MF-DF-ALS,ALS,0.7162024247085186,0.4424019607843137,0.932377802278574,0.7162024247085186,27,0,27,metrics are moderately aligned
MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.7133385109231121,0.440563725490196,0.942300624770305,0.7133385109231121,27,0,27,metrics are moderately aligned
MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.7129000220633819,0.440563725490196,0.942300624770305,0.7129000220633819,27,0,27,metrics are moderately aligned
MDA_MF-DF-ALS,MD_MF-DF,0.7125912349648926,0.440563725490196,0.9397280411613377,0.7125912349648926,27,0,27,metrics are moderately aligned
MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.7124988732386455,0.440563725490196,0.9397280411613377,0.7124988732386455,27,0,27,metrics are moderately aligned
MDP_MF-DF-PCI,AP_ALS-PCI,0.7090579059250893,0.43933823529411764,0.938257993384785,0.7090579059250893,27,0,27,metrics are moderately aligned
MD_MF-DF,AP_ALS-PCI,0.7080957642592435,0.43933823529411764,0.9356854097758176,0.7080957642592435,27,0,27,metrics are moderately aligned
MDP_MF-DF-PCI,ALS,0.7067364688188875,0.4381127450980391,0.9349503858875414,0.7067364688188875,27,0,27,metrics are moderately aligned
MD_MF-DF,ALS,0.7059648889018539,0.4381127450980391,0.932377802278574,0.7059648889018539,27,0,27,metrics are moderately aligned
PCI,Default,0.6982060231868524,0.39031862745098034,0.9224549797868431,0.6982060231868524,27,0,27,metrics are moderately aligned
MDP_MF-DF-PCI,PCI,0.6841341631174535,0.4099264705882353,0.9092245497978684,0.6841341631174535,27,0,27,metrics are moderately aligned
PCI,ALS,0.6834729172543962,0.40686274509803916,0.9018743109151047,0.6834729172543962,27,0,27,metrics are moderately aligned
MDAP_MF-DF-ALS-PCI,PCI,0.683354899212952,0.40686274509803916,0.9004042631385519,0.683354899212952,27,0,27,metrics are moderately aligned
AP_ALS-PCI,PCI,0.6831639800396466,0.40686274509803916,0.8959941198088938,0.6831639800396466,27,0,27,metrics are moderately aligned
MD_MF-DF,PCI,0.6830359809804556,0.39644607843137253,0.9022418228592428,0.6830359809804556,27,0,27,metrics are moderately aligned
MDA_MF-DF-ALS,PCI,0.6828473683984801,0.40686274509803916,0.9004042631385519,0.6828473683984801,27,0,27,metrics are moderately aligned
ALS,Default,0.6795317803358354,0.4031862745098039,0.890481440646821,0.6795317803358354,27,0,27,metrics are moderately aligned
MDP_MF-DF-PCI,Default,0.6791851373397405,0.39644607843137253,0.9018743109151047,0.6791851373397405,27,0,27,metrics are moderately aligned
MD_MF-DF,Default,0.6782911285050416,0.3933823529411764,0.9018743109151047,0.6782911285050416,27,0,27,metrics are moderately aligned
MDAP_MF-DF-ALS-PCI,Default,0.6779984525829448,0.40196078431372545,0.8919514884233736,0.6779984525829448,27,0,27,metrics are moderately aligned
AP_ALS-PCI,Default,0.6779880366542682,0.3982843137254901,0.8897464167585447,0.6779880366542682,27,0,27,metrics are moderately aligned
MDA_MF-DF-ALS,Default,0.6777009333670901,0.40196078431372545,0.8919514884233736,0.6777009333670901,27,0,27,metrics are moderately aligned
