metric,coverage_t,sample_size_source_t,kw_statistic,kw_pvalue,kw_significant,epsilon_squared,effect_strength,median_random,median_solver,median_distance,mean_random,mean_solver,mean_distance,best_strategy_by_median,worst_strategy_by_median,median_gap_best_vs_worst,dunn_random_solver,dunn_random_distance,dunn_solver_distance,pairwise_summary
ALS,1,1,2860.635657557817,0.0,True,0.41429502283446623,EffectStrength.LARGER,0.784313725490196,0.5846153846153846,0.6842105263157894,0.7791217190953381,0.5961949401258781,0.6878137431255932,random,solver,0.1996983408748113,0.0,1.1252150181995623e-131,1.2331695356232787e-184,random > solver; random > distance; distance > solver
ALS,1,2,1008.8134497415305,8.688458953404251e-220,True,0.14591499271616384,EffectStrength.LARGER,0.8727272727272726,0.7692307692307692,0.8275862068965517,0.8734760787984456,0.7828078062029418,0.8274723969744813,random,solver,0.10349650349650341,8.046442803236192e-221,2.158602869373484e-60,5.570585925423951e-53,random > solver; random > distance; distance > solver
ALS,1,3,66.84440189384983,3.0543764017858292e-15,True,0.01029276220537299,EffectStrength.SMALL,0.8620689655172413,0.8615384615384615,0.8620689655172413,0.8679167352723409,0.8440500699426928,0.8599627385356711,random,solver,0.0005305039787798504,9.427362149036218e-16,2.1729910285129536e-05,0.00016421299772152745,random > solver; random ~ distance; distance > solver
ALS,2,1,2233.5128829532646,0.0,True,0.3234076641961253,EffectStrength.LARGER,0.537111334002006,0.3359960059910134,0.4311171009284217,0.5422720629963403,0.3576105463266916,0.4335657273198488,random,solver,0.20111532801099252,0.0,8.02066538421079e-128,7.811717265279261e-119,random > solver; random > distance; distance > solver
ALS,2,2,1424.9964406201607,3.68090452963278e-310,True,0.2062313682058204,EffectStrength.LARGER,0.728253055355859,0.5331325301204819,0.6144262295081967,0.7380848054347592,0.5732192408267655,0.621916863551022,random,solver,0.19512052523537715,1.0143521941001894e-300,2.125996842676462e-133,8.679877784524137e-36,random > solver; random > distance; distance > solver
ALS,2,3,348.73316448593147,1.877394337133668e-76,True,0.05503701023586214,EffectStrength.SMALL,0.7396907216494845,0.6930792377131394,0.7036065573770491,0.7503712929358846,0.6839373192872609,0.6995273289504946,random,solver,0.046611483936345066,4.6029579608034443e-66,1.4155407486473415e-49,0.01717654128941004,random > solver; random > distance; distance > solver
ALS,3,1,1451.5055495296303,0.0,True,0.21007326804777252,EffectStrength.LARGER,0.3483297833653696,0.1912541677353167,0.2524314765694076,0.36015068055851435,0.21700571973395627,0.2637494968775477,random,solver,0.15707561563005293,0.0,8.201690985781091e-101,2.80640949631336e-62,random > solver; random > distance; distance > solver
ALS,3,2,1359.520204938503,6.080488614560794e-296,True,0.19674205868673955,EffectStrength.LARGER,0.5756860733521416,0.3537735849056603,0.4115796098174953,0.5901190399300065,0.40740814943805403,0.43947359154943216,random,solver,0.22191248844648132,1.3836018625596332e-278,5.115045008487396e-147,7.019198582923903e-23,random > solver; random > distance; distance > solver
ALS,3,3,836.7273056473833,2.027562030724288e-182,True,0.13829146879512647,EffectStrength.MEDIUM,0.6202872531418312,0.5014889115273097,0.5188118811881188,0.6371259816992858,0.5170595646129897,0.5177831163986305,random,solver,0.11879834161452152,1.5168729292781094e-134,1.134180729324558e-138,0.5509000048560255,random > solver; random > distance; solver ~ distance
AP_ALS-PCI,1,1,2860.635657557817,0.0,True,0.41429502283446623,EffectStrength.LARGER,0.784313725490196,0.5846153846153846,0.6842105263157894,0.7791217190953381,0.5961949401258781,0.6878137431255932,random,solver,0.1996983408748113,0.0,1.1252150181995623e-131,1.2331695356232787e-184,random > solver; random > distance; distance > solver
AP_ALS-PCI,1,2,1008.8134497415305,8.688458953404251e-220,True,0.14591499271616384,EffectStrength.LARGER,0.8727272727272726,0.7692307692307692,0.8275862068965517,0.8734760787984456,0.7828078062029418,0.8274723969744813,random,solver,0.10349650349650341,8.046442803236192e-221,2.158602869373484e-60,5.570585925423951e-53,random > solver; random > distance; distance > solver
