system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage,ratio,constraint_level,setting
7z,random,1,10,1,1,ALS,0.8734177215189873,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,1,AP_ALS-PCI,0.8734177215189873,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,1,Default,0.8795180722891565,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,1,MDAP_MF-DF-ALS-PCI,0.8717948717948718,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,1,MDA_MF-DF-ALS,0.8717948717948718,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,1,MDP_MF-DF-PCI,0.8717948717948718,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,1,MD_MF-DF,0.8717948717948718,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,1,PCI,0.8795180722891565,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,2,1,ALS,0.6719833564493759,7.8e-09,Very Strong,"(2,1)"
7z,random,1,10,2,1,AP_ALS-PCI,0.6715277777777777,7.8e-09,Very Strong,"(2,1)"
7z,random,1,10,2,1,Default,0.692451653150343,7.8e-09,Very Strong,"(2,1)"
7z,random,1,10,2,1,MDAP_MF-DF-ALS-PCI,0.6664290805416963,7.8e-09,Very Strong,"(2,1)"
7z,random,1,10,2,1,MDA_MF-DF-ALS,0.6664290805416963,7.8e-09,Very Strong,"(2,1)"
7z,random,1,10,2,1,MDP_MF-DF-PCI,0.6664290805416963,7.8e-09,Very Strong,"(2,1)"
7z,random,1,10,2,1,MD_MF-DF,0.6664290805416963,7.8e-09,Very Strong,"(2,1)"
7z,random,1,10,2,1,PCI,0.6914321846348404,7.8e-09,Very Strong,"(2,1)"
7z,random,1,10,3,1,ALS,0.4942474074983125,7.8e-09,Very Strong,"(3,1)"
7z,random,1,10,3,1,AP_ALS-PCI,0.4930035444598551,7.8e-09,Very Strong,"(3,1)"
7z,random,1,10,3,1,Default,0.5231600217610942,7.8e-09,Very Strong,"(3,1)"
7z,random,1,10,3,1,MDAP_MF-DF-ALS-PCI,0.486502516751627,7.8e-09,Very Strong,"(3,1)"
7z,random,1,10,3,1,MDA_MF-DF-ALS,0.486502516751627,7.8e-09,Very Strong,"(3,1)"
7z,random,1,10,3,1,MDP_MF-DF-PCI,0.486502516751627,7.8e-09,Very Strong,"(3,1)"
7z,random,1,10,3,1,MD_MF-DF,0.486502516751627,7.8e-09,Very Strong,"(3,1)"
7z,random,1,10,3,1,PCI,0.5230721502083979,7.8e-09,Very Strong,"(3,1)"
7z,random,1,10,1,2,ALS,0.8860759493670884,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,2,AP_ALS-PCI,0.8860759493670884,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,2,Default,0.891566265060241,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,2,MDAP_MF-DF-ALS-PCI,0.8846153846153845,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,2,MDA_MF-DF-ALS,0.8846153846153845,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,2,MDP_MF-DF-PCI,0.8846153846153845,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,2,MD_MF-DF,0.8846153846153845,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,1,2,PCI,0.891566265060241,7.8e-09,Very Strong,"(1,1)"
7z,random,1,10,2,2,ALS,0.6893203883495145,7.8e-09,Very Strong,"(2,1)"
7z,random,1,10,2,2,AP_ALS-PCI,0.6888888888888888,7.8e-09,Very Strong,"(2,1)"
