metric,coverage_t,sample_size_source_t,system,coverage,log10_ratio,setting
ALS,1,1,7z,0.7900581480781744,-8.1077,"(1,1)"
ALS,1,1,AJStats,0.6233333333333333,-0.9031,"(1,1)"
ALS,1,1,BerkeleyDBC,0.7235353535353536,-1.7093,"(1,1)"
ALS,1,1,Curl,0.6605797101449276,-0.727,"(1,1)"
ALS,1,1,Dune,0.670718954248366,-5.9694,"(1,1)"
ALS,1,1,HSMGP,0.6707272727272726,-6.0944,"(1,1)"
ALS,1,1,HSQLDB,0.6748275862068964,-2.181,"(1,1)"
ALS,1,1,Hipacc,0.7408080808080807,-11.8247,"(1,1)"
ALS,1,1,HyTeG,0.546060606060606,-0.6021,"(1,1)"
ALS,1,1,JavaGC,0.6982564102564103,-6.1524,"(1,1)"
ALS,1,1,LLVM,0.6485714285714285,0.0,"(1,1)"
ALS,1,1,PKJab,0.5942222222222222,-1.153,"(1,1)"
ALS,1,1,Polly,0.6494736842105262,-6.962,"(1,1)"
ALS,1,1,SQLite,0.7414035087719297,-4.8445,"(1,1)"
ALS,1,1,TriMesh,0.7269146005509642,-14.79,"(1,1)"
ALS,1,1,VP9,0.6796923076923076,-7.0078,"(1,1)"
ALS,1,1,WGet,0.67183908045977,-0.8062,"(1,1)"
ALS,1,1,clasp,0.7099999999999999,-6.6934,"(1,1)"
ALS,1,1,lrzip,0.7363963963963963,-2.7831,"(1,1)"
ALS,1,1,x264,0.618641975308642,-1.454,"(1,1)"
ALS,1,1,z3,0.7093827160493826,-0.9031,"(1,1)"
ALS,1,2,7z,0.9270525012070449,-8.1077,"(1,2)"
ALS,1,2,AJStats,0.827070707070707,-0.9031,"(1,2)"
ALS,1,2,BerkeleyDBC,0.816060606060606,-1.7093,"(1,2)"
ALS,1,2,Curl,0.8105797101449275,-0.727,"(1,2)"
ALS,1,2,Dune,0.7817647058823528,-5.9694,"(1,2)"
ALS,1,2,HSMGP,0.7842424242424242,-6.0944,"(1,2)"
ALS,1,2,HSQLDB,0.7973563218390805,-2.181,"(1,2)"
ALS,1,2,Hipacc,0.9573737373737375,-11.8247,"(1,2)"
ALS,1,2,HyTeG,0.6357575757575757,-0.6021,"(1,2)"
ALS,1,2,JavaGC,0.8041538461538461,-6.1524,"(1,2)"
ALS,1,2,LLVM,0.9166666666666666,0.0,"(1,2)"
ALS,1,2,PKJab,0.7562222222222222,-1.153,"(1,2)"
ALS,1,2,Polly,0.797953216374269,-6.962,"(1,2)"
ALS,1,2,SQLite,0.8511695906432748,-4.8445,"(1,2)"
ALS,1,2,TriMesh,0.8543526170798897,-14.79,"(1,2)"
ALS,1,2,VP9,0.8103589743589743,-7.0078,"(1,2)"
ALS,1,2,WGet,0.8125287356321839,-0.8062,"(1,2)"
ALS,1,2,clasp,0.7691194968553458,-6.6934,"(1,2)"
ALS,1,2,lrzip,0.8749549549549549,-2.7831,"(1,2)"
ALS,1,2,x264,0.7467901234567901,-1.454,"(1,2)"
ALS,1,2,z3,0.825185185185185,-0.9031,"(1,2)"
ALS,1,3,7z,0.9355962802023637,-8.1077,"(1,3)"
ALS,1,3,AJStats,0.9063636363636363,-0.9031,"(1,3)"
ALS,1,3,BerkeleyDBC,0.8728282828282827,-1.7093,"(1,3)"
ALS,1,3,Curl,0.8260869565217391,-0.727,"(1,3)"
ALS,1,3,Dune,0.8431372549019607,-5.9694,"(1,3)"
ALS,1,3,HSMGP,0.8598181818181818,-6.0944,"(1,3)"
ALS,1,3,HSQLDB,0.8375862068965516,-2.181,"(1,3)"
ALS,1,3,Hipacc,0.957912457912458,-11.8247,"(1,3)"
ALS,1,3,HyTeG,0.6363636363636364,-0.6021,"(1,3)"
ALS,1,3,JavaGC,0.8487692307692307,-6.1524,"(1,3)"
ALS,1,3,LLVM,0.9515873015873016,0.0,"(1,3)"
ALS,1,3,PKJab,0.7764444444444445,-1.153,"(1,3)"
ALS,1,3,Polly,0.8528070175438597,-6.962,"(1,3)"
ALS,1,3,VP9,0.8537435897435897,-7.0078,"(1,3)"
ALS,1,3,WGet,0.8543678160919541,-0.8062,"(1,3)"
ALS,1,3,clasp,0.8045283018867924,-6.6934,"(1,3)"
ALS,1,3,lrzip,0.8918918918918919,-2.7831,"(1,3)"
ALS,1,3,x264,0.7655555555555554,-1.454,"(1,3)"
ALS,1,3,z3,0.8338271604938271,-0.9031,"(1,3)"
ALS,2,1,7z,0.5947470230907413,-8.1077,"(2,1)"
ALS,2,1,AJStats,0.34919921875,-0.9031,"(2,1)"
ALS,2,1,BerkeleyDBC,0.4799596774193548,-1.7093,"(2,1)"
ALS,2,1,Curl,0.37831241283124123,-0.727,"(2,1)"
ALS,2,1,Dune,0.43835300730747606,-5.9694,"(2,1)"
ALS,2,1,HSMGP,0.43743110472082436,-6.0944,"(2,1)"
ALS,2,1,HSQLDB,0.39320244328097725,-2.181,"(2,1)"
ALS,2,1,Hipacc,0.5457432126696832,-11.8247,"(2,1)"
ALS,2,1,HyTeG,0.2774666666666667,-0.6021,"(2,1)"
ALS,2,1,JavaGC,0.4528669341357405,-6.1524,"(2,1)"
ALS,2,1,LLVM,0.3651333333333333,0.0,"(2,1)"
ALS,2,1,PKJab,0.31774305555555554,-1.153,"(2,1)"
ALS,2,1,Polly,0.40175081967213105,-6.962,"(2,1)"
ALS,2,1,SQLite,0.5032795351839896,-4.8445,"(2,1)"
ALS,2,1,TriMesh,0.5182998901866827,-14.79,"(2,1)"
