metric,coverage_t,sample_size_source_t,setting,n_systems,spearman_rho,pvalue,significant
ALS,1,1,"(1,1)",21,-0.617083501204427,0.00288300104588529,True
ALS,1,2,"(1,2)",21,-0.20201365144692296,0.3798563316293528,False
ALS,1,3,"(1,3)",19,-0.29311104181963366,0.22327117841995117,False
ALS,2,1,"(2,1)",21,-0.7372523935442364,0.00013725571050747114,True
ALS,2,2,"(2,2)",21,-0.4222150271398711,0.05657050620161418,False
ALS,2,3,"(2,3)",19,-0.30715228933195143,0.20084621855769028,False
ALS,3,1,"(3,1)",21,-0.7755765267769325,3.616272288790552e-05,True
ALS,3,2,"(3,2)",21,-0.5930497227364652,0.004603736096068121,True
ALS,3,3,"(3,3)",19,-0.4071961778572156,0.08357019914077303,False
AP_ALS-PCI,1,1,"(1,1)",21,-0.617083501204427,0.00288300104588529,True
AP_ALS-PCI,1,2,"(1,2)",21,-0.20201365144692296,0.3798563316293528,False
AP_ALS-PCI,1,3,"(1,3)",19,-0.29311104181963366,0.22327117841995117,False
AP_ALS-PCI,2,1,"(2,1)",21,-0.7502436251485403,8.965906981882304e-05,True
AP_ALS-PCI,2,2,"(2,2)",21,-0.4384540666452508,0.046789263890364315,True
AP_ALS-PCI,2,3,"(2,3)",19,-0.3650724353202623,0.12431950477959453,False
AP_ALS-PCI,3,1,"(3,1)",21,-0.7599870488517679,6.405134309949367e-05,True
AP_ALS-PCI,3,2,"(3,2)",21,-0.6281260480680853,0.00229581973111093,True
AP_ALS-PCI,3,3,"(3,3)",19,-0.46774905775408604,0.043434302113680906,True
Default,1,1,"(1,1)",21,-0.6391685949317434,0.00181250248734091,True
Default,1,2,"(1,2)",21,-0.24098734625983412,0.29264812472674995,False
Default,1,3,"(1,3)",19,-0.3913997744058581,0.09749303035306821,False
Default,2,1,"(2,1)",21,-0.7560896793704769,7.34091598983486e-05,True
Default,2,2,"(2,2)",21,-0.4663852145945037,0.03307585120779391,True
Default,2,3,"(2,3)",19,-0.3887670404972986,0.09996775133541046,False
Default,3,1,"(3,1)",21,-0.7684313493945655,4.724862577973417e-05,True
Default,3,2,"(3,2)",21,-0.6534589496964774,0.0013166967758413259,True
Default,3,3,"(3,3)",19,-0.5528741207975126,0.014083813080645194,True
MDAP_MF-DF-ALS-PCI,1,1,"(1,1)",21,-0.613186131723136,0.003118146030443938,True
MDAP_MF-DF-ALS-PCI,1,2,"(1,2)",21,-0.1955180356447711,0.3956840265904865,False
MDAP_MF-DF-ALS-PCI,1,3,"(1,3)",19,-0.33698994029562673,0.1582889079651754,False
MDAP_MF-DF-ALS-PCI,2,1,"(2,1)",21,-0.7398506398650972,0.00012629750473666247,True
MDAP_MF-DF-ALS-PCI,2,2,"(2,2)",21,-0.4267619582013774,0.05368712930995846,False
MDAP_MF-DF-ALS-PCI,2,3,"(2,3)",19,-0.3378675182651466,0.15713985051340904,False
MDAP_MF-DF-ALS-PCI,3,1,"(3,1)",21,-0.7638844183330591,5.5744938032034765e-05,True
MDAP_MF-DF-ALS-PCI,3,2,"(3,2)",21,-0.606040954340769,0.00359092032918681,True
MDAP_MF-DF-ALS-PCI,3,3,"(3,3)",19,-0.45897327805888744,0.048078250340501,True
MDA_MF-DF-ALS,1,1,"(1,1)",21,-0.613186131723136,0.003118146030443938,True
MDA_MF-DF-ALS,1,2,"(1,2)",21,-0.1955180356447711,0.3956840265904865,False
MDA_MF-DF-ALS,1,3,"(1,3)",19,-0.33698994029562673,0.1582889079651754,False
MDA_MF-DF-ALS,2,1,"(2,1)",21,-0.7398506398650972,0.00012629750473666247,True
MDA_MF-DF-ALS,2,2,"(2,2)",21,-0.4150698497575041,0.061338636129781,False
MDA_MF-DF-ALS,2,3,"(2,3)",19,-0.3378675182651466,0.15713985051340904,False
MDA_MF-DF-ALS,3,1,"(3,1)",21,-0.7768756499373629,3.441126683992554e-05,True
MDA_MF-DF-ALS,3,2,"(3,2)",21,-0.5982462153781867,0.004173377206650275,True
MDA_MF-DF-ALS,3,3,"(3,3)",19,-0.4466871864856094,0.055204216195989204,False
MDP_MF-DF-PCI,1,1,"(1,1)",21,-0.6547580728569078,0.0012779667668091487,True
MDP_MF-DF-PCI,1,2,"(1,2)",21,-0.24878208522241638,0.27683141395909505,False
MDP_MF-DF-PCI,1,3,"(1,3)",19,-0.30276439948435213,0.20768683532439375,False
MDP_MF-DF-PCI,2,1,"(2,1)",21,-0.7151672998169202,0.00026848324509818385,True
MDP_MF-DF-PCI,2,2,"(2,2)",21,-0.44494968244740263,0.043264972563696213,True
MDP_MF-DF-PCI,2,3,"(2,3)",19,-0.3343572063870671,0.16177070796331044,False
MDP_MF-DF-PCI,3,1,"(3,1)",21,-0.7599870488517679,6.405134309949367e-05,True
MDP_MF-DF-PCI,3,2,"(3,2)",21,-0.5936992843166804,0.0045480068910159575,True
MDP_MF-DF-PCI,3,3,"(3,3)",19,-0.4598508560284073,0.047597521723913454,True
MD_MF-DF,1,1,"(1,1)",21,-0.6547580728569078,0.0012779667668091487,True
MD_MF-DF,1,2,"(1,2)",21,-0.24878208522241638,0.27683141395909505,False
MD_MF-DF,1,3,"(1,3)",19,-0.30276439948435213,0.20768683532439375,False
MD_MF-DF,2,1,"(2,1)",21,-0.7281585314212239,0.0001823196239866934,True
MD_MF-DF,2,2,"(2,2)",21,-0.4358558203243901,0.04825946843113161,True
MD_MF-DF,2,3,"(2,3)",19,-0.3194383809052295,0.18249321733268692,False
MD_MF-DF,3,1,"(3,1)",21,-0.7703800341352111,4.396652322821469e-05,True
MD_MF-DF,3,2,"(3,2)",21,-0.5936992843166804,0.0045480068910159575,True
MD_MF-DF,3,3,"(3,3)",19,-0.4221150033390532,0.07181834090177666,False
PCI,1,1,"(1,1)",21,-0.6391685949317434,0.00181250248734091,True
PCI,1,2,"(1,2)",21,-0.24098734625983412,0.29264812472674995,False
PCI,1,3,"(1,3)",19,-0.3913997744058581,0.09749303035306821,False
PCI,2,1,"(2,1)",21,-0.7379019551244518,0.00013444206896569838,True
